#np,scatter,gather,parallel,total
0,16.820577,8.439177,2.635232,49.81
1,14.028818,6.990758,1.316153,45.77
2,13.500662,6.709035,0.892342,45.12
3,13.463794,6.624008,0.657729,45.14
4,13.777348,6.831207,0.536044,45.68
5,14.105818,6.991769,0.438274,46.08
6,14.136609,6.969022,0.383092,46.2
7,14.089108,6.949652,0.335095,46.09
8,14.169553,6.953646,0.29208,46.17
9,14.114168,6.959498,0.269407,46.18
10,14.24751,6.999503,0.238918,46.25
11,14.107768,6.960865,0.223283,46.18
12,15.537372,7.517121,0.201611,46.71
13,13.36975,6.51417,0.190963,43.69
14,13.398095,6.548628,0.175688,43.78
15,15.146093,7.480717,0.161398,46.48
16,15.811315,7.64967,0.155091,47.27
17,15.19282,7.689368,0.143167,46.73
18,15.769716,7.673002,0.138787,47.28
19,14.596327,7.137715,0.131786,45.64
20,13.657316,6.648317,0.125524,44.24
21,15.6167,7.677826,0.119935,47.2
22,15.786773,7.769002,0.112314,47.5
23,15.107948,7.400281,0.109368,46.52
