#np,scatter,gather,parallel,total
0,16.701983,8.388258,2.620498,49.44
1,12.068538,6.075726,1.311401,44.29
2,11.653601,5.693561,0.891321,43.74
3,13.735186,6.798873,0.63834,46.35
4,14.100079,6.974604,0.53288,46.73
5,14.521113,7.166626,0.439101,47.18
6,14.562813,7.067984,0.376607,46.8
7,14.533999,7.174536,0.329786,47.14
8,14.612015,7.159249,0.296757,46.93
9,14.588436,7.178671,0.258906,47.1
10,14.702714,7.126254,0.240762,46.85
11,14.567076,7.0801,0.218447,46.7
12,16.081591,7.792871,0.205554,47.33
13,13.760323,6.749518,0.18908,44.05
14,13.75675,6.751517,0.176209,44.25
15,15.464696,7.604523,0.16243,46.82
16,16.004468,7.804153,0.158541,47.47
17,15.39944,7.824592,0.14371,46.87
18,15.919946,7.663463,0.136043,47.24
19,14.662457,7.109426,0.127266,45.37
20,13.6629,6.685826,0.12711,44.07
21,15.694589,7.647922,0.117907,46.93
22,15.802527,7.647629,0.113691,47.19
23,15.117862,7.318925,0.108059,46.2
