rank,Np,mean,mean_permsg,var,s2,N,dev,s,dev_mean,dev_mean_emp
0,1,0.331684,0.000033,159.143912,159.159828,10000,12.615225,12.615856,0.126152,0.126159
0,2,1.522244,0.000076,127.189146,127.195506,20000,11.277817,11.278099,0.079746,0.079748
1,3,3.029421,0.000101,263.050493,263.059262,30000,16.218831,16.219102,0.093639,0.093641
0,4,3.728051,0.000093,560.334905,560.348914,40000,23.671394,23.671690,0.118357,0.118358
1,5,4.881541,0.000098,548.989139,549.000119,50000,23.430517,23.430752,0.104784,0.104786
2,6,5.524149,0.000092,541.226052,541.235072,60000,23.264266,23.264459,0.094976,0.094977
1,7,6.876034,0.000098,708.574614,708.584737,70000,26.619065,26.619255,0.100611,0.100611
1,8,7.119247,0.000089,153.544172,153.546091,80000,12.391294,12.391372,0.043810,0.043810
1,9,8.491244,0.000094,256.464875,256.467725,90000,16.014521,16.014610,0.053382,0.053382
3,10,9.017524,0.000090,607.761855,607.767933,100000,24.652827,24.652950,0.077959,0.077959
2,11,10.666944,0.000097,1225.537280,1225.548421,110000,35.007675,35.007834,0.105552,0.105553
1,12,10.903546,0.000091,775.613291,775.619755,120000,27.849835,27.849951,0.080396,0.080396
3,13,12.394335,0.000095,772.702986,772.708930,130000,27.797536,27.797643,0.077096,0.077097
3,14,12.772634,0.000091,737.766692,737.771962,140000,27.161861,27.161958,0.072593,0.072593
2,15,14.354683,0.000096,764.455327,764.460423,150000,27.648785,27.648877,0.071389,0.071389
3,16,14.476033,0.000090,631.333823,631.337768,160000,25.126357,25.126436,0.062816,0.062816
2,17,15.756915,0.000093,601.208938,601.212474,170000,24.519562,24.519634,0.059469,0.059469
2,18,16.324502,0.000091,620.389906,620.393353,180000,24.907627,24.907697,0.058708,0.058708
1,19,18.404415,0.000097,616.580858,616.584103,190000,24.831046,24.831112,0.056966,0.056966
1,20,18.201364,0.000091,631.581963,631.585121,200000,25.131294,25.131357,0.056195,0.056195
2,21,20.267589,0.000097,780.871648,780.875366,210000,27.944081,27.944147,0.060979,0.060979
4,22,20.112662,0.000091,825.309437,825.313189,220000,28.728199,28.728265,0.061249,0.061249
2,23,23.532253,0.000102,20219.014374,20219.102283,230000,142.193581,142.193890,0.296494,0.296495
2,24,22.566881,0.000094,644.343376,644.346060,240000,25.383920,25.383973,0.051815,0.051815
