I am process 0 and I have received 12 messages. My final messages have tag 0 and value msg-left -66, msg-right 66
I am process 1 and I have received 12 messages. My final messages have tag 10 and value msg-left -66, msg-right 66
I am process 2 and I have received 12 messages. My final messages have tag 20 and value msg-left -66, msg-right 66
I am process 3 and I have received 12 messages. My final messages have tag 30 and value msg-left -66, msg-right 66
I am process 4 and I have received 12 messages. My final messages have tag 40 and value msg-left -66, msg-right 66
I am process 5 and I have received 12 messages. My final messages have tag 50 and value msg-left -66, msg-right 66
I am process 6 and I have received 12 messages. My final messages have tag 60 and value msg-left -66, msg-right 66
I am process 7 and I have received 12 messages. My final messages have tag 70 and value msg-left -66, msg-right 66
I am process 8 and I have received 12 messages. My final messages have tag 80 and value msg-left -66, msg-right 66
I am process 9 and I have received 12 messages. My final messages have tag 90 and value msg-left -66, msg-right 66
I am process 10 and I have received 12 messages. My final messages have tag 100 and value msg-left -66, msg-right 66
I am process 11 and I have received 12 messages. My final messages have tag 110 and value msg-left -66, msg-right 66
