rank,Np,mean,mean_permsg,var,s2,N,dev,s,dev_mean,dev_mean_emp
0,1,0.363836,0.000036,246.768040,246.792719,10000,15.708852,15.709638,0.157089,0.157096
1,2,0.978642,0.000049,274.566218,274.579947,20000,16.570040,16.570454,0.117168,0.117171
1,3,3.127724,0.000104,263.357883,263.366662,30000,16.228305,16.228575,0.093694,0.093696
0,4,3.685169,0.000092,369.565394,369.574634,40000,19.224084,19.224324,0.096120,0.096122
0,5,5.093188,0.000102,815.689192,815.705507,50000,28.560273,28.560559,0.127725,0.127727
2,6,5.471933,0.000091,559.247562,559.256883,60000,23.648416,23.648613,0.096544,0.096545
1,7,6.690048,0.000096,559.285233,559.293223,70000,23.649212,23.649381,0.089386,0.089386
2,8,7.223953,0.000090,577.641289,577.648509,80000,24.034169,24.034319,0.084974,0.084974
2,9,8.611166,0.000096,576.044639,576.051039,90000,24.000930,24.001063,0.080003,0.080004
2,10,8.929424,0.000089,583.936939,583.942778,100000,24.164787,24.164908,0.076416,0.076416
1,11,10.490321,0.000095,591.001783,591.007156,110000,24.310528,24.310639,0.073299,0.073299
2,12,11.176560,0.000093,753.918643,753.924926,120000,27.457579,27.457693,0.079263,0.079264
2,13,12.362521,0.000095,747.549754,747.555504,130000,27.341356,27.341461,0.075831,0.075832
2,14,12.744560,0.000091,1307.466884,1307.476223,140000,36.158912,36.159041,0.096639,0.096639
3,15,14.412170,0.000096,758.826095,758.831153,150000,27.546798,27.546890,0.071126,0.071126
4,16,14.546642,0.000091,766.110208,766.114996,160000,27.678696,27.678782,0.069197,0.069197
1,17,16.133318,0.000095,754.915648,754.920089,170000,27.475728,27.475809,0.066638,0.066639
5,18,16.312124,0.000091,595.320606,595.323914,180000,24.399193,24.399261,0.057509,0.057510
2,19,17.993539,0.000095,617.369438,617.372687,190000,24.846920,24.846985,0.057003,0.057003
2,20,18.213032,0.000091,756.350628,756.354410,200000,27.501830,27.501898,0.061496,0.061496
2,21,20.168358,0.000096,617.417144,617.420085,210000,24.847880,24.847939,0.054223,0.054223
2,22,20.442996,0.000093,775.878387,775.881914,220000,27.854594,27.854657,0.059386,0.059386
1,23,22.362075,0.000097,801.298897,801.302381,230000,28.307223,28.307285,0.059025,0.059025
2,24,22.197841,0.000092,766.560551,766.563745,240000,27.686830,27.686888,0.056516,0.056516
