"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,0.249,0,0,0.025,0.239114261884904,0,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"2",1,1000,0.238,4.21,0.435,0.025,0.239380161535523,4.17745561530839,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"3",2,1000,0.238,8.429,0.705,0.02,0.239646061186142,8.34564102619041,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"4",4,1000,0.24,16.708,1.575,0.025,0.240177860487379,16.6543243906121,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"5",8,1000,0.238,33.786,2.7,0.015,0.241241459089854,33.1617957799711,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"6",16,1000,0.234,68.361,5.33,0.015,0.243368656294804,65.7438810880331,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"7",32,1000,0.273,117.626,8.84,0.02,0.247623050704704,129.228680080195,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"8",64,1000,0.272,237.159,14.995,0.02,0.256131839524504,249.871316735993,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"9",128,1000,0.394,326.187,33.005,0.035,0.273149417164104,468.607992390844,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"10",256,1000,0.42,611.186,54.78,0.035,0.307184572443305,833.37518536107,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"11",512,1000,0.506,1014.816,80.295,0.04,0.375254883001705,1364.40596296697,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"12",1024,1000,0.614,1675.341,117.56,0.04,0.511395504118506,2002.36410322979,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"13",2048,1000,0.849,2420.149,164.375,0.055,0.783676746352108,2613.32240561318,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"14",4096,1000,1.24,3308.719,189.765,0.065,1.32823923081931,3083.78182556272,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"15",8192,1000,2.017,4063.254,174.335,0.085,2.41736419975372,3388.81497493617,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"16",16384,1000,3.094,5300.393,176.94,0.1,4.59561413762253,3565.13830564461,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"17",32768,1000,4.957,6612.895,198.015,0.145,8.95211401336016,3660.36446263943,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"18",65536,640,8.597,7629.113,323.245,0.35,17.6651137648354,3709.91100722247,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"19",131072,320,15.845,8283.159,435.3,0.79,35.0911132677859,3735.19070198111,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"20",262144,160,16.213,16296.581,1868.87,1.745,69.943112273687,3747.96018476033,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"21",524288,80,29.12,18160.862,2324.245,3.44,139.647110285489,3754.37772344996,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"22",1048576,40,68.022,15537.064,2020.96,8.29,279.055106309093,3757.59474130014,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"23",2097152,20,182.004,11563.212,1107.92,16.095,557.871098356301,3759.20531853864,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"24",4194304,10,370.957,11347.14,1179.44,36.265,1115.50308245072,3760.01112501211,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"25",8388608,5,1094.636,7692.816,927.325,119.885,2230.76705063955,3760.41415780954,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"26",16777216,2,2890.581,5912.549,1425.96,828.345,4461.29498701722,3760.61570661058,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"27",33554432,1,7719.995,4472.104,1130.34,1700.75,8922.35085977255,3760.7164891132,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"28",67108864,1,17195.085,3908.292,267.89,1141.725,17844.4626052832,3760.76688239023,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"29",134217728,1,35537.395,3781.194,217.065,2036.575,35688.6860963045,3760.7920795352,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
"30",268435456,1,71314.574,3765.264,110.02,2043.335,71377.1330783472,3760.8046782343,0.239114261884904,0.0105586584344856,3760.81727701781,1.69900118576429e-06
