"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,0.231,0,0,0.005,0.234158465387823,0,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"2",1,1000,0.234,4.263,0.035,0.005,0.234340755614981,4.26729015776917,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"3",2,1000,0.235,8.52,0.06,0.005,0.23452304584214,8.52794655134329,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"4",4,1000,0.236,17.04,0.11,0.005,0.234887626296456,17.0294198254255,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"5",8,1000,0.235,34.062,0.26,0.005,0.235616787205089,33.9534381013205,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"6",16,1000,0.237,67.923,0.475,0.005,0.237075109022355,67.4891601483616,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"7",32,1000,0.243,131.503,1.595,0.005,0.239991752656887,133.337915348075,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"8",64,1000,0.244,262.135,3.24,0.005,0.24582503992595,260.347766115603,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"9",128,1000,0.261,490.791,8.44,0.005,0.257491614464077,497.103566911913,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"10",256,1000,0.28,907.952,5.595,0,0.280824763540332,911.60051831837,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"11",512,1000,0.422,1216.038,55.66,0.02,0.32749106169284,1563.40144782398,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"12",1024,1000,0.456,2243.101,130.405,0.025,0.420823657997858,2433.32327101537,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"13",2048,1000,0.598,3427.569,146.915,0.025,0.607488850607892,3371.25528797877,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"14",4096,1000,0.852,4801.319,120.26,0.02,0.980819235827961,4176.10080469349,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"15",8192,1000,1.407,5821.117,133.82,0.03,1.7274800062681,4742.16776476464,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"16",16384,1000,2.338,7010.352,141.9,0.045,3.22080154714837,5086.93247943389,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"17",32768,1000,3.509,9338.532,104.67,0.04,6.20744462890892,5278.82276184872,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"18",65536,640,5.652,11596.094,102.45,0.05,12.18073079243,5380.30115900178,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"19",131072,320,8.606,15231.028,112.43,0.06,24.1273031194722,5432.51764819984,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"20",262144,160,14.903,17589.42,100.275,0.085,48.0204477735566,5459.00782175452,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"21",524288,80,41.362,12676.507,143.73,0.475,95.8067370817254,5472.35002432835,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"22",1048576,40,81.147,12922.045,89.505,0.565,191.379315698063,5479.04561250666,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"23",2097152,20,153.643,13649.477,48.35,0.545,382.524472930738,5482.39955455012,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"24",4194304,10,384.077,10922.299,244.765,8.69,764.814787396089,5484.07806585442,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"25",8388608,5,1112.69,7539.638,96.635,14.265,1529.39541632679,5484.9177069899,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"26",16777216,2,2440.357,6876.779,199.14,73.365,3058.55667418819,5485.33762398012,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"27",33554432,1,5899.272,5687.905,12.695,13.165,6116.879189911,5485.54760658731,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"28",67108864,1,11819.231,5677.966,24.03,50.17,12233.5242213566,5485.65260391974,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"29",134217728,1,23715.251,5659.558,8.89,37.25,24466.8142842478,5485.70510409325,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
"30",268435456,1,49217.272,5454.107,16.775,151.5,48933.3944100303,5485.73135455685,0.234158465387823,0.0105586584344856,5485.75760527168,8.81075832989503e-07
