"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,0.282,0,0,0.005,0.289496246872394,0,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"2",1,1000,0.291,3.409,0.065,0.005,0.289691201440939,3.45195157818376,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"3",2,1000,0.291,6.819,0.06,0.005,0.289886156009485,6.89926013553598,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"4",4,1000,0.29,13.686,0.125,0,0.290276065146576,13.7799856077703,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"5",8,1000,0.29,27.444,0.15,0,0.291055883420758,27.4861305189114,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"6",16,1000,0.29,54.669,0.495,0,0.292615519969122,54.6792596704659,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"7",32,1000,0.3,106.508,0.845,0,0.295734793065849,108.205056524664,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"8",64,1000,0.3,212.907,1.135,0,0.301973339259305,211.939239924234,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"9",128,1000,0.3,423.397,3.905,0,0.314450431646217,407.059387166022,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"10",256,1000,0.319,804.867,8.125,0.005,0.33940461642004,754.261985886427,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"11",512,1000,0.548,933.498,27.57,0.015,0.389312985967686,1315.13722494347,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"12",1024,1000,0.608,1688.831,40.595,0.015,0.489129725062978,2093.5141487632,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"13",2048,1000,0.745,2744.252,82.09,0.025,0.688763203253562,2973.44572173094,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"14",4096,1000,0.962,4256.255,89.42,0.02,1.08803015963473,3764.60152664803,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"15",8192,1000,1.493,5483.911,91.015,0.025,1.88656407239707,4342.28559732469,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"16",16384,1000,2.381,6879.237,128.33,0.045,3.48363189792174,4703.13755301596,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"17",32768,1000,3.584,9138.752,95.015,0.035,6.67776754897108,4907.02914704615,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"18",65536,640,5.854,11196.165,179.605,0.095,13.0660388510698,5015.75119644117,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"19",131072,320,8.804,14889.406,69.02,0.04,25.8425814552672,5071.9391260073,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"20",262144,160,15.804,16616.607,1000.71,1.015,51.3956666636619,5100.50782521209,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"21",524288,80,42.027,12477.304,280.13,0.955,102.501837080451,5114.91320480918,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"22",1048576,40,84.231,12449.364,163.385,1.105,204.71417791403,5122.14645162656,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"23",2097152,20,171.413,12266.895,1006.68,14.65,409.138859581189,5125.77075212736,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"24",4194304,10,418.011,10039.815,391.26,16.605,817.988222915505,5127.58482640557,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"25",8388608,5,1029.101,8152.13,123.16,15.54,1635.68694958414,5128.49234514755,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"26",16777216,2,2139.609,7841.412,56.67,15.495,3271.0844029214,5128.94622499386,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"27",33554432,1,5997.495,5594.847,35.88,38.5,6541.87930959593,5129.17319504516,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"28",67108864,1,12371.012,5425.045,69.935,159.46,13083.469122945,5129.28668760402,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"29",134217728,1,25676.541,5227.262,13.43,65.95,26166.6487496431,5129.3434357669,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
"30",268435456,1,52524.924,5110.724,29.99,309.105,52333.0080030393,5129.37181031922,0.289496246872394,0.0105586584344856,5129.40018518546,1.16812526308009e-06
