"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,5.387,0,0,0.165,5.47214762301918,0,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"2",1,1000,5.486,0.183,0.005,0.19,5.47234007619449,0.182737181183266,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"3",2,1000,5.491,0.366,0.015,0.18,5.47253252936979,0.365461509687968,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"4",4,1000,5.489,0.731,0.025,0.17,5.4729174357204,0.7308716140852,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"5",8,1000,5.49,1.458,0.05,0.175,5.47368724842162,1.46153765038491,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"6",16,1000,5.491,2.917,0.095,0.175,5.47522687382405,2.92225333647684,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"7",32,1000,5.498,5.825,0.185,0.17,5.47830612462892,5.84122158784392,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"8",64,1000,5.511,11.618,0.38,0.175,5.48446462623865,11.6693249681678,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"9",128,1000,5.579,22.958,0.71,0.17,5.49678162945812,23.2863534752823,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"10",256,1000,5.613,45.621,1.49,0.18,5.52141563589706,46.3649210422841,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"11",512,1000,5.659,90.539,3.285,0.2,5.57068364877493,91.9097246013236,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"12",1024,1000,6.259,163.671,5.335,0.2,5.66921967453067,180.624505450086,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"13",2048,1000,6.098,336.038,10.455,0.19,5.86629172604216,349.113221033372,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"14",4096,1000,7.082,578.813,17.77,0.215,6.26043582906514,654.267548112804,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"15",8192,1000,7.511,1091.145,35.835,0.24,7.04872403511109,1162.19615907702,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"16",16384,1000,9.835,1666.73,43.65,0.255,8.625300447203,1899.52803386843,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"17",32768,1000,15.84,2069.235,46.74,0.355,11.7784532713868,2782.02912088658,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"18",65536,640,30.564,2144.972,54.55,0.765,18.0847589197545,3623.82491747862,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"19",131072,320,43.346,3025.408,85.92,1.21,30.6973702164897,4269.81200916005,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"20",262144,160,62.451,4198.317,81.55,1.21,55.9225928099603,4687.62242285214,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"21",524288,80,97.119,5399.144,91.98,1.64,106.373037996901,4928.76775800342,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"22",1048576,40,165.38,6341.652,122.98,3.165,207.273928370784,5058.889983135,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"23",2097152,20,311.76,6727.478,86.56,3.98,409.075709118548,5126.56203546971,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"24",4194304,10,665.196,6306.081,91.51,9.57,812.679270614077,5161.08156275562,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"25",8388608,5,1606.275,5222.796,60.985,18.675,1619.88639360514,5178.51624232163,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"26",16777216,2,3405.333,4927.014,52.005,35.755,3234.30063958725,5187.27782898409,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"27",33554432,1,6843.577,4903.277,52.17,72.415,6463.12913155148,5191.66974959468,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"28",67108864,1,13006.238,5159.753,11.23,28.335,12920.7861154799,5193.86849996682,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"29",134217728,1,25986.976,5165.187,75.845,389.85,25836.1000833369,5194.96857370375,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
"30",268435456,1,51553.871,5207.417,91.115,924.465,51666.7280190507,5195.51878533941,5.47214762301918,0.0105586584344856,5196.06911353589,3.93781052348346e-07
