"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,5.858,0,0,0.675,5.94402001668057,0,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"2",1,1000,5.952,0.17,0.02,0.7,5.94431406771439,0.168227988731508,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"3",2,1000,5.953,0.335,0.04,0.685,5.94460811874821,0.336439334611876,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"4",4,1000,5.965,0.672,0.075,0.675,5.94519622081584,0.67281210769711,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"5",8,1000,5.959,1.345,0.16,0.69,5.94637242495112,1.34535804828366,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"6",16,1000,5.969,2.687,0.33,0.705,5.94872483322168,2.68965205965575,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"7",32,1000,5.974,5.373,0.685,0.74,5.95342964976279,5.37505301692361,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"8",64,1000,5.955,10.782,1.39,0.75,5.96283928284502,10.7331418748996,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"9",128,1000,6.009,21.364,2.605,0.73,5.98165854900947,21.3987473459507,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"10",256,1000,6.016,42.708,5.305,0.745,6.01929708133838,42.5298828983996,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"11",512,1000,6.076,84.567,10.2,0.74,6.0945741459962,84.0091510473059,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"12",1024,1000,6.795,151.232,18.78,0.85,6.24512827531184,163.967808963679,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"13",2048,1000,6.452,318.289,37.355,0.755,6.54623653394311,312.85151237369,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"14",4096,1000,7.46,550.647,63.4,0.865,7.14845305120565,572.991103202276,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"15",8192,1000,7.854,1045.212,105.925,0.79,8.35288608573073,980.73886270213,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"16",16384,1000,10.278,1598.076,161.78,1.065,10.7617521547809,1522.4286681534,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"17",32768,1000,16.478,1993.89,214.175,1.79,15.5794842928812,2103.27886238011,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"18",65536,640,35.152,1867.968,173.82,3.3,25.2149485690818,2599.09314589518,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"19",131072,320,51.994,2527.1,261.9,5.315,44.4858771214831,2946.37328701119,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"20",262144,160,72.934,3603.514,395.94,8.045,83.0277342262857,3157.30644034615,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"21",524288,80,114.855,4574.601,437,11.025,160.111448435891,3274.5191247828,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"22",1048576,40,192.345,5460.792,475.92,16.515,314.278876855101,3336.45076784288,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"23",2097152,20,376.411,5582.33,502.775,35.405,622.613733693522,3368.30347053075,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"24",4194304,10,800.049,5269.572,714.035,122.015,1239.28344737036,3384.45898627945,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"25",8388608,5,1824.399,4604.697,355.46,147.595,2472.62287472404,3392.59499932282,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"26",16777216,2,3727.189,4505.144,279.46,234.6,4939.30172943141,3396.67769232055,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"27",33554432,1,7455.516,4503.39,239.025,397.76,9872.65943884614,3398.72272591241,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"28",67108864,1,14802.442,4536.386,229.96,756.915,19739.3748576756,3399.74616642456,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"29",134217728,1,36240.068,3733.583,617.585,5369.8,39472.8056953345,3400.25811785312,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
"30",268435456,1,81141.608,3312.18,172.245,4029.09,78939.6673706523,3400.51415139098,5.94402001668057,0.0105586584344856,3400.77022348951,5.16978993943326e-06
