"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,0.31,0,0,0.03,0.330979149291076,0,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"2",1,1000,0.337,2.987,0.425,0.045,0.331336148220769,3.01808301137641,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"3",2,1000,0.339,5.969,0.85,0.045,0.331693147150462,6.02966934102128,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"4",4,1000,0.334,12.036,1.52,0.04,0.332407145009848,12.0334356828626,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"5",8,1000,0.338,23.824,3.2,0.04,0.333835140728621,23.9639241768838,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"6",16,1000,0.348,46.423,5.26,0.035,0.336691132166166,47.5212991119219,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"7",32,1000,0.344,93.427,11.065,0.04,0.342403115041255,93.4570936836962,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"8",64,1000,0.377,170.028,19.42,0.04,0.353827080791435,180.879314994335,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"9",128,1000,0.427,300.661,18.555,0.025,0.376675012291794,339.815479718745,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"10",256,1000,0.495,518.879,45.635,0.04,0.422370875292511,606.102397147313,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"11",512,1000,0.671,765.583,65.605,0.055,0.513762601293946,996.569230050013,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"12",1024,1000,0.76,1348.593,82.91,0.045,0.696546053296817,1470.11097852513,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"13",2048,1000,0.901,2275.025,126.02,0.045,1.06211295730256,1928.23181933614,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"14",4096,1000,2.019,2034.626,199.22,0.185,1.79324676531404,2284.12512947302,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"15",8192,1000,2.388,3450.235,382.125,0.24,3.255514381337,2516.3458183329,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"16",16384,1000,3.006,5471.73,544.76,0.275,6.18004961338293,2651.11140281469,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"17",32768,1000,4.182,7862.91,771.47,0.37,12.0291200774748,2724.05627252487,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"18",65536,640,6.59,9987.363,958.005,0.58,23.7272610056585,2762.05500434167,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"19",131072,320,11.215,11738.715,1270.95,1.1,47.1235428620259,2781.45470479095,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"20",262144,160,20.481,12859.564,1349.27,1.93,93.9161065747607,2791.25710765409,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"21",524288,80,44.261,11906.676,1452.155,4.765,187.50123400023,2796.18426404253,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"22",1048576,40,118.243,8897.43,857.075,10.355,374.67148885117,2798.65437110035,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"23",2097152,20,266.215,7888.741,427.48,13.655,749.011998553048,2799.89106189394,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"24",4194304,10,643.702,6522.829,333.91,32.655,1497.69301795681,2800.50981724011,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"25",8388608,5,1881.645,4460.395,157.72,65.425,2995.05505676432,2800.81929747981,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"26",16777216,2,4134.72,4060.114,162.41,161.64,5989.77913437935,2800.97406325124,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"27",33554432,1,8259.569,4064.754,135.555,271.085,11979.2272896094,2801.05145255108,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"28",67108864,1,16419.045,4089.589,136.84,540.33,23958.1236000695,2801.0901488047,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"29",134217728,1,41971.346,3215.829,445.15,5515.4,47915.9162209897,2801.10949733244,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
"30",268435456,1,99580.109,2697.863,118.92,4302.14,95831.5014628302,2801.11917169655,0.330979149291076,0.0105586584344856,2801.12884612749,8.37917932794598e-06
