"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,0.43,0,0,0,0.431814011676397,0,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"2",1,1000,0.433,2.302,0.01,0.005,0.432046537868938,2.31456547466502,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"3",2,1000,0.431,4.611,0.035,0.005,0.43227906406148,4.62664090462534,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"4",4,1000,0.435,9.176,0.14,0.01,0.432744116446563,9.24333768612643,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"5",8,1000,0.438,18.358,0.145,0.005,0.433674221216729,18.4470268432257,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"6",16,1000,0.433,36.801,0.16,0.005,0.435534430757061,36.7364756264809,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"7",32,1000,0.462,69.189,0.99,0.005,0.439254849837724,72.8506469804987,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"8",64,1000,0.468,137.275,1.865,0.005,0.446695687999052,143.274273111264,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"9",128,1000,0.566,226.486,2.98,0.005,0.461577364321706,277.309959053338,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"10",256,1000,0.612,418.611,5.76,0.005,0.491340716967015,521.023377790174,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"11",512,1000,0.829,618.469,19.925,0.025,0.550867422257633,929.443236816689,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"12",1024,1000,0.901,1138.886,27.91,0.025,0.669920832838869,1528.53882101364,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"13",2048,1000,1.067,1917.034,62.125,0.035,0.908027654001341,2255.43791642823,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"14",4096,1000,1.486,2757.763,124.8,0.065,1.38424129632628,2959.0216755349,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"15",8192,1000,1.991,4114.583,80.855,0.04,2.33666858097617,3505.84591528923,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"16",16384,1000,3.282,4992.096,138.415,0.09,4.24152315027595,3862.76330919804,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"17",32768,1000,5.09,6437.562,131.23,0.105,8.0512322888755,4069.93598300176,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"18",65536,640,9.167,7149.019,90.59,0.115,15.6706505660746,4182.08546758607,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"19",131072,320,17.856,7340.802,60.345,0.145,30.9094871204728,4240.51034846142,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"20",262144,160,34.283,7646.49,76.44,0.34,61.3871602292692,4270.33925369642,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"21",524288,80,81.931,6399.292,52.345,0.67,122.342506446862,4285.41163023922,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"22",1048576,40,166.314,6305.136,71.835,1.895,244.253198882048,4292.98778807956,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"23",2097152,20,330.075,6353.821,60.415,3.15,488.074583752419,4296.78592127592,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"24",4194304,10,655.058,6403.254,63.66,6.53,975.717353493162,4298.68750922999,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"25",8388608,5,1365.897,6142.314,94.28,21.06,1951.00289297465,4299.63893452259,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"26",16777216,2,3833.526,4376.619,50.24,44.16,3901.57397193762,4300.11480512005,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"27",33554432,1,7793.303,4305.742,46.345,83.875,7802.71612986356,4300.35277992187,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"28",67108864,1,15573.563,4309.374,47.63,173.345,15605.0004457154,4300.47177720047,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"29",134217728,1,31143.439,4309.844,44.335,321.445,31209.5690774192,4300.53127830943,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
"30",268435456,1,62349.389,4305.581,46.01,669.095,62418.7063408267,4300.56102948135,0.431814011676397,0.0105586584344856,4300.59078106492,4.9917100988352e-07
