"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,0.471,0,0,0.005,0.470924103419516,0,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"2",1,1000,0.473,2.112,0.03,0.005,0.471123588903059,2.12258529089649,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"3",2,1000,0.474,4.223,0.045,0.005,0.471323074386603,4.24337383142736,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"4",4,1000,0.472,8.445,0.105,0.005,0.471722045353689,8.47956977927726,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"5",8,1000,0.473,16.875,0.215,0.005,0.472519987287863,16.9305007517626,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"6",16,1000,0.472,33.823,0.565,0.005,0.474115871156209,33.7470246692678,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"7",32,1000,0.5,64.097,0.745,0.01,0.477307638892902,67.0427149966065,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"8",64,1000,0.499,128.613,2.005,0.01,0.483691174366288,132.315831654051,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"9",128,1000,0.585,218.999,2.65,0.005,0.496458245313059,257.826315119986,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"10",256,1000,0.63,406.435,4.88,0.01,0.521992387206602,490.428608298221,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"11",512,1000,0.963,531.757,19.795,0.035,0.573060670993688,893.448156391872,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"12",1024,1000,0.994,1030.492,21.705,0.02,0.67519723856786,1516.59388028893,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"13",2048,1000,1.147,1788.045,43,0.025,0.879470373716204,2328.6742353198,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"14",4096,1000,1.583,2588.786,126.11,0.08,1.28801664401289,3180.08312939084,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"15",8192,1000,2.087,3928.222,96.145,0.05,2.10510918460627,3891.48461272435,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"16",16384,1000,3.573,4588.796,179.06,0.14,3.73929426579302,4381.57546194758,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"17",32768,1000,5.524,5993.555,919.445,1.095,7.00766442816652,4676.02299395112,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"18",65536,640,9.513,6958.299,1074.95,1.87,13.5444047529135,4838.60318674415,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"19",131072,320,15.809,8414.574,1467.73,3.785,26.6178854024076,4924.2078406478,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"20",262144,160,29.629,8990.253,1673.43,7.555,52.7648467013956,4968.15619466334,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"21",524288,80,68.048,7745.905,922.91,9.655,105.058769299372,4990.42586826815,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"22",1048576,40,132.781,7934.881,869.355,17.3,209.646614495324,5001.63574081178,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"23",2097152,20,258.782,8144.86,937.625,35.36,418.822304887228,5007.25958366682,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"24",4194304,10,513.31,8215.465,980.105,73.08,837.173685671037,5010.07625035187,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"25",8388608,5,1066.42,7913.767,984.85,160.1,1673.87644723865,5011.48577234505,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"26",16777216,2,2346.392,7210.612,1011.355,415.09,3347.28197037389,5012.19083079697,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"27",33554432,1,7707.179,4357.423,253.78,424.495,6694.09301664436,5012.54343442337,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"28",67108864,1,15478.277,4337.952,198.09,678.14,13387.7151091853,5012.71975484126,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"29",134217728,1,29506.701,4549.027,64.515,423.215,26774.9592942672,5012.80791970196,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
"30",268435456,1,51797.72,5192.184,389.205,4292.13,53549.4476644309,5012.85200329531,0.470924103419516,0.0105586584344856,5012.89608766403,3.32282615902756e-06
