"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,1.362,0,0,0.01,1.35774478732277,0,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"2",1,1000,1.354,0.74,0,0.005,1.35782711951178,0.736470781611405,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"3",2,1000,1.353,1.479,0.01,0.005,1.35790945170078,1.47285225645568,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"4",4,1000,1.356,2.954,0.015,0.005,1.3580741160788,2.94534735081271,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"5",8,1000,1.357,5.898,0.035,0.01,1.35840344483482,5.88926657276901,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"6",16,1000,1.359,11.775,0.05,0.005,1.35906210234688,11.772824782893,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"7",32,1000,1.39,23.021,0.12,0.01,1.36037941737099,23.5228492811526,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"8",64,1000,1.68,38.076,0.41,0.02,1.36301404741921,46.9547618538344,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"9",128,1000,1.723,74.27,0.745,0.015,1.36828330751565,93.547878057802,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"10",256,1000,1.99,128.69,0.705,0.01,1.37882182770853,185.665758153428,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"11",512,1000,2.067,247.594,1.865,0.015,1.39989886809429,365.740705753263,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"12",1024,1000,2.284,448.05,3.465,0.015,1.44205294886581,710.098752480194,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"13",2048,1000,2.976,688.503,2.48,0.01,1.52636111040886,1341.7532627331,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"14",4096,1000,3.93,1042.225,7.915,0.03,1.69497743349495,2416.55134697238,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"15",8192,1000,5.505,1487.725,7.37,0.03,2.03221007966712,4031.07930718553,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"16",16384,1000,7.293,2246.702,13.265,0.04,2.70667537201148,6053.18250183218,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"17",32768,1000,10.058,3257.618,12.555,0.035,4.05560595670019,8079.68041023921,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"18",65536,640,14.494,4521.639,11.315,0.035,6.75346712607762,9704.05256685732,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"19",131072,320,23.546,5566.961,15.38,0.065,12.1491894648325,10788.5386411502,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"20",262144,160,33.89,7735.238,82.95,0.365,22.9406341423422,11427.0598787046,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"21",524288,80,56.461,9289.754,213,1.31,44.5235234973615,11775.5280538628,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"22",1048576,40,98.913,10600.931,26.49,0.25,87.6893022074003,11957.8554464938,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"23",2097152,20,185.195,11324.098,47.845,0.78,174.020859627478,12051.1529737833,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"24",4194304,10,355.473,11799.273,50.19,1.52,346.683974467633,12098.3498197191,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"25",8388608,5,698.238,12013.963,16.85,0.98,692.010204147943,12122.0871451292,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"26",16777216,2,1384.077,12121.594,16.21,1.85,1382.66266350856,12133.9907721433,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"27",33554432,1,2762.044,12148.423,22.45,5.105,2763.9675822298,12139.9513567848,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"28",67108864,1,5510.911,12177.468,20.945,9.49,5526.57741967229,12142.9338456602,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"29",134217728,1,11036.807,12160.924,6.77,6.145,11051.7970945572,12144.4256397088,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
"30",268435456,1,22121.631,12134.652,68.66,126.185,22102.2364443272,12145.1716741949,1.35774478732277,0.0105586584344856,12145.9178003447,2.97402316256234e-08
