"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,1.132,0,0,0.075,1.12417014178482,0,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"2",1,1000,1.127,0.889,0.06,0.075,1.1242520385268,0.889480263972109,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"3",2,1000,1.132,1.77,0.105,0.065,1.12433393526878,1.77883094805093,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"4",4,1000,1.13,3.539,0.21,0.065,1.12449772875274,3.55714368977578,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"5",8,1000,1.13,7.088,0.46,0.075,1.12482531572066,7.11221545976189,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"6",16,1000,1.131,14.172,0.925,0.075,1.12548048965649,14.2161504771028,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"7",32,1000,1.152,27.86,1.79,0.07,1.12679083752816,28.3992369606043,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"8",64,1000,1.329,48.328,4.84,0.135,1.1294115332715,56.6666782785676,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"9",128,1000,1.378,93.233,9.375,0.14,1.13465292475819,112.809826870432,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"10",256,1000,1.628,157.92,16.295,0.17,1.14513570773155,223.554289916539,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"11",512,1000,1.708,301.033,29.375,0.17,1.16610127367828,439.069926049371,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"12",1024,1000,1.884,545.533,56.85,0.195,1.20803240557174,847.659380060552,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"13",2048,1000,2.578,796.424,70.25,0.225,1.29189466935866,1585.26855832348,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"14",4096,1000,3.365,1220.624,94.935,0.26,1.4596191969325,2806.21137938446,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"15",8192,1000,4.324,1900.4,176.05,0.4,1.79506825208019,4563.61477648932,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"16",16384,1000,6.365,2620.602,555.86,1.77,2.46596636237556,6644.04845499055,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"17",32768,1000,9.628,3404.91,94.115,0.27,3.8077625829663,8605.57854803891,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"18",65536,640,12.627,5191.579,116.365,0.285,6.49135502414777,10095.8890333693,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"19",131072,320,21.775,6020.242,153.4,0.545,11.8585399065107,11052.9627621388,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"20",262144,160,34.236,7779.042,1426.76,8.63,22.5929096712366,11602.9322391237,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"21",524288,80,55.931,9380.86,319.81,1.92,44.0616492006884,11898.9645079333,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"22",1048576,40,97.549,10750.047,105.435,0.96,86.999128259592,12052.718469445,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"23",2097152,20,182.775,11474.562,129.95,2.085,172.874086377399,12131.0952031396,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"24",4194304,10,353.544,11863.735,64.865,1.93,344.624002613014,12170.6670696118,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"25",8388608,5,695.755,12056.915,52.14,3.01,688.123835084242,12190.5499741526,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"26",16777216,2,1381.84,12141.312,54.08,6.16,1375.1235000267,12200.5158079796,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"27",33554432,1,2760.444,12155.485,36.665,8.335,2749.12282991161,12205.5048377299,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"28",67108864,1,5509.222,12181.221,39.265,17.82,5497.12148968144,12208.0008830019,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"29",134217728,1,11002.277,12199.103,20.57,18.55,10993.1188092211,12209.249288511,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
"30",268435456,1,21988.086,12208.299,62.485,112.51,21985.1134483004,12209.8735870181,1.12417014178482,0.0105586584344856,12210.4979493733,1.50256488280992e-08
