"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,1.306,0,0,0.05,1.28771226021685,0,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"2",1,1000,1.307,0.765,0.025,0.045,1.28779430214403,0.776521528581942,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"3",2,1000,1.314,1.524,0.05,0.045,1.28787634407122,1.55294412325148,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"4",4,1000,1.313,3.051,0.115,0.045,1.28804042792559,3.10549258647267,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"5",8,1000,1.303,6.145,0.23,0.045,1.28836859563433,6.20940313750909,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"6",16,1000,1.306,12.264,0.485,0.055,1.28902493105182,12.4124829664422,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"7",32,1000,1.327,24.126,0.945,0.055,1.29033760188678,24.7997112950969,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"8",64,1000,1.478,43.439,2.465,0.09,1.29296294355672,49.4987117140007,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"9",128,1000,1.522,84.263,4.49,0.085,1.2982136268966,98.5970239012097,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"10",256,1000,1.95,137.706,39.34,0.95,1.30871499357635,195.611726966178,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"11",512,1000,1.843,278.412,16.485,0.115,1.32971772693585,385.044126003969,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"12",1024,1000,2.017,509.084,30.915,0.13,1.37172319365486,746.506295684646,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"13",2048,1000,2.678,765.994,52.18,0.19,1.45573412709287,1406.85030451948,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"14",4096,1000,3.405,1205.637,71.5,0.21,1.62375599396889,2522.54650034473,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"15",8192,1000,4.308,1906.147,121.27,0.285,1.95979972772093,4180.01894996003,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"16",16384,1000,6.038,2716.859,139.22,0.325,2.63188719522502,6225.19081734398,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"17",32768,1000,10.397,3152.144,82.77,0.275,3.97606213023319,8241.31991068213,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"18",65536,640,13.358,4907.444,113.29,0.31,6.66441200024954,9833.72576568588,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"19",131072,320,22.399,5852.455,146.445,0.55,12.0411117402822,10885.3736122648,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"20",262144,160,33.391,7850.736,46.91,0.2,22.7945112203476,11500.3123982758,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"21",524288,80,56.659,9258.727,307.475,1.9,44.3013101804784,11834.5935563556,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"22",1048576,40,99.262,10568.187,394.825,3.875,87.3149081007399,12009.1290572075,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"23",2097152,20,186.017,11275.971,285.45,4.82,173.342103941263,12098.3416741649,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"24",4194304,10,355.416,11801.31,64.18,1.935,345.396495622309,12143.4468883161,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"25",8388608,5,704.903,11906.907,485.84,30.4,689.505278984401,12166.1258523733,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"26",16777216,2,1400.481,11989.96,592.355,74.37,1377.72284570859,12177.4971303254,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"27",33554432,1,2765.604,12132.869,55.61,12.695,2754.15797915695,12183.1907442982,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"28",67108864,1,5516.54,12165.097,40.78,18.525,5507.02824605369,12186.0395482972,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"29",134217728,1,11011.15,12189.299,35.065,31.63,11012.7687798472,12187.4644499585,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
"30",268435456,1,22034.147,12182.78,54.065,97.63,22024.2498474341,12188.1770257557,1.28771226021685,0.0105586584344856,12188.8896848835,2.20089691324665e-08
