"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,15.98,0,0,0.715,16.0364020016681,0,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"2",1,1000,16.021,0.062,0.005,0.68,16.0367611248413,0.0623567310266272,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"3",2,1000,16.027,0.124,0.005,0.635,16.0371202480146,0.124710669314063,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"4",4,1000,16.041,0.248,0.01,0.71,16.0378384943611,0.249410168421786,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"5",8,1000,16.043,0.5,0.025,0.765,16.0392749870541,0.498775662020703,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"6",16,1000,16.086,0.996,0.045,0.71,16.0421479724401,0.997372672754765,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"7",32,1000,16.11,1.988,0.09,0.745,16.0478939432121,1.99403112416102,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"8",64,1000,16.276,3.936,0.18,0.755,16.0593858847562,3.9852084294674,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"9",128,1000,16.745,7.649,0.4,0.885,16.0823697678443,7.95902605447664,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"10",256,1000,16.766,15.281,0.77,0.83,16.1283375340205,15.8726836823698,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"11",512,1000,17.094,29.981,1.58,0.895,16.2202730663729,31.5654365314881,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"12",1024,1000,17.55,58.393,3.075,0.915,16.4041441310778,62.423250601659,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"13",2048,1000,39.014,52.503,1,0.74,16.7718862604874,122.109103781895,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"14",4096,1000,39.35,104.114,2.175,0.825,17.5073705193068,233.958605918747,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"15",8192,1000,40.263,203.502,4.65,0.925,18.9783390369456,431.649997613196,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"16",16384,1000,42.28,387.627,9.475,1.04,21.9202760722232,747.435841867038,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"17",32768,1000,50.165,655.53,58.075,4.49,27.8041501427783,1178.5290984163,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"18",65536,640,65.124,1006.905,41.31,2.65,39.5718982838885,1656.12474614802,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"19",131072,320,115.766,1134.483,92.12,9.245,63.1073945661089,2076.96738078283,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"20",262144,160,158.415,1658.402,129.88,12.415,110.17838713055,2379.26880967487,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"21",524288,80,234.164,2243.918,178.12,17.975,204.320372259432,2566.00942041304,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"22",1048576,40,368.126,2861.992,343.735,42.275,392.604342517195,2670.82119692569,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"23",2097152,20,674.654,3122.27,374.675,77.705,769.172283032722,2726.50490177736,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"24",4194304,10,1424.252,2958.433,323.39,143.49,1522.30816406378,2755.22663479868,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"25",8388608,5,3060.203,2752.031,272.31,291.865,3028.57992612588,2769.81562468803,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"26",16777216,2,6351.146,2651.653,266.555,598.455,6041.1234502501,2777.16821021187,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"27",33554432,1,12726.976,2645.522,221.7,1031.005,12066.2104984985,2780.85916072618,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"28",67108864,1,24595.245,2734.87,195.16,1711.135,24116.3845949954,2782.70831747833,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"29",134217728,1,48612.194,2768.806,216.835,3761.64,48216.7327879891,2783.63381837091,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
"30",268435456,1,96158.04,2800.41,246.345,8500.965,96417.4291739766,2784.09679971484,16.0364020016681,0.0105586584344856,2784.55993509295,7.50990052722451e-07
