"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,15.445,0,0,0.45,15.4804445371143,0,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"2",1,1000,15.496,0.063,0.005,0.39,15.4809165041234,0.0645956587734097,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"3",2,1000,15.476,0.13,0,0.4,15.4813884711325,0.129187379008628,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"4",4,1000,15.467,0.26,0.01,0.375,15.4823324051507,0.258359005305252,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"5",8,1000,15.481,0.515,0.015,0.395,15.484220273187,0.516655011286106,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"6",16,1000,15.514,1.031,0.025,0.395,15.4879960092598,1.03305811742423,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"7",32,1000,15.546,2.059,0.05,0.39,15.4955474814054,2.0651093508248,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"8",64,1000,15.628,4.095,0.11,0.42,15.5106504256965,4.12619704806002,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"9",128,1000,16.079,7.964,0.285,0.57,15.5408563142788,8.23635438173343,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"10",256,1000,16.063,15.94,0.415,0.415,15.6012680914434,16.4089225631861,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"11",512,1000,16.33,31.359,0.805,0.425,15.7220916457725,32.565641489418,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"12",1024,1000,16.773,61.062,1.445,0.4,15.9637387544307,64.145374448438,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"13",2048,1000,38.383,53.36,0.495,0.36,16.4470329717472,124.520939644133,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"14",4096,1000,38.775,105.644,1.57,0.58,17.4136214063801,235.218160795623,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"15",8192,1000,39.833,205.669,1.555,0.3,19.3467982756459,423.429235333076,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"16",16384,1000,41.553,394.309,4.04,0.425,23.2131520141774,705.806776692518,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"17",32768,1000,47.931,684.371,26.37,1.8,30.9458594912406,1058.88156085227,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"18",65536,640,80.743,811.692,8.94,0.895,46.411274445367,1412.07068289292,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"19",131072,320,133.334,984.499,67.965,9.595,77.3421043536197,1694.7043411273,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"20",262144,160,202.585,1294.39,39.465,6.29,139.203764170125,1883.16746722183,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"21",524288,80,313.914,1670.75,48.555,9.115,262.927083803136,1994.04333861838,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"22",1048576,40,518.026,2026.596,128.81,34.47,510.373723069157,2054.5258358803,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"23",2097152,20,930.064,2256.705,105.555,44.135,1005.2670016012,2086.16416997637,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"24",4194304,10,1896.299,2213.229,98.67,84.14,1995.05355866529,2102.35157937616,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"25",8388608,5,3936.735,2132.621,106.345,193.07,3974.62667279346,2110.53985457816,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"26",16777216,2,7797.63,2153.242,105.59,378.39,7933.77290104981,2114.65795772652,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"27",33554432,1,15586.997,2154.512,103.93,740.22,15852.0653575625,2116.72304164405,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"28",67108864,1,30722.428,2186.698,113.51,1575.53,31688.6502705879,2117.75709684573,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"29",134217728,1,60716.059,2211.835,78.5,2091.04,63361.8200966386,2118.2745034043,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
"30",268435456,1,128074.948,2096.804,77.315,4700.685,126708.15974874,2118.53330150404,15.4804445371143,0.0105586584344856,2118.79216284831,2.47852341361195e-06
