"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,15.963,0,0,1.5,15.9433069224354,0,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"2",1,1000,15.932,0.061,0.005,1.475,15.9437179330501,0.0627206279112024,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"3",2,1000,15.974,0.129,0.015,1.51,15.9441289436648,0.12543802217522,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"4",4,1000,15.976,0.25,0.02,1.47,15.9449509648943,0.250863110761941,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"5",8,1000,15.969,0.504,0.045,1.495,15.9465950073532,0.501674495170354,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"6",16,1000,15.964,1.005,0.095,1.48,15.949883092271,1.00314214890724,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"7",32,1000,15.988,2.007,0.18,1.43,15.9564592621067,2.00545744355663,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"8",64,1000,16.077,3.994,0.37,1.495,15.9696116017781,4.00761155599265,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"9",128,1000,16.572,7.747,0.765,1.645,15.9959162811208,8.00204238072141,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"10",256,1000,16.732,15.346,1.48,1.625,16.0485256398062,15.9516210863026,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"11",512,1000,16.924,30.345,3.035,1.705,16.153744357177,31.6954378303333,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"12",1024,1000,17.391,59.049,5.595,1.66,16.3641817919186,62.5756920218096,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"13",2048,1000,40.175,50.998,2.025,1.605,16.7850566614018,122.013290828472,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"14",4096,1000,40.812,100.407,4.04,1.65,17.6268064003682,232.373346990096,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"15",8192,1000,68.249,120.489,9.895,5.49,19.310305878301,424.229427106349,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"16",16384,1000,49.282,332.534,8.24,1.27,22.6773048341667,722.484445123087,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"17",32768,1000,98.964,331.188,7.1,2.15,29.411302745898,1114.12949923037,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"18",65536,640,102.851,638.134,35.965,5.9,42.8792985693606,1528.3832102335,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"19",131072,320,132.091,1001.503,173.52,20.615,69.8152902162858,1877.41108851575,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"20",262144,160,230.974,1137.245,97.62,20.475,123.687273510136,2119.40964143346,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"21",524288,80,324.304,1620.405,141.86,28.625,231.431240097837,2265.41585214839,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"22",1048576,40,511.12,2053.835,125.81,31.47,446.919173273239,2346.2318528879,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"23",2097152,20,892.364,2353.021,154.905,58.69,877.895039624042,2388.84138233439,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"24",4194304,10,1742.824,2417.535,292.44,213.6,1739.84677232565,2410.73183381171,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"25",8388608,5,3517.507,2403.953,388.51,572.805,3463.75023772886,2421.82819899287,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"26",16777216,2,6962.281,2427.546,401.915,1141.07,6911.55716853529,2427.41477656843,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"27",33554432,1,13984.139,2414.66,384.52,2196.115,13807.1710301481,2430.21774168897,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"28",67108864,1,27731.007,2434.637,382.32,4325.375,27598.3987533738,2431.62165311479,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"29",134217728,1,55332.805,2440.014,379.165,8535.47,55180.8541998252,2432.32421727218,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
"30",268435456,1,110317.056,2448.02,379.025,16874.98,110345.765092728,2432.67565161583,15.9433069224354,0.0105586584344856,2433.02718752814,1.92295063545927e-07
