"","X.bytes","repetitions","t","mbs","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,17.92,0,17.7778648874062,0,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"2",1,1000,17.65,0.06,17.7783855024918,0.0562480771867526,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"3",2,1000,17.63,0.11,17.7789061175773,0.112492860177864,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"4",4,1000,17.71,0.23,17.7799473477485,0.224972544730652,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"5",8,1000,18.06,0.44,17.7820298080909,0.449892396219018,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"6",16,1000,17.94,0.89,17.7861947287756,0.899574093502657,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"7",32,1000,18,1.78,17.7945245701449,1.79830598304877,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"8",64,1000,17.88,3.58,17.8111842528837,3.5932478768018,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"9",128,1000,18.57,6.89,17.8445036183612,7.17307708510835,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"10",256,1000,19.11,13.4,17.9111423493163,14.2927790426372,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"11",512,1000,19.2,26.66,18.0444198112264,28.3744229715526,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"12",1024,1000,19.7,51.97,18.3109747350466,55.9227465941558,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"13",2048,1000,42.49,48.2,18.844084582687,108.681320709078,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"14",4096,1000,42.91,95.46,19.9103042779679,205.722621955733,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"15",8192,1000,71.91,113.92,22.0427436685296,371.641576166207,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"16",16384,1000,52.52,311.98,26.307622449653,622.785279489068,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"17",32768,1000,105.18,311.54,34.8373800118998,940.598862164924,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"18",65536,640,118.17,554.59,51.8968951363934,1262.81157721981,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"19",131072,320,148.78,880.99,86.0159253853805,1523.81084563996,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"20",262144,160,271.82,964.41,154.253985883355,1699.43096444996,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"21",524288,80,383.41,1367.45,290.730106879304,1803.34952450472,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"22",1048576,40,611.08,1715.93,563.682348871201,1860.2250045612,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"23",2097152,20,1118,1875.8,1109.586832855,1890.02963797252,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"24",4194304,10,2197.07,1909.04,2201.39580082259,1905.2929956679,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"25",8388608,5,4570.7,1835.3,4385.01373675777,1913.01749631518,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"26",16777216,2,9094.54,1844.76,8752.24960862813,1916.90328203856,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"27",33554432,1,18136.11,1850.14,17486.7213523688,1918.85210062288,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"28",67108864,1,36202.97,1853.68,34955.6648398503,1919.82799661972,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"29",134217728,1,70054.03,1915.92,69893.5518148132,1920.31631695607,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
"30",268435456,1,139549.59,1923.58,139769.325764739,1920.5605702916,17.7778648874062,0.0105586584344856,1920.80488577032,1.08152583050778e-06
