"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,12.915,0,0,12.865,10.2770366972477,0,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"2",1,1000,10.482,0.105,0.045,6.28,10.2773984401336,0.0973008885298213,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"3",2,1000,10.437,0.218,0.09,6.4,10.2777601830195,0.194594927726015,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"4",4,1000,10.458,0.434,0.18,6.41,10.2784836687914,0.389162461010201,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"5",8,1000,10.495,0.856,0.36,6.355,10.279930640335,0.778215367388831,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"6",16,1000,8.778,1.852,0.33,1.59,10.2828245834223,1.55599270124619,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"7",32,1000,8.607,3.792,0.73,1.745,10.2886124695969,3.11023474686804,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"8",64,1000,8.618,7.574,1.41,1.69,10.300188241946,6.21347867598858,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"9",128,1000,8.748,14.886,2.765,1.715,10.3233397866444,12.3990881483527,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"10",256,1000,8.759,29.827,5.885,1.82,10.369642876041,24.6874461406463,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"11",512,1000,9.091,57.401,11.44,1.86,10.4622490548344,48.937852398325,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"12",1024,1000,9.315,111.867,21.89,1.875,10.647461412421,96.1731590598141,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"13",2048,1000,17.276,120.064,25.165,4.045,11.0178861275943,185.879575835402,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"14",4096,1000,18.077,237.418,94.385,5.915,11.758735557941,348.336773100902,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"15",8192,1000,26.626,315.628,72.525,6.39,13.2404344186343,618.710817257686,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"16",16384,1000,33.816,488.597,61.245,4.23,16.2038321400208,1011.11884265539,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"17",32768,1000,53.536,647.023,216.66,22.695,22.1306275827939,1480.66293544592,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"18",65536,640,77.215,891.701,327.495,31.465,33.9842184683401,1928.42451448615,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"19",131072,320,113.295,1194.314,328.245,29.78,57.6914002394324,2271.9504025907,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"20",262144,160,188.764,1424.235,309.06,46.94,105.105763781617,2494.09728418575,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"21",524288,80,256.187,2070.605,299.66,38.33,199.934490865987,2622.29892265774,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"22",1048576,40,427.769,2493.342,562.035,96.785,389.591945034725,2691.47248387422,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"23",2097152,20,728.605,2949.355,869.245,225.1,768.906853372203,2727.44610195955,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"24",4194304,10,1419.235,3006.48,735.875,344.36,1527.53667004716,2745.79594863049,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"25",8388608,5,2992.11,2849.676,597.72,628.545,3044.79630339707,2755.06377574121,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"26",16777216,2,6089.042,2801.773,596.735,1281.135,6079.31557009689,2759.72119008334,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"27",33554432,1,12442.139,2744.564,600.22,2657.18,12148.3541034965,2762.05580724243,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"28",67108864,1,24713.653,2766.967,629.98,5670.265,24286.4311702958,2763.22459769549,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"29",134217728,1,48672.295,2802.304,589.715,10481.22,48562.5853038944,2763.80936393921,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
"30",268435456,1,97002.437,2810.83,594.545,20507.065,97114.8935710916,2764.10183988407,10.2770366972477,0.0105586584344856,2764.39437773713,4.3160886978848e-07
