"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,0.986,0,0,0.01,0.966468723936614,0,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"2",1,1000,0.983,1.017,0.01,0.01,0.966550846260421,1.03460671921089,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"3",2,1000,0.992,2.014,0.015,0.01,0.966632968584229,2.0690376440701,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"4",4,1000,0.99,4.04,0.03,0.01,0.966797213231844,4.13737228992278,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"5",8,1000,0.985,8.117,0.06,0.005,0.967125702527074,8.271934019638,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"6",16,1000,0.988,16.193,0.075,0.005,0.967782681117534,16.5326372461266,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"7",32,1000,1,31.994,0.105,0,0.969096638298454,33.0204426838027,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"8",64,1000,1.163,55.016,0.545,0.01,0.971724552660294,65.8622855878108,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"9",128,1000,1.202,106.37,0.95,0.01,0.976980381383974,131.015936900061,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"10",256,1000,1.632,164.613,38.425,0.525,0.987492038831334,259.242596328137,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"11",512,1000,1.499,341.806,1.45,0.01,1.00851535372605,507.67695118212,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"12",1024,1000,1.657,617.759,2.745,0.005,1.05056198351549,974.716405188574,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"13",2048,1000,2.32,883.093,4.29,0.01,1.13465524309437,1804.95354202462,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"14",4096,1000,3.194,1282.439,8.305,0.02,1.30284176225213,3143.89676373247,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"15",8192,1000,4.5,1820.231,22.525,0.055,1.63921480056766,4997.5146619974,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"16",16384,1000,6.321,2592.444,35.975,0.09,2.3119608771987,7086.6251075372,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"17",32768,1000,8.518,3847.563,69.845,0.155,3.65745303046078,8959.24013981713,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"18",65536,640,12.449,5264.246,27.765,0.065,6.34843733698494,10323.170336454,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"19",131072,320,18.804,6970.779,66.13,0.18,11.7304059500333,11173.6968488826,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"20",262144,160,32.699,8016.923,18.44,0.075,22.4943431761299,11653.7743710684,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"21",524288,80,54.741,9579.937,210.46,1.235,44.0222176283233,11909.6226461495,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"22",1048576,40,97.788,10723.285,86.15,0.785,87.0779665327099,12041.8062312711,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"23",2097152,20,183.321,11440.878,121.585,1.965,173.189464341483,12109.0044823106,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"24",4194304,10,352.705,11891.769,20.15,0.6,345.41245995903,12142.8856402502,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"25",8388608,5,694.273,12082.598,39.55,2.28,689.858451194123,12159.8974187815,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"26",16777216,2,1380.473,12153.271,27.37,3.11,1378.75043366431,12168.4211952784,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"27",33554432,1,2760.24,12156.369,28.36,6.435,2756.53439860468,12172.6875663096,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"28",67108864,1,5516.48,12165.168,17.52,7.95,5512.10232848543,12174.8218738965,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"29",134217728,1,11013.356,12186.819,9.49,8.575,11023.2381882469,12175.8893083798,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
"30",268435456,1,22057.427,12169.846,10.485,19,22045.5099077699,12176.4230958156,0.966468723936614,0.0105586584344856,12176.9569300555,1.77980582626957e-08
