"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,1.365,0,0,0.005,1.34923603002502,0,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"2",1,1000,1.359,0.737,0.005,0.005,1.34931833418161,0.741114957580801,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"3",2,1000,1.355,1.479,0.01,0.005,1.3494006383382,1.48213950933284,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"4",4,1000,1.361,2.942,0.035,0.015,1.34956524665137,2.96391746151219,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"5",8,1000,1.36,5.885,0.045,0.01,1.34989446327772,5.92638922347675,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"6",16,1000,1.359,11.769,0.03,0.005,1.35055289653042,11.8469998776828,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"7",32,1000,1.389,23.042,0.085,0.005,1.35186976303581,23.6709192519696,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"8",64,1000,1.682,38.067,0.24,0.01,1.35450349604661,47.2497857604627,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"9",128,1000,1.724,74.324,0.55,0.015,1.3597709620682,94.1335001045423,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"10",256,1000,2.147,122.96,29.045,0.805,1.37030589411137,186.819600718432,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"11",512,1000,2.069,247.66,1.235,0.01,1.39137575819772,367.981112926105,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"12",1024,1000,2.278,449.323,6.625,0.03,1.43351548637042,714.327825360794,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"13",2048,1000,2.975,688.224,3.325,0.015,1.51779494271581,1349.32588214814,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"14",4096,1000,3.928,1042.552,7.22,0.03,1.6863538554066,2428.90896644726,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"15",8192,1000,5.502,1488.96,8.24,0.035,2.02347168078818,4048.48759573895,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"16",16384,1000,7.276,2251.684,12.4,0.04,2.69770733155135,6073.30521305222,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"17",32768,1000,10.048,3261.37,23.435,0.07,4.04617863307767,8098.50552126401,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"18",65536,640,14.478,4526.845,15.87,0.05,6.74312123613033,9718.94137819315,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"19",131072,320,23.524,5571.62,9.23,0.035,12.1370064422356,10799.3680833753,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"20",262144,160,33.706,7777.69,41.185,0.18,22.9247768544463,11434.9640855569,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"21",524288,80,56.467,9288.467,224.11,1.375,44.5003176788675,11781.6687014119,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"22",1048576,40,98.861,10606.484,22.61,0.21,87.6513993277099,11963.0263526039,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"23",2097152,20,185.161,11326.165,41.25,0.675,173.953562625395,12055.8151747439,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"24",4194304,10,356.656,11761.28,202.535,6.29,346.557889220765,12102.751460747,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"25",8388608,5,698.415,12010.968,38.31,2.235,691.766542411504,12126.3569220293,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"26",16777216,2,1384.859,12114.763,21.855,2.5,1382.18384879298,12138.1942168193,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"27",33554432,1,2762.756,12145.367,58.455,13.365,2763.01846155594,12144.1215347886,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"28",67108864,1,5514.643,12169.259,44.005,20.015,5524.68768708186,12147.0873651225,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"29",134217728,1,11055.35,12140.752,94.645,87.05,11048.0261381337,12148.5708235908,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
"30",268435456,1,22103.295,12144.616,32.21,58.795,22094.7030402374,12149.3126887084,1.34923603002502,0.0105586584344856,12150.054644437,1.94234384433973e-08
