"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,0.409,0,0,0.01,0.414452043369475,0,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"2",1,1000,0.413,2.429,0.12,0.025,0.414668860815577,2.41156280226392,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"3",2,1000,0.401,4.993,0.11,0.01,0.41488567826168,4.82060506012103,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"4",4,1000,0.4,10.028,0.155,0.01,0.415319313153885,9.63114373281724,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"5",8,1000,0.399,20.055,0.19,0.005,0.416186582938296,19.2221477768929,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"6",16,1000,0.399,40.141,0.69,0.005,0.417921122507117,38.2847363732555,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"7",32,1000,0.557,57.36,0.595,0.005,0.421390201644759,75.9391174144498,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"8",64,1000,0.554,115.488,1.51,0.005,0.428328359920043,149.418077317941,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"9",128,1000,0.894,143.211,3.355,0.02,0.442204676470611,289.458720838532,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"10",256,1000,0.939,272.393,6.485,0.02,0.469957309571748,544.730329300084,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"11",512,1000,1.135,451.728,8.145,0.02,0.525462575774021,974.379572600026,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"12",1024,1000,1.302,786.327,35.9,0.06,0.636473108178568,1608.86608851463,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"13",2048,1000,2.098,975.344,9.675,0.02,0.858494172987662,2385.57239459496,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"14",4096,1000,2.987,1371.255,8.585,0.02,1.30253630260585,3144.63404344705,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"15",8192,1000,4.8,1706.528,9.03,0.025,2.19062056184222,3739.57961624849,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"16",16384,1000,7.269,2255.106,91.335,0.31,3.96678908031497,4130.29270482389,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"17",32768,1000,13.03,2516.309,95.615,0.515,7.51912611726047,4357.95323671718,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"18",65536,640,24.393,2689.134,124.73,1.14,14.6238001911515,4481.46166819582,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"19",131072,320,45.647,2874.56,145.315,2.345,28.8331483389335,4545.87887729947,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"20",262144,160,13.923,18885.058,1133.74,0.84,57.2518446344975,4578.78696614158,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"21",524288,80,25.001,21062.985,2062.965,2.55,114.089237225625,4595.42032841499,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"22",1048576,40,55.521,18927.871,1388.985,4.115,227.764022407881,4603.78241003402,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"23",2097152,20,143.245,14646.687,549.25,5.45,455.113592772393,4607.97487331653,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"24",4194304,10,312.076,13453.431,673.625,16.48,909.812733501417,4610.07396968188,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"25",8388608,5,689.552,12166.087,141.285,8.02,1819.21101495947,4611.1242351877,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"26",16777216,2,2353.632,7128.361,49.11,16.22,3638.00757787556,4611.6495474144,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"27",33554432,1,7045.7,4767.74,189.075,284.375,7275.60070370775,4611.9122484141,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"28",67108864,1,14600.416,4599.721,174.285,577.445,14550.7869553721,4612.04361013776,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"29",134217728,1,28665.477,4682.229,15.15,92.65,29101.1594587009,4612.10929380583,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
"30",268435456,1,58160.181,4618.454,160.405,2094.75,58201.9044653584,4612.14213634146,0.414452043369475,0.0105586584344856,4612.17497934483,1.34003406957925e-06
