"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,0.486,0,0,0.05,0.479683069224354,0,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"2",1,1000,0.471,2.127,0.16,0.035,0.479885089813274,2.08383219488879,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"3",2,1000,0.47,4.267,0.36,0.04,0.480087110402194,4.16591063718519,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"4",4,1000,0.47,8.536,0.755,0.04,0.480491151580034,8.32481511230021,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"5",8,1000,0.471,16.978,1.665,0.045,0.481299233935715,16.6216761547319,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"6",16,1000,0.468,34.161,2.57,0.035,0.482915398647076,33.132097350437,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"7",32,1000,0.633,50.685,3.895,0.05,0.486147728069798,65.8236131783498,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"8",64,1000,0.633,101.553,9.165,0.055,0.492612386915243,129.919591345988,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"9",128,1000,1.131,113.398,6.13,0.06,0.505541704606132,253.193750058118,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"10",256,1000,1.172,218.074,6.38,0.035,0.53140033998791,481.746022228409,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"11",512,1000,1.307,391.824,19.045,0.065,0.583117610751467,878.038993437675,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"12",1024,1000,1.584,646.596,34.735,0.08,0.68655215227858,1491.51087299264,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"13",2048,1000,2.274,901.918,54.145,0.13,0.893421235332805,2292.31175508953,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"14",4096,1000,3.158,1298.6,57.975,0.135,1.30715940144126,3133.51225220413,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"15",8192,1000,4.834,1695.071,68.25,0.19,2.13463573365816,3837.65710975017,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"16",16384,1000,7.44,2204.593,117.895,0.385,3.78958839809197,4323.42467805982,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"17",32768,1000,13.396,2448.714,136.115,0.725,7.09949372695958,4615.54038361454,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"18",65536,640,24.367,2695.297,188.135,1.645,13.7193043846948,4776.91857854773,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"19",131072,320,45.715,2872.506,196.725,3,26.9589257001653,4861.91480542552,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"20",262144,160,16.598,15912.622,1651.56,1.645,53.4381683311062,4905.55736071902,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"21",524288,80,29.683,17814.357,2054.86,3.25,106.396653592988,4927.67377821508,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"22",1048576,40,68.744,15392.38,1974.09,8.36,212.313624116752,4938.80693884904,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"23",2097152,20,176.592,11936.883,1167.9,16.26,424.147565164279,4944.39240547742,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"24",4194304,10,366.46,11497.742,1127.34,33.16,847.815447259333,4947.18987906932,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"25",8388608,5,867.184,9716.795,1277.395,101.395,1695.15121144944,4948.5898032821,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"26",16777216,2,2686.184,6297.178,920.985,345.06,3389.82273982966,4949.29006253674,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"27",33554432,1,6272.564,5365.529,415.27,468.15,6779.16579659009,4949.64026648792,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"28",67108864,1,12731.999,5290.087,515.48,1284.915,13557.851910111,4949.81538704908,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"29",134217728,1,25306.145,5313.985,387.7,1838.63,27115.2241371527,4949.90295197662,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
"30",268435456,1,55025.678,4899.484,594.845,6478.94,54229.9685912362,4949.94673560221,0.479683069224354,0.0105586584344856,4949.99052000237,1.83038793906858e-06
