"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,0.473,0,0,0.005,0.474816513761468,0,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"2",1,1000,0.477,2.096,0.015,0.005,0.475021004096846,2.10517006906104,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"3",2,1000,0.48,4.181,0.045,0.01,0.475225494432224,4.20852842162751,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"4",4,1000,0.479,8.394,0.055,0.005,0.475634475102981,8.40981932424884,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"5",8,1000,0.476,16.754,0.195,0.005,0.476452436444493,16.7907631235967,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"6",16,1000,0.475,33.635,0.32,0.005,0.478088359127518,33.4666169851929,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"7",32,1000,0.505,63.523,0.615,0.005,0.481360204493569,66.4782832092792,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"8",64,1000,0.5,127.839,1.075,0,0.487903895225669,131.17337374484,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"9",128,1000,0.592,215.918,3.105,0.01,0.500991276689871,255.493470556446,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"10",256,1000,0.637,402.749,6.425,0.01,0.527166039618274,485.61550016646,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"11",512,1000,0.964,532.224,13.065,0.025,0.57951556547508,883.496545222679,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"12",1024,1000,1.004,1019.962,32.02,0.03,0.684214617188691,1496.60643645326,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"13",2048,1000,1.143,1793.554,55.26,0.035,0.893612720615915,2291.82055352618,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"14",4096,1000,1.604,2556.419,132.01,0.085,1.31240892747036,3120.97846506953,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"15",8192,1000,2.092,3919.689,159.755,0.085,2.15000134117926,3810.23018130155,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"16",16384,1000,3.485,4705.446,169.315,0.125,3.82518616859704,4283.19022339483,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"17",32768,1000,5.593,5918.37,932.49,1.125,7.17555582343262,4566.61488061904,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"18",65536,640,9.658,6853.822,1034.43,1.885,13.8762951331038,4722.87446839143,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"19",131072,320,16.009,8313.505,1518.195,3.985,27.2777737524461,4805.08421213247,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"20",262144,160,30.001,8907.957,1794.455,8.525,54.0807309911307,4847.27175827176,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"21",524288,80,69.171,7612.638,787.705,8.475,107.6866454685,4868.64455401169,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"22",1048576,40,135.444,7778.28,824.615,17.17,214.898474423238,4879.40178642148,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"23",2097152,20,264.256,7977.754,895.26,35.73,429.322132332715,4884.79824835761,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"24",4194304,10,524.111,8046.33,910.825,71.875,858.169448151669,4887.50095803774,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"25",8388608,5,1083.524,7787.666,940.785,158.395,1715.86407978958,4888.8534347247,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"26",16777216,2,2432.041,6945.627,935.505,392.77,3431.25334306539,4889.52995380157,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"27",33554432,1,7834.256,4285.199,171.665,296.76,6862.03186961702,4889.86828355735,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"28",67108864,1,15678.226,4281.849,144.175,505.12,13723.5889227203,4890.03746599383,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"29",134217728,1,29856.737,4495.505,42.29,282.38,27446.7030289268,4890.12206160224,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
"30",268435456,1,53306.02,5064.627,586.635,7518.73,54892.9312413398,4890.16436050406,0.474816513761468,0.0105586584344856,4890.20666013765,3.04800111355162e-06
