"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,0.54,0,0,0.02,0.602071726438699,0,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"2",1,1000,0.603,1.654,0.065,0.02,0.602404971340684,1.66001286107325,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"3",2,1000,0.601,3.323,0.1,0.02,0.602738216242669,3.31819012981712,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"4",4,1000,0.605,6.623,0.185,0.015,0.60340470604664,6.62905005532195,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"5",8,1000,0.604,13.258,0.54,0.025,0.60473768565458,13.2288762380347,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"6",16,1000,0.648,24.698,0.92,0.025,0.607403644870461,26.341626585748,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"7",32,1000,0.708,45.185,2.16,0.035,0.612735563302223,52.2248126541603,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"8",64,1000,0.795,80.415,3.47,0.035,0.623399400165748,102.662915593091,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"9",128,1000,0.997,128.838,8.885,0.07,0.644727073892797,198.533620167599,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"10",256,1000,1.186,216.233,17.115,0.095,0.687382421346895,372.427330187437,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"11",512,1000,1.056,485.509,38.41,0.085,0.77269311625509,662.617524640886,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"12",1024,1000,1.432,716.211,40.71,0.08,0.943314506071481,1085.53403282702,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"13",2048,1000,1.754,1170.645,96.9,0.145,1.28455728570426,1594.32360299695,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"14",4096,1000,2.788,1472.743,115.2,0.235,1.96704284496983,2082.3135654998,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"15",8192,1000,3.333,2459.258,92.965,0.125,3.33201396350096,2458.57313016559,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"16",16384,1000,3.847,4262.547,189.865,0.165,6.06195620056322,2702.75789826356,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"17",32768,1000,4.959,6614.589,304.855,0.23,11.5218406746877,2843.99002947401,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"18",65536,640,6.392,10289.744,879.375,0.555,22.4416096229368,2920.28963613278,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"19",131072,320,11.16,11775.477,966.72,0.86,44.2811475194349,2959.99555888819,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"20",262144,160,19.929,13158.265,446.23,0.655,87.960223312431,2980.25618999256,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"21",524288,80,40.045,13095.458,367.14,1.12,175.318374898423,2990.4908729833,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"22",1048576,40,92.671,11318.277,330.42,2.7,350.034678070408,2995.63462049061,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"23",2097152,20,220.268,9521.986,183.31,4.165,699.467284414377,2998.2131355233,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"24",4194304,10,426.218,9842.591,248.26,11.055,1398.33249710232,2999.50405836353,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"25",8388608,5,1140.567,7355.234,98.685,15.22,2796.06292247819,3000.14993674214,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"26",16777216,2,4096.587,4095.546,42.975,43.29,5591.52377322995,3000.47298024964,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"27",33554432,1,11022.784,3047.076,107.755,400.58,11182.4454747335,3000.63452809277,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"28",67108864,1,21996.62,3050.881,10.45,75.28,22364.2888777405,3000.71530853791,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"29",134217728,1,44129.529,3041.459,10.425,151.07,44727.9756837545,3000.75570039153,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
"30",268435456,1,89435.377,3003.176,101.12,3124.85,89455.3492957826,3000.77589672612,0.602071726438699,0.0105586584344856,3000.79609333257,1.7681467268153e-06
