#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.282,0.0,0.0,0.005
1,1000.0,0.291,3.409,0.065,0.005
2,1000.0,0.291,6.819,0.06,0.005
4,1000.0,0.29,13.686,0.125,0.0
8,1000.0,0.29,27.444,0.15,0.0
16,1000.0,0.29,54.669,0.495,0.0
32,1000.0,0.3,106.508,0.845,0.0
64,1000.0,0.3,212.907,1.135,0.0
128,1000.0,0.3,423.397,3.905,0.0
256,1000.0,0.319,804.867,8.125,0.005
512,1000.0,0.548,933.498,27.57,0.015
1024,1000.0,0.608,1688.831,40.595,0.015
2048,1000.0,0.745,2744.252,82.09,0.025
4096,1000.0,0.962,4256.255,89.42,0.02
8192,1000.0,1.493,5483.911,91.015,0.025
16384,1000.0,2.381,6879.237,128.33,0.045
32768,1000.0,3.584,9138.752,95.015,0.035
65536,640.0,5.854,11196.165,179.605,0.095
131072,320.0,8.804,14889.406,69.02,0.04
262144,160.0,15.804,16616.607,1000.71,1.015
524288,80.0,42.027,12477.304,280.13,0.955
1048576,40.0,84.231,12449.364,163.385,1.105
2097152,20.0,171.413,12266.895,1006.68,14.65
4194304,10.0,418.011,10039.815,391.26,16.605
8388608,5.0,1029.101,8152.13,123.16,15.54
16777216,2.0,2139.609,7841.412,56.67,15.495
33554432,1.0,5997.495,5594.847,35.88,38.5
67108864,1.0,12371.012,5425.045,69.935,159.46
134217728,1.0,25676.541,5227.262,13.43,65.95
268435456,1.0,52524.924,5110.724,29.99,309.105
