#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.471,0.0,0.0,0.005
1,1000.0,0.473,2.112,0.03,0.005
2,1000.0,0.474,4.223,0.045,0.005
4,1000.0,0.472,8.445,0.105,0.005
8,1000.0,0.473,16.875,0.215,0.005
16,1000.0,0.472,33.823,0.565,0.005
32,1000.0,0.5,64.097,0.745,0.01
64,1000.0,0.499,128.613,2.005,0.01
128,1000.0,0.585,218.999,2.65,0.005
256,1000.0,0.63,406.435,4.88,0.01
512,1000.0,0.963,531.757,19.795,0.035
1024,1000.0,0.994,1030.492,21.705,0.02
2048,1000.0,1.147,1788.045,43.0,0.025
4096,1000.0,1.583,2588.786,126.11,0.08
8192,1000.0,2.087,3928.222,96.145,0.05
16384,1000.0,3.573,4588.796,179.06,0.14
32768,1000.0,5.524,5993.555,919.445,1.095
65536,640.0,9.513,6958.299,1074.95,1.87
131072,320.0,15.809,8414.574,1467.73,3.785
262144,160.0,29.629,8990.253,1673.43,7.555
524288,80.0,68.048,7745.905,922.91,9.655
1048576,40.0,132.781,7934.881,869.355,17.3
2097152,20.0,258.782,8144.86,937.625,35.36
4194304,10.0,513.31,8215.465,980.105,73.08
8388608,5.0,1066.42,7913.767,984.85,160.1
16777216,2.0,2346.392,7210.612,1011.355,415.09
33554432,1.0,7707.179,4357.423,253.78,424.495
67108864,1.0,15478.277,4337.952,198.09,678.14
134217728,1.0,29506.701,4549.027,64.515,423.215
268435456,1.0,51797.72,5192.184,389.205,4292.13
