#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.473,0.0,0.0,0.005
1,1000.0,0.477,2.096,0.015,0.005
2,1000.0,0.48,4.181,0.045,0.01
4,1000.0,0.479,8.394,0.055,0.005
8,1000.0,0.476,16.754,0.195,0.005
16,1000.0,0.475,33.635,0.32,0.005
32,1000.0,0.505,63.523,0.615,0.005
64,1000.0,0.5,127.839,1.075,0.0
128,1000.0,0.592,215.918,3.105,0.01
256,1000.0,0.637,402.749,6.425,0.01
512,1000.0,0.964,532.224,13.065,0.025
1024,1000.0,1.004,1019.962,32.02,0.03
2048,1000.0,1.143,1793.554,55.26,0.035
4096,1000.0,1.604,2556.419,132.01,0.085
8192,1000.0,2.092,3919.689,159.755,0.085
16384,1000.0,3.485,4705.446,169.315,0.125
32768,1000.0,5.593,5918.37,932.49,1.125
65536,640.0,9.658,6853.822,1034.43,1.885
131072,320.0,16.009,8313.505,1518.195,3.985
262144,160.0,30.001,8907.957,1794.455,8.525
524288,80.0,69.171,7612.638,787.705,8.475
1048576,40.0,135.444,7778.28,824.615,17.17
2097152,20.0,264.256,7977.754,895.26,35.73
4194304,10.0,524.111,8046.33,910.825,71.875
8388608,5.0,1083.524,7787.666,940.785,158.395
16777216,2.0,2432.041,6945.627,935.505,392.77
33554432,1.0,7834.256,4285.199,171.665,296.76
67108864,1.0,15678.226,4281.849,144.175,505.12
134217728,1.0,29856.737,4495.505,42.29,282.38
268435456,1.0,53306.02,5064.627,586.635,7518.73
