#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.231,0.0,0.0,0.005
1,1000.0,0.234,4.263,0.035,0.005
2,1000.0,0.235,8.52,0.06,0.005
4,1000.0,0.236,17.04,0.11,0.005
8,1000.0,0.235,34.062,0.26,0.005
16,1000.0,0.237,67.923,0.475,0.005
32,1000.0,0.243,131.503,1.595,0.005
64,1000.0,0.244,262.135,3.24,0.005
128,1000.0,0.261,490.791,8.44,0.005
256,1000.0,0.28,907.952,5.595,0.0
512,1000.0,0.422,1216.038,55.66,0.02
1024,1000.0,0.456,2243.101,130.405,0.025
2048,1000.0,0.598,3427.569,146.915,0.025
4096,1000.0,0.852,4801.319,120.26,0.02
8192,1000.0,1.407,5821.117,133.82,0.03
16384,1000.0,2.338,7010.352,141.9,0.045
32768,1000.0,3.509,9338.532,104.67,0.04
65536,640.0,5.652,11596.094,102.45,0.05
131072,320.0,8.606,15231.028,112.43,0.06
262144,160.0,14.903,17589.42,100.275,0.085
524288,80.0,41.362,12676.507,143.73,0.475
1048576,40.0,81.147,12922.045,89.505,0.565
2097152,20.0,153.643,13649.477,48.35,0.545
4194304,10.0,384.077,10922.299,244.765,8.69
8388608,5.0,1112.69,7539.638,96.635,14.265
16777216,2.0,2440.357,6876.779,199.14,73.365
33554432,1.0,5899.272,5687.905,12.695,13.165
67108864,1.0,11819.231,5677.966,24.03,50.17
134217728,1.0,23715.251,5659.558,8.89,37.25
268435456,1.0,49217.272,5454.107,16.775,151.5
