#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.43,0.0,0.0,0.0
1,1000.0,0.433,2.302,0.01,0.005
2,1000.0,0.431,4.611,0.035,0.005
4,1000.0,0.435,9.176,0.14,0.01
8,1000.0,0.438,18.358,0.145,0.005
16,1000.0,0.433,36.801,0.16,0.005
32,1000.0,0.462,69.189,0.99,0.005
64,1000.0,0.468,137.275,1.865,0.005
128,1000.0,0.566,226.486,2.98,0.005
256,1000.0,0.612,418.611,5.76,0.005
512,1000.0,0.829,618.469,19.925,0.025
1024,1000.0,0.901,1138.886,27.91,0.025
2048,1000.0,1.067,1917.034,62.125,0.035
4096,1000.0,1.486,2757.763,124.8,0.065
8192,1000.0,1.991,4114.583,80.855,0.04
16384,1000.0,3.282,4992.096,138.415,0.09
32768,1000.0,5.09,6437.562,131.23,0.105
65536,640.0,9.167,7149.019,90.59,0.115
131072,320.0,17.856,7340.802,60.345,0.145
262144,160.0,34.283,7646.49,76.44,0.34
524288,80.0,81.931,6399.292,52.345,0.67
1048576,40.0,166.314,6305.136,71.835,1.895
2097152,20.0,330.075,6353.821,60.415,3.15
4194304,10.0,655.058,6403.254,63.66,6.53
8388608,5.0,1365.897,6142.314,94.28,21.06
16777216,2.0,3833.526,4376.619,50.24,44.16
33554432,1.0,7793.303,4305.742,46.345,83.875
67108864,1.0,15573.563,4309.374,47.63,173.345
134217728,1.0,31143.439,4309.844,44.335,321.445
268435456,1.0,62349.389,4305.581,46.01,669.095
