#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,1.132,0.0,0.0,0.075
1,1000.0,1.127,0.889,0.06,0.075
2,1000.0,1.132,1.77,0.105,0.065
4,1000.0,1.13,3.539,0.21,0.065
8,1000.0,1.13,7.088,0.46,0.075
16,1000.0,1.131,14.172,0.925,0.075
32,1000.0,1.152,27.86,1.79,0.07
64,1000.0,1.329,48.328,4.84,0.135
128,1000.0,1.378,93.233,9.375,0.14
256,1000.0,1.628,157.92,16.295,0.17
512,1000.0,1.708,301.033,29.375,0.17
1024,1000.0,1.884,545.533,56.85,0.195
2048,1000.0,2.578,796.424,70.25,0.225
4096,1000.0,3.365,1220.624,94.935,0.26
8192,1000.0,4.324,1900.4,176.05,0.4
16384,1000.0,6.365,2620.602,555.86,1.77
32768,1000.0,9.628,3404.91,94.115,0.27
65536,640.0,12.627,5191.579,116.365,0.285
131072,320.0,21.775,6020.242,153.4,0.545
262144,160.0,34.236,7779.042,1426.76,8.63
524288,80.0,55.931,9380.86,319.81,1.92
1048576,40.0,97.549,10750.047,105.435,0.96
2097152,20.0,182.775,11474.562,129.95,2.085
4194304,10.0,353.544,11863.735,64.865,1.93
8388608,5.0,695.755,12056.915,52.14,3.01
16777216,2.0,1381.84,12141.312,54.08,6.16
33554432,1.0,2760.444,12155.485,36.665,8.335
67108864,1.0,5509.222,12181.221,39.265,17.82
134217728,1.0,11002.277,12199.103,20.57,18.55
268435456,1.0,21988.086,12208.299,62.485,112.51
