#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.43,0.0,0.0,0.0
1,1000.0,0.432,2.306,0.015,0.005
2,1000.0,0.432,4.618,0.055,0.005
4,1000.0,0.433,9.208,0.08,0.005
8,1000.0,0.434,18.414,0.145,0.005
16,1000.0,0.433,36.859,0.285,0.005
32,1000.0,0.473,67.698,0.595,0.005
64,1000.0,0.473,135.44,1.98,0.005
128,1000.0,0.58,221.025,3.205,0.01
256,1000.0,0.62,411.939,9.23,0.015
512,1000.0,0.824,622.137,19.55,0.025
1024,1000.0,0.894,1146.386,31.72,0.025
2048,1000.0,1.063,1929.846,73.97,0.04
4096,1000.0,1.51,2714.205,109.4,0.06
8192,1000.0,1.985,4128.631,123.235,0.06
16384,1000.0,3.281,4998.184,154.935,0.1
32768,1000.0,5.098,6428.874,84.8,0.065
65536,640.0,9.239,7094.57,122.62,0.16
131072,320.0,17.914,7316.789,50.565,0.125
262144,160.0,34.382,7624.679,38.105,0.17
524288,80.0,83.441,6283.272,21.675,0.285
1048576,40.0,169.806,6175.187,12.81,0.355
2097152,20.0,336.87,6225.436,7.075,0.385
4194304,10.0,668.65,6272.801,8.435,0.9
8388608,5.0,1385.754,6053.517,29.065,6.665
16777216,2.0,3862.533,4343.826,54.16,48.225
33554432,1.0,7951.449,4219.973,26.31,49.645
67108864,1.0,15910.638,4217.872,12.52,47.235
134217728,1.0,31858.394,4212.958,8.735,66.055
268435456,1.0,63701.945,4213.932,5.35,80.93
