#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.25,4.01
2,1000,0.25,8.14
4,1000,0.26,15.47
8,1000,0.25,31.84
16,1000,0.25,63.51
32,1000,0.28,113.43
64,1000,0.29,223.83
128,1000,0.40,316.89
256,1000,0.43,593.56
512,1000,0.53,969.74
1024,1000,0.63,1632.79
2048,1000,0.89,2313.54
4096,1000,1.28,3200.79
8192,1000,2.06,3974.92
16384,1000,3.15,5203.92
32768,1000,5.01,6545.04
65536,640,8.76,7481.01
131072,320,16.15,8113.42
262144,160,17.47,15008.36
524288,80,31.39,16704.86
1048576,40,73.58,14250.73
2097152,20,191.38,10958.26
4194304,10,387.12,10834.66
8388608,5,1136.87,7378.69
16777216,2,2849.52,5887.74
33554432,1,6324.15,5305.76
67108864,1,17505.01,3833.69
134217728,1,35021.08,3832.48
268435456,1,72368.40,3709.29
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.25,4.04
2,1000,0.24,8.33
4,1000,0.25,15.69
8,1000,0.24,32.81
16,1000,0.24,65.90
32,1000,0.28,114.30
64,1000,0.28,229.59
128,1000,0.41,311.20
256,1000,0.44,579.36
512,1000,0.51,994.42
1024,1000,0.64,1602.15
2048,1000,0.88,2314.33
4096,1000,1.28,3202.42
8192,1000,2.06,3977.36
16384,1000,3.14,5221.32
32768,1000,5.02,6529.05
65536,640,8.77,7471.56
131072,320,16.18,8101.33
262144,160,17.43,15043.06
524288,80,31.45,16669.17
1048576,40,74.38,14098.20
2097152,20,189.97,11039.20
4194304,10,381.93,10982.00
8388608,5,1141.37,7349.63
16777216,2,2830.02,5928.31
33554432,1,7366.73,4554.86
67108864,1,17558.26,3822.07
134217728,1,35667.82,3762.99
268435456,1,72260.18,3714.85
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.26,3.86
2,1000,0.25,7.93
4,1000,0.26,15.62
8,1000,0.25,32.17
16,1000,0.24,66.36
32,1000,0.28,114.18
64,1000,0.28,232.41
128,1000,0.41,314.43
256,1000,0.43,591.60
512,1000,0.53,969.05
1024,1000,0.64,1597.47
2048,1000,0.88,2332.32
4096,1000,1.28,3193.43
8192,1000,2.07,3959.33
16384,1000,3.15,5207.24
32768,1000,5.01,6544.19
65536,640,8.74,7502.09
131072,320,16.12,8129.44
262144,160,17.45,15018.40
524288,80,31.34,16726.70
1048576,40,73.17,14329.93
2097152,20,190.77,10993.11
4194304,10,388.12,10806.64
8388608,5,1129.89,7424.30
16777216,2,2841.43,5904.51
33554432,1,8824.27,3802.52
67108864,1,17513.48,3831.84
134217728,1,37581.37,3571.39
268435456,1,72681.44,3693.31
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.21,4.73
2,1000,0.21,9.34
4,1000,0.21,18.62
8,1000,0.22,37.15
16,1000,0.22,74.17
32,1000,0.25,129.38
64,1000,0.26,245.27
128,1000,0.35,367.94
256,1000,0.37,687.75
512,1000,0.45,1126.51
1024,1000,0.56,1832.27
2048,1000,0.78,2642.29
4096,1000,1.15,3572.96
8192,1000,1.90,4304.77
16384,1000,2.96,5538.80
32768,1000,4.81,6809.18
65536,640,8.15,8045.93
131072,320,14.91,8791.92
262144,160,14.33,18290.66
524288,80,25.61,20473.01
1048576,40,61.72,16987.91
2097152,20,173.11,12114.30
4194304,10,351.31,11939.00
8388608,5,1055.62,7946.59
16777216,2,2610.80,6426.08
33554432,1,8221.79,4081.16
67108864,1,16654.12,4029.57
134217728,1,35957.84,3732.64
268435456,1,68594.77,3913.35
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.22,4.55
2,1000,0.22,9.22
4,1000,0.22,18.40
8,1000,0.22,36.55
16,1000,0.22,72.62
32,1000,0.26,122.40
64,1000,0.26,248.03
128,1000,0.39,324.75
256,1000,0.41,625.55
512,1000,0.49,1045.06
1024,1000,0.57,1794.93
2048,1000,0.81,2523.12
4096,1000,1.19,3429.30
8192,1000,1.96,4181.25
16384,1000,3.04,5396.93
32768,1000,4.91,6674.98
65536,640,8.53,7678.83
131072,320,15.72,8337.80
262144,160,14.28,18351.27
524288,80,25.93,20215.52
1048576,40,61.99,16913.97
2097152,20,173.03,12119.96
4194304,10,354.35,11836.68
8388608,5,1079.96,7767.54
16777216,2,2634.00,6369.48
33554432,1,5605.39,5986.10
67108864,1,16751.51,4006.14
134217728,1,33852.13,3964.82
268435456,1,70810.39,3790.90
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.00
1,1000,0.22,4.50
2,1000,0.24,8.34
4,1000,0.22,18.30
8,1000,0.22,36.48
16,1000,0.22,73.32
32,1000,0.26,124.41
64,1000,0.25,253.35
128,1000,0.35,369.18
256,1000,0.38,674.28
512,1000,0.46,1118.07
1024,1000,0.56,1832.59
2048,1000,0.78,2635.80
4096,1000,1.15,3568.49
8192,1000,1.90,4304.63
16384,1000,2.96,5537.91
32768,1000,4.76,6879.48
65536,640,8.07,8118.05
131072,320,14.64,8952.35
262144,160,13.98,18746.10
524288,80,24.62,21292.36
1048576,40,57.80,18140.12
2097152,20,159.19,13174.10
4194304,10,324.70,12917.66
8388608,5,928.37,9035.80
16777216,2,2401.54,6986.04
33554432,1,6044.23,5551.48
67108864,1,15808.65,4245.07
134217728,1,33508.22,4005.52
268435456,1,71216.15,3769.31
