#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.249,0.0,0.0,0.025
1,1000.0,0.238,4.21,0.435,0.025
2,1000.0,0.238,8.429,0.705,0.02
4,1000.0,0.24,16.708,1.575,0.025
8,1000.0,0.238,33.786,2.7,0.015
16,1000.0,0.234,68.361,5.33,0.015
32,1000.0,0.273,117.626,8.84,0.02
64,1000.0,0.272,237.159,14.995,0.02
128,1000.0,0.394,326.187,33.005,0.035
256,1000.0,0.42,611.186,54.78,0.035
512,1000.0,0.506,1014.816,80.295,0.04
1024,1000.0,0.614,1675.341,117.56,0.04
2048,1000.0,0.849,2420.149,164.375,0.055
4096,1000.0,1.24,3308.719,189.765,0.065
8192,1000.0,2.017,4063.254,174.335,0.085
16384,1000.0,3.094,5300.393,176.94,0.1
32768,1000.0,4.957,6612.895,198.015,0.145
65536,640.0,8.597,7629.113,323.245,0.35
131072,320.0,15.845,8283.159,435.3,0.79
262144,160.0,16.213,16296.581,1868.87,1.745
524288,80.0,29.12,18160.862,2324.245,3.44
1048576,40.0,68.022,15537.064,2020.96,8.29
2097152,20.0,182.004,11563.212,1107.92,16.095
4194304,10.0,370.957,11347.14,1179.44,36.265
8388608,5.0,1094.636,7692.816,927.325,119.885
16777216,2.0,2890.581,5912.549,1425.96,828.345
33554432,1.0,7719.995,4472.104,1130.34,1700.75
67108864,1.0,17195.085,3908.292,267.89,1141.725
134217728,1.0,35537.395,3781.194,217.065,2036.575
268435456,1.0,71314.574,3765.264,110.02,2043.335
