#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.64,0.00
1,1000,5.70,0.18
2,1000,5.69,0.35
4,1000,5.71,0.70
8,1000,5.71,1.40
16,1000,5.70,2.81
32,1000,5.71,5.60
64,1000,5.75,11.12
128,1000,5.76,22.21
256,1000,5.82,43.99
512,1000,5.86,87.41
1024,1000,6.57,155.84
2048,1000,6.30,324.83
4096,1000,7.22,567.15
8192,1000,7.73,1060.19
16384,1000,9.97,1643.36
32768,1000,16.15,2028.47
65536,640,34.50,1899.55
131072,320,50.53,2593.91
262144,160,71.92,3644.98
524288,80,112.00,4681.25
1048576,40,190.13,5515.11
2097152,20,368.13,5696.70
4194304,10,777.09,5397.48
8388608,5,1789.64,4687.32
16777216,2,3674.64,4565.68
33554432,1,7408.84,4528.97
67108864,1,14643.00,4583.00
134217728,1,35641.39,3765.78
268435456,1,82464.39,3255.17
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.83,0.00
1,1000,5.95,0.17
2,1000,5.95,0.34
4,1000,5.95,0.67
8,1000,5.95,1.34
16,1000,5.96,2.68
32,1000,5.95,5.38
64,1000,5.96,10.74
128,1000,6.01,21.28
256,1000,6.08,42.07
512,1000,6.12,83.67
1024,1000,6.83,149.92
2048,1000,6.49,315.62
4096,1000,7.48,547.46
8192,1000,7.88,1039.53
16384,1000,10.21,1605.24
32768,1000,16.66,1967.16
65536,640,35.49,1846.86
131072,320,52.39,2501.78
262144,160,73.48,3567.40
524288,80,116.61,4496.15
1048576,40,195.08,5375.14
2097152,20,378.73,5537.37
4194304,10,795.62,5271.71
8388608,5,1830.68,4582.23
16777216,2,3716.74,4513.96
33554432,1,7491.05,4479.27
67108864,1,14838.85,4522.51
134217728,1,37441.47,3584.73
268435456,1,83137.72,3228.80
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.89,0.00
1,1000,6.02,0.17
2,1000,5.99,0.33
4,1000,6.00,0.67
8,1000,5.99,1.33
16,1000,6.05,2.64
32,1000,6.03,5.30
64,1000,6.04,10.59
128,1000,6.09,21.00
256,1000,6.13,41.78
512,1000,6.18,82.86
1024,1000,6.89,148.56
2048,1000,6.54,312.91
4096,1000,7.57,541.34
8192,1000,7.94,1031.38
16384,1000,10.37,1580.59
32768,1000,16.88,1941.45
65536,640,35.79,1830.96
131072,320,53.51,2449.36
262144,160,73.21,3580.78
524288,80,115.78,4528.34
1048576,40,194.48,5391.73
2097152,20,376.28,5573.40
4194304,10,796.78,5264.06
8388608,5,1825.34,4595.64
16777216,2,3752.04,4471.49
33554432,1,7528.07,4457.24
67108864,1,14983.24,4478.93
134217728,1,38472.12,3488.70
268435456,1,83187.98,3226.85
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.13,0.00
1,1000,5.15,0.19
2,1000,5.20,0.38
4,1000,5.25,0.76
8,1000,5.19,1.54
16,1000,5.19,3.08
32,1000,5.17,6.18
64,1000,5.19,12.34
128,1000,5.31,24.12
256,1000,5.30,48.34
512,1000,5.39,94.96
1024,1000,6.01,170.39
2048,1000,5.72,358.16
4096,1000,6.65,615.49
8192,1000,7.07,1158.43
16384,1000,9.38,1747.55
32768,1000,14.85,2205.89
65536,640,32.13,2039.69
131072,320,46.52,2817.25
262144,160,65.37,4009.98
524288,80,104.52,5016.23
1048576,40,174.96,5993.31
2097152,20,350.50,5983.30
4194304,10,733.32,5719.60
8388608,5,1724.55,4864.24
16777216,2,3525.55,4758.74
33554432,1,7085.29,4735.79
67108864,1,14124.61,4751.20
134217728,1,32214.62,4166.36
268435456,1,79559.74,3374.01
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,6.48,0.00
1,1000,6.55,0.15
2,1000,6.57,0.30
4,1000,6.60,0.61
8,1000,6.57,1.22
16,1000,6.60,2.42
32,1000,6.65,4.81
64,1000,6.69,9.56
128,1000,6.77,18.91
256,1000,6.79,37.73
512,1000,6.87,74.56
1024,1000,7.71,132.83
2048,1000,7.23,283.45
4096,1000,8.38,488.69
8192,1000,8.65,946.58
16384,1000,11.51,1423.99
32768,1000,18.43,1777.54
65536,640,38.73,1692.05
131072,320,57.15,2293.45
262144,160,81.46,3218.10
524288,80,126.57,4142.23
1048576,40,207.99,5041.47
2097152,20,421.31,4977.75
4194304,10,977.35,4291.53
8388608,5,2019.74,4153.32
16777216,2,3994.75,4199.82
33554432,1,7880.81,4257.74
67108864,1,15638.44,4291.28
134217728,1,37143.23,3613.52
268435456,1,75315.04,3564.17
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.97,0.00
1,1000,6.06,0.16
2,1000,6.06,0.33
4,1000,6.07,0.66
8,1000,6.09,1.31
16,1000,6.05,2.64
32,1000,6.06,5.28
64,1000,5.73,11.16
128,1000,5.81,22.02
256,1000,5.83,43.93
512,1000,5.89,86.89
1024,1000,6.59,155.41
2048,1000,6.30,324.84
4096,1000,7.29,562.04
8192,1000,7.72,1060.82
16384,1000,10.06,1628.57
32768,1000,15.87,2065.20
65536,640,34.29,1911.02
131072,320,50.61,2589.60
262144,160,71.11,3686.62
524288,80,111.89,4685.79
1048576,40,188.04,5576.43
2097152,20,365.99,5730.00
4194304,10,775.59,5407.88
8388608,5,1796.08,4670.50
16777216,2,3667.13,4575.02
33554432,1,7445.10,4506.91
67108864,1,14552.13,4611.62
134217728,1,36148.41,3712.96
268435456,1,83223.54,3225.48
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.94,0.00
1,1000,6.04,0.17
2,1000,6.03,0.33
4,1000,6.03,0.66
8,1000,6.04,1.32
16,1000,6.05,2.65
32,1000,6.08,5.26
64,1000,6.08,10.52
128,1000,6.03,21.21
256,1000,5.80,44.13
512,1000,5.85,87.49
1024,1000,6.58,155.74
2048,1000,6.29,325.36
4096,1000,7.30,561.21
8192,1000,7.75,1057.02
16384,1000,10.08,1625.83
32768,1000,16.12,2032.52
65536,640,34.43,1903.46
131072,320,50.94,2572.86
262144,160,71.56,3663.34
524288,80,111.63,4696.86
1048576,40,188.74,5555.63
2097152,20,369.20,5680.27
4194304,10,769.90,5447.86
8388608,5,1795.26,4672.63
16777216,2,3705.74,4527.36
33554432,1,7388.63,4541.36
67108864,1,14694.82,4566.84
134217728,1,37476.95,3581.34
268435456,1,82156.32,3267.37
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.89,0.00
1,1000,6.01,0.17
2,1000,6.01,0.33
4,1000,6.03,0.66
8,1000,6.04,1.32
16,1000,6.03,2.65
32,1000,6.02,5.31
64,1000,6.03,10.61
128,1000,6.09,21.00
256,1000,6.15,41.60
512,1000,6.20,82.59
1024,1000,6.91,148.19
2048,1000,6.57,311.51
4096,1000,7.56,541.56
8192,1000,7.90,1036.70
16384,1000,10.39,1577.40
32768,1000,16.64,1969.75
65536,640,35.31,1856.17
131072,320,52.77,2484.04
262144,160,73.53,3564.89
524288,80,116.39,4504.58
1048576,40,193.96,5406.13
2097152,20,378.00,5548.01
4194304,10,786.54,5332.58
8388608,5,1808.15,4639.33
16777216,2,3743.58,4481.60
33554432,1,7459.75,4498.07
67108864,1,14908.38,4501.42
134217728,1,38700.81,3468.09
268435456,1,83373.22,3219.68
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.90,0.00
1,1000,6.01,0.17
2,1000,6.03,0.33
4,1000,5.99,0.67
8,1000,5.99,1.34
16,1000,6.03,2.65
32,1000,6.03,5.31
64,1000,6.01,10.64
128,1000,6.10,20.97
256,1000,6.10,41.94
512,1000,6.19,82.76
1024,1000,6.91,148.20
2048,1000,6.52,314.22
4096,1000,7.56,541.61
8192,1000,7.90,1037.18
16384,1000,10.41,1573.20
32768,1000,16.55,1980.01
65536,640,35.54,1844.11
131072,320,52.80,2482.58
262144,160,74.09,3537.95
524288,80,116.42,4503.47
1048576,40,195.57,5361.76
2097152,20,379.08,5532.20
4194304,10,792.49,5292.53
8388608,5,1835.61,4569.94
16777216,2,3752.91,4470.46
33554432,1,7512.98,4466.20
67108864,1,14961.30,4485.50
134217728,1,39950.64,3359.59
268435456,1,82074.34,3270.64
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.91,0.00
1,1000,6.03,0.17
2,1000,6.00,0.33
4,1000,6.02,0.66
8,1000,6.02,1.33
16,1000,6.03,2.65
32,1000,6.04,5.30
64,1000,6.07,10.54
128,1000,6.12,20.92
256,1000,6.16,41.57
512,1000,6.21,82.48
1024,1000,6.95,147.24
2048,1000,6.56,311.99
4096,1000,7.59,539.92
8192,1000,8.00,1024.29
16384,1000,10.40,1575.03
32768,1000,16.63,1970.91
65536,640,35.31,1855.81
131072,320,52.72,2486.17
262144,160,73.61,3561.10
524288,80,116.74,4491.11
1048576,40,194.50,5391.21
2097152,20,376.89,5564.30
4194304,10,795.81,5270.49
8388608,5,1818.94,4611.82
16777216,2,3738.81,4487.31
33554432,1,7354.64,4562.35
67108864,1,14679.65,4571.56
134217728,1,29211.04,4594.76
268435456,1,76923.79,3489.63
