#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,5.858,0.0,0.0,0.675
1,1000.0,5.952,0.17,0.02,0.7
2,1000.0,5.953,0.335,0.04,0.685
4,1000.0,5.965,0.672,0.075,0.675
8,1000.0,5.959,1.345,0.16,0.69
16,1000.0,5.969,2.687,0.33,0.705
32,1000.0,5.974,5.373,0.685,0.74
64,1000.0,5.955,10.782,1.39,0.75
128,1000.0,6.009,21.364,2.605,0.73
256,1000.0,6.016,42.708,5.305,0.745
512,1000.0,6.076,84.567,10.2,0.74
1024,1000.0,6.795,151.232,18.78,0.85
2048,1000.0,6.452,318.289,37.355,0.755
4096,1000.0,7.46,550.647,63.4,0.865
8192,1000.0,7.854,1045.212,105.925,0.79
16384,1000.0,10.278,1598.076,161.78,1.065
32768,1000.0,16.478,1993.89,214.175,1.79
65536,640.0,35.152,1867.968,173.82,3.3
131072,320.0,51.994,2527.1,261.9,5.315
262144,160.0,72.934,3603.514,395.94,8.045
524288,80.0,114.855,4574.601,437.0,11.025
1048576,40.0,192.345,5460.792,475.92,16.515
2097152,20.0,376.411,5582.33,502.775,35.405
4194304,10.0,800.049,5269.572,714.035,122.015
8388608,5.0,1824.399,4604.697,355.46,147.595
16777216,2.0,3727.189,4505.144,279.46,234.6
33554432,1.0,7455.516,4503.39,239.025,397.76
67108864,1.0,14802.442,4536.386,229.96,756.915
134217728,1.0,36240.068,3733.583,617.585,5369.8
268435456,1.0,81141.608,3312.18,172.245,4029.09
