#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.31,0.00
1,1000,0.37,2.71
2,1000,0.37,5.38
4,1000,0.36,11.15
8,1000,0.35,22.63
16,1000,0.37,43.80
32,1000,0.37,86.57
64,1000,0.40,160.93
128,1000,0.43,298.66
256,1000,0.53,484.00
512,1000,0.72,713.26
1024,1000,0.80,1277.64
2048,1000,0.93,2193.18
4096,1000,2.07,1976.32
8192,1000,2.46,3326.15
16384,1000,3.09,5302.45
32768,1000,4.28,7657.25
65536,640,6.80,9634.91
131072,320,11.44,11462.20
262144,160,21.02,12471.49
524288,80,45.07,11631.84
1048576,40,120.36,8712.36
2097152,20,270.62,7749.46
4194304,10,637.18,6582.57
8388608,5,1870.94,4483.64
16777216,2,4129.29,4062.98
33554432,1,8294.15,4045.55
67108864,1,16810.74,3992.02
134217728,1,40086.59,3348.20
268435456,1,98594.29,2722.63
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.32,0.00
1,1000,0.34,2.90
2,1000,0.35,5.76
4,1000,0.34,11.66
8,1000,0.34,23.60
16,1000,0.36,44.57
32,1000,0.36,89.69
64,1000,0.38,169.11
128,1000,0.45,285.95
256,1000,0.48,532.98
512,1000,0.68,753.25
1024,1000,0.76,1346.91
2048,1000,0.92,2218.70
4096,1000,2.06,1984.95
8192,1000,2.52,3256.81
16384,1000,3.07,5335.02
32768,1000,4.27,7669.79
65536,640,6.67,9832.10
131072,320,11.69,11208.29
262144,160,21.01,12474.73
524288,80,44.60,11756.25
1048576,40,121.45,8633.86
2097152,20,261.81,8010.23
4194304,10,621.93,6744.06
8388608,5,1821.94,4604.22
16777216,2,4083.07,4108.97
33554432,1,8206.47,4088.78
67108864,1,16307.03,4115.33
134217728,1,41981.04,3197.10
268435456,1,102305.38,2623.86
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.33,0.00
1,1000,0.36,2.79
2,1000,0.36,5.62
4,1000,0.34,11.73
8,1000,0.36,22.01
16,1000,0.35,45.59
32,1000,0.35,90.53
64,1000,0.40,158.41
128,1000,0.42,302.00
256,1000,0.52,490.94
512,1000,0.68,753.50
1024,1000,0.79,1297.39
2048,1000,0.91,2249.66
4096,1000,2.06,1986.42
8192,1000,2.51,3262.84
16384,1000,3.11,5271.61
32768,1000,4.34,7553.44
65536,640,6.78,9662.11
131072,320,11.48,11421.80
262144,160,21.20,12366.97
524288,80,46.11,11370.24
1048576,40,120.82,8678.47
2097152,20,272.82,7687.00
4194304,10,673.92,6223.76
8388608,5,1910.15,4391.59
16777216,2,4223.75,3972.12
33554432,1,8457.17,3967.57
67108864,1,16720.46,4013.58
134217728,1,43709.42,3070.68
268435456,1,102940.48,2607.68
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.28,3.56
2,1000,0.28,7.08
4,1000,0.28,14.10
8,1000,0.28,28.41
16,1000,0.30,53.97
32,1000,0.30,107.33
64,1000,0.34,189.71
128,1000,0.40,322.65
256,1000,0.46,555.00
512,1000,0.61,844.47
1024,1000,0.71,1437.56
2048,1000,0.84,2445.22
4096,1000,1.78,2300.13
8192,1000,2.04,4021.06
16384,1000,2.60,6294.98
32768,1000,3.60,9096.38
65536,640,5.75,11394.97
131072,320,9.59,13663.73
262144,160,17.54,14948.77
524288,80,36.98,14176.55
1048576,40,102.67,10212.98
2097152,20,245.51,8541.96
4194304,10,608.61,6891.58
8388608,5,1801.17,4657.31
16777216,2,3927.83,4271.37
33554432,1,7960.91,4214.90
67108864,1,15746.96,4261.70
134217728,1,35635.39,3766.42
268435456,1,94927.90,2827.78
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.28,0.00
1,1000,0.29,3.50
2,1000,0.28,7.06
4,1000,0.28,14.19
8,1000,0.30,27.05
16,1000,0.30,53.98
32,1000,0.29,108.70
64,1000,0.32,197.25
128,1000,0.40,323.06
256,1000,0.45,575.27
512,1000,0.61,835.48
1024,1000,0.71,1443.46
2048,1000,0.84,2431.44
4096,1000,1.78,2298.69
8192,1000,2.08,3946.78
16384,1000,2.66,6148.85
32768,1000,3.83,8552.15
65536,640,5.81,11278.67
131072,320,10.13,12942.87
262144,160,18.14,14448.54
524288,80,40.10,13073.68
1048576,40,108.58,9657.04
2097152,20,250.20,8382.01
4194304,10,620.69,6757.48
8388608,5,1870.55,4484.56
16777216,2,4021.35,4172.04
33554432,1,7925.11,4233.94
67108864,1,15787.28,4250.82
134217728,1,38401.73,3495.10
268435456,1,94336.20,2845.52
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.33,0.00
1,1000,0.34,2.90
2,1000,0.34,5.91
4,1000,0.33,11.97
8,1000,0.35,23.03
16,1000,0.35,45.47
32,1000,0.36,90.08
64,1000,0.38,169.31
128,1000,0.43,296.67
256,1000,0.50,513.19
512,1000,0.70,731.22
1024,1000,0.77,1321.62
2048,1000,0.92,2228.08
4096,1000,2.05,1993.70
8192,1000,2.43,3366.63
16384,1000,3.09,5293.96
32768,1000,4.31,7599.88
65536,640,6.76,9688.37
131072,320,11.62,11275.58
262144,160,21.02,12469.36
524288,80,46.42,11293.45
1048576,40,121.52,8629.16
2097152,20,272.36,7699.98
4194304,10,658.88,6365.85
8388608,5,1913.25,4384.48
16777216,2,4250.86,3946.78
33554432,1,8445.84,3972.90
67108864,1,16820.90,3989.61
134217728,1,41704.26,3218.32
268435456,1,99583.44,2695.58
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.31,0.00
1,1000,0.34,2.92
2,1000,0.34,5.92
4,1000,0.36,11.24
8,1000,0.35,23.04
16,1000,0.35,45.40
32,1000,0.35,91.24
64,1000,0.39,162.12
128,1000,0.43,296.32
256,1000,0.49,523.17
512,1000,0.68,751.38
1024,1000,0.76,1342.91
2048,1000,0.91,2258.03
4096,1000,2.10,1947.92
8192,1000,2.48,3301.42
16384,1000,3.10,5286.14
32768,1000,4.33,7562.00
65536,640,6.71,9772.65
131072,320,11.21,11695.41
262144,160,21.40,12250.23
524288,80,46.51,11272.24
1048576,40,123.38,8498.83
2097152,20,272.37,7699.58
4194304,10,647.58,6476.92
8388608,5,1932.02,4341.87
16777216,2,4251.11,3946.55
33554432,1,8467.28,3962.83
67108864,1,16827.62,3988.02
134217728,1,43352.55,3095.96
268435456,1,101641.69,2641.00
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.31,0.00
1,1000,0.34,2.97
2,1000,0.37,5.48
4,1000,0.36,11.19
8,1000,0.35,22.75
16,1000,0.37,43.46
32,1000,0.35,90.39
64,1000,0.39,163.23
128,1000,0.44,290.34
256,1000,0.53,484.98
512,1000,0.67,767.04
1024,1000,0.79,1302.09
2048,1000,0.93,2202.74
4096,1000,2.07,1976.80
8192,1000,2.48,3309.52
16384,1000,3.09,5297.52
32768,1000,4.33,7570.30
65536,640,6.85,9571.08
131072,320,11.47,11425.84
262144,160,21.04,12458.65
524288,80,44.78,11707.03
1048576,40,121.17,8654.07
2097152,20,272.58,7693.58
4194304,10,661.92,6336.56
8388608,5,1918.87,4371.63
16777216,2,4226.93,3969.13
33554432,1,8439.23,3976.01
67108864,1,16477.07,4072.86
134217728,1,43334.00,3097.28
268435456,1,99050.78,2710.08
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.31,0.00
1,1000,0.35,2.85
2,1000,0.35,5.71
4,1000,0.35,11.45
8,1000,0.35,23.06
16,1000,0.36,44.30
32,1000,0.36,88.66
64,1000,0.38,167.80
128,1000,0.45,287.38
256,1000,0.48,531.48
512,1000,0.68,751.13
1024,1000,0.75,1363.75
2048,1000,0.93,2206.59
4096,1000,2.15,1901.69
8192,1000,2.39,3420.86
16384,1000,3.15,5205.46
32768,1000,4.20,7802.26
65536,640,6.91,9478.96
131072,320,11.73,11169.60
262144,160,21.31,12298.73
524288,80,45.82,11442.39
1048576,40,120.86,8675.97
2097152,20,271.25,7731.36
4194304,10,638.64,6567.53
8388608,5,1859.98,4510.06
16777216,2,4120.38,4071.77
33554432,1,8118.04,4133.32
67108864,1,16165.16,4151.45
134217728,1,44842.29,2993.11
268435456,1,101150.20,2653.83
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.33,0.00
1,1000,0.36,2.77
2,1000,0.35,5.77
4,1000,0.34,11.68
8,1000,0.35,22.66
16,1000,0.37,43.69
32,1000,0.35,91.08
64,1000,0.39,162.41
128,1000,0.42,303.58
256,1000,0.51,497.78
512,1000,0.68,755.10
1024,1000,0.76,1352.60
2048,1000,0.88,2316.61
4096,1000,2.07,1979.64
8192,1000,2.49,3290.28
16384,1000,3.10,5281.31
32768,1000,4.33,7565.65
65536,640,6.86,9559.81
131072,320,11.79,11121.83
262144,160,21.13,12408.17
524288,80,46.22,11343.09
1048576,40,121.62,8621.56
2097152,20,272.63,7692.25
4194304,10,667.67,6281.98
8388608,5,1917.58,4374.59
16777216,2,4112.63,4079.43
33554432,1,8281.49,4051.74
67108864,1,16527.23,4060.50
134217728,1,46666.19,2876.12
268435456,1,101270.73,2650.67
