#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.31,0.0,0.0,0.03
1,1000.0,0.337,2.987,0.425,0.045
2,1000.0,0.339,5.969,0.85,0.045
4,1000.0,0.334,12.036,1.52,0.04
8,1000.0,0.338,23.824,3.2,0.04
16,1000.0,0.348,46.423,5.26,0.035
32,1000.0,0.344,93.427,11.065,0.04
64,1000.0,0.377,170.028,19.42,0.04
128,1000.0,0.427,300.661,18.555,0.025
256,1000.0,0.495,518.879,45.635,0.04
512,1000.0,0.671,765.583,65.605,0.055
1024,1000.0,0.76,1348.593,82.91,0.045
2048,1000.0,0.901,2275.025,126.02,0.045
4096,1000.0,2.019,2034.626,199.22,0.185
8192,1000.0,2.388,3450.235,382.125,0.24
16384,1000.0,3.006,5471.73,544.76,0.275
32768,1000.0,4.182,7862.91,771.47,0.37
65536,640.0,6.59,9987.363,958.005,0.58
131072,320.0,11.215,11738.715,1270.95,1.1
262144,160.0,20.481,12859.564,1349.27,1.93
524288,80.0,44.261,11906.676,1452.155,4.765
1048576,40.0,118.243,8897.43,857.075,10.355
2097152,20.0,266.215,7888.741,427.48,13.655
4194304,10.0,643.702,6522.829,333.91,32.655
8388608,5.0,1881.645,4460.395,157.72,65.425
16777216,2.0,4134.72,4060.114,162.41,161.64
33554432,1.0,8259.569,4064.754,135.555,271.085
67108864,1.0,16419.045,4089.589,136.84,540.33
134217728,1.0,41971.346,3215.829,445.15,5515.4
268435456,1.0,99580.109,2697.863,118.92,4302.14
