#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.36,0.00
1,1000,1.35,0.74
2,1000,1.35,1.48
4,1000,1.35,2.96
8,1000,1.35,5.91
16,1000,1.36,11.80
32,1000,1.39,23.03
64,1000,1.68,38.07
128,1000,1.72,74.25
256,1000,2.00,128.11
512,1000,2.07,247.61
1024,1000,2.30,444.36
2048,1000,2.98,688.12
4096,1000,3.92,1044.23
8192,1000,5.49,1490.85
16384,1000,7.28,2251.90
32768,1000,10.08,3249.34
65536,640,14.50,4519.66
131072,320,23.54,5568.89
262144,160,33.97,7716.61
524288,80,55.95,9371.44
1048576,40,98.91,10601.69
2097152,20,185.87,11282.87
4194304,10,355.15,11810.07
8388608,5,698.36,12011.85
16777216,2,1383.41,12127.41
33554432,1,2763.29,12142.95
67108864,1,5515.23,12167.93
134217728,1,11033.38,12164.70
268435456,1,22109.23,12141.33
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.36,0.74
2,1000,1.36,1.47
4,1000,1.36,2.94
8,1000,1.36,5.88
16,1000,1.36,11.73
32,1000,1.39,22.96
64,1000,1.68,38.12
128,1000,1.73,73.91
256,1000,1.98,128.98
512,1000,2.07,247.12
1024,1000,2.30,445.05
2048,1000,2.98,687.16
4096,1000,3.92,1044.93
8192,1000,5.51,1486.67
16384,1000,7.28,2250.98
32768,1000,10.05,3261.00
65536,640,14.48,4525.15
131072,320,23.50,5578.08
262144,160,33.93,7727.06
524288,80,58.13,9019.64
1048576,40,99.29,10560.74
2097152,20,184.82,11347.04
4194304,10,356.85,11753.55
8388608,5,697.58,12025.26
16777216,2,1383.55,12126.21
33554432,1,2767.93,12122.57
67108864,1,5505.04,12190.44
134217728,1,11041.29,12155.99
268435456,1,22101.44,12145.61
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.36,0.00
1,1000,1.36,0.74
2,1000,1.35,1.48
4,1000,1.36,2.95
8,1000,1.36,5.90
16,1000,1.36,11.78
32,1000,1.39,23.05
64,1000,1.66,38.47
128,1000,1.71,75.07
256,1000,1.99,128.63
512,1000,2.06,248.81
1024,1000,2.27,451.29
2048,1000,2.97,689.85
4096,1000,3.93,1042.87
8192,1000,5.51,1487.64
16384,1000,7.29,2247.68
32768,1000,10.03,3267.44
65536,640,14.49,4521.40
131072,320,23.57,5561.52
262144,160,33.93,7725.45
524288,80,55.98,9366.16
1048576,40,98.81,10611.76
2097152,20,185.97,11276.88
4194304,10,355.09,11811.84
8388608,5,698.55,12008.68
16777216,2,1382.26,12137.51
33554432,1,2760.15,12156.75
67108864,1,5511.63,12175.87
134217728,1,11038.94,12158.57
268435456,1,22113.51,12138.98
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.35,0.74
2,1000,1.35,1.48
4,1000,1.36,2.95
8,1000,1.36,5.90
16,1000,1.36,11.78
32,1000,1.40,22.90
64,1000,1.67,38.26
128,1000,1.72,74.58
256,1000,1.99,128.93
512,1000,2.06,248.00
1024,1000,2.30,445.25
2048,1000,2.97,690.31
4096,1000,3.91,1047.02
8192,1000,5.49,1491.02
16384,1000,7.26,2256.17
32768,1000,10.09,3246.17
65536,640,14.47,4527.74
131072,320,23.63,5547.32
262144,160,34.22,7661.32
524288,80,55.79,9397.29
1048576,40,98.81,10612.11
2097152,20,184.82,11346.71
4194304,10,354.70,11825.01
8388608,5,699.38,11994.28
16777216,2,1384.47,12118.13
33554432,1,2762.24,12147.53
67108864,1,5524.02,12148.55
134217728,1,11040.89,12156.42
268435456,1,22337.09,12017.48
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.36,0.74
2,1000,1.36,1.48
4,1000,1.36,2.95
8,1000,1.37,5.85
16,1000,1.36,11.74
32,1000,1.39,23.04
64,1000,1.68,38.12
128,1000,1.72,74.32
256,1000,1.98,129.44
512,1000,2.07,246.93
1024,1000,2.29,448.02
2048,1000,2.97,689.51
4096,1000,3.97,1032.08
8192,1000,5.54,1479.12
16384,1000,7.34,2231.18
32768,1000,10.02,3271.28
65536,640,14.50,4519.01
131072,320,23.53,5570.41
262144,160,33.84,7746.70
524288,80,58.13,9019.65
1048576,40,98.93,10599.52
2097152,20,184.61,11359.64
4194304,10,355.08,11812.22
8388608,5,697.61,12024.82
16777216,2,1384.68,12116.30
33554432,1,2757.72,12167.47
67108864,1,5512.44,12174.08
134217728,1,11035.04,12162.87
268435456,1,22086.76,12153.68
