#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,1.362,0.0,0.0,0.01
1,1000.0,1.354,0.74,0.0,0.005
2,1000.0,1.353,1.479,0.01,0.005
4,1000.0,1.356,2.954,0.015,0.005
8,1000.0,1.357,5.898,0.035,0.01
16,1000.0,1.359,11.775,0.05,0.005
32,1000.0,1.39,23.021,0.12,0.01
64,1000.0,1.68,38.076,0.41,0.02
128,1000.0,1.723,74.27,0.745,0.015
256,1000.0,1.99,128.69,0.705,0.01
512,1000.0,2.067,247.594,1.865,0.015
1024,1000.0,2.284,448.05,3.465,0.015
2048,1000.0,2.976,688.503,2.48,0.01
4096,1000.0,3.93,1042.225,7.915,0.03
8192,1000.0,5.505,1487.725,7.37,0.03
16384,1000.0,7.293,2246.702,13.265,0.04
32768,1000.0,10.058,3257.618,12.555,0.035
65536,640.0,14.494,4521.639,11.315,0.035
131072,320.0,23.546,5566.961,15.38,0.065
262144,160.0,33.89,7735.238,82.95,0.365
524288,80.0,56.461,9289.754,213.0,1.31
1048576,40.0,98.913,10600.931,26.49,0.25
2097152,20.0,185.195,11324.098,47.845,0.78
4194304,10.0,355.473,11799.273,50.19,1.52
8388608,5.0,698.238,12013.963,16.85,0.98
16777216,2.0,1384.077,12121.594,16.21,1.85
33554432,1.0,2762.044,12148.423,22.45,5.105
67108864,1.0,5510.911,12177.468,20.945,9.49
134217728,1.0,11036.807,12160.924,6.77,6.145
268435456,1.0,22121.631,12134.652,68.66,126.185
