#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.47,0.00
1,1000,15.53,0.06
2,1000,15.45,0.13
4,1000,15.40,0.26
8,1000,15.47,0.52
16,1000,15.46,1.03
32,1000,15.50,2.06
64,1000,15.60,4.10
128,1000,16.16,7.92
256,1000,16.04,15.96
512,1000,16.31,31.39
1024,1000,16.73,61.22
2048,1000,38.29,53.49
4096,1000,38.62,106.07
8192,1000,39.58,206.97
16384,1000,41.36,396.17
32768,1000,45.64,718.03
65536,640,80.70,812.06
131072,320,145.95,898.08
262144,160,201.14,1303.26
524288,80,322.96,1623.39
1048576,40,565.29,1854.95
2097152,20,981.54,2136.60
4194304,10,1977.17,2121.37
8388608,5,4035.19,2078.86
16777216,2,7805.72,2149.35
33554432,1,15950.35,2103.68
67108864,1,31219.19,2149.60
134217728,1,61865.70,2169.50
268435456,1,128804.02,2084.06
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.35,0.00
1,1000,15.42,0.06
2,1000,15.40,0.13
4,1000,15.40,0.26
8,1000,15.39,0.52
16,1000,15.44,1.04
32,1000,15.46,2.07
64,1000,15.58,4.11
128,1000,15.96,8.02
256,1000,16.01,15.99
512,1000,16.29,31.44
1024,1000,16.72,61.25
2048,1000,38.29,53.49
4096,1000,38.96,105.12
8192,1000,39.75,206.10
16384,1000,41.55,394.30
32768,1000,48.78,671.79
65536,640,81.15,807.61
131072,320,128.27,1021.81
262144,160,199.27,1315.49
524288,80,304.73,1720.50
1048576,40,496.35,2112.57
2097152,20,894.36,2344.88
4194304,10,1860.08,2254.91
8388608,5,3911.82,2144.43
16777216,2,7911.00,2120.74
33554432,1,15841.05,2118.20
67108864,1,31267.03,2146.31
134217728,1,61306.51,2189.29
268435456,1,130361.25,2059.17
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.64,0.00
1,1000,15.62,0.06
2,1000,15.64,0.13
4,1000,15.62,0.26
8,1000,15.62,0.51
16,1000,15.65,1.02
32,1000,15.78,2.03
64,1000,15.75,4.06
128,1000,16.31,7.85
256,1000,16.19,15.81
512,1000,16.44,31.14
1024,1000,16.95,60.40
2048,1000,38.47,53.24
4096,1000,38.93,105.23
8192,1000,39.93,205.17
16384,1000,41.77,392.24
32768,1000,48.97,669.13
65536,640,80.16,817.53
131072,320,132.98,985.68
262144,160,198.19,1322.68
524288,80,313.66,1671.53
1048576,40,511.16,2051.37
2097152,20,933.33,2246.97
4194304,10,1888.36,2221.13
8388608,5,3939.43,2129.40
16777216,2,7861.23,2134.17
33554432,1,15666.06,2141.85
67108864,1,30594.61,2193.49
134217728,1,61386.29,2186.44
268435456,1,129177.02,2078.04
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.52,0.00
1,1000,15.64,0.06
2,1000,15.58,0.13
4,1000,15.59,0.26
8,1000,15.62,0.51
16,1000,15.62,1.02
32,1000,15.68,2.04
64,1000,15.71,4.07
128,1000,16.16,7.92
256,1000,16.20,15.81
512,1000,16.42,31.18
1024,1000,16.87,60.71
2048,1000,38.50,53.19
4096,1000,38.94,105.18
8192,1000,39.81,205.79
16384,1000,41.42,395.58
32768,1000,48.86,670.70
65536,640,80.88,810.30
131072,320,135.77,965.43
262144,160,205.40,1276.27
524288,80,318.16,1647.87
1048576,40,518.51,2022.29
2097152,20,929.44,2256.36
4194304,10,1924.84,2179.04
8388608,5,3964.69,2115.83
16777216,2,7882.95,2128.29
33554432,1,15621.40,2147.98
67108864,1,30981.74,2166.08
134217728,1,61518.70,2181.74
268435456,1,125827.08,2133.37
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.49,0.00
1,1000,15.59,0.06
2,1000,15.57,0.13
4,1000,15.57,0.26
8,1000,15.57,0.51
16,1000,15.60,1.03
32,1000,15.61,2.05
64,1000,15.69,4.08
128,1000,16.11,7.95
256,1000,16.11,15.89
512,1000,16.34,31.34
1024,1000,16.78,61.01
2048,1000,38.42,53.30
4096,1000,38.87,105.38
8192,1000,40.11,204.26
16384,1000,41.82,391.75
32768,1000,48.98,669.00
65536,640,80.99,809.19
131072,320,134.07,977.63
262144,160,204.13,1284.19
524288,80,317.18,1652.95
1048576,40,521.78,2009.62
2097152,20,933.52,2246.49
4194304,10,1931.21,2171.86
8388608,5,3966.00,2115.13
16777216,2,8141.50,2060.70
33554432,1,16217.28,2069.05
67108864,1,32136.41,2088.25
134217728,1,61528.45,2181.39
268435456,1,130081.52,2063.59
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.92,0.00
1,1000,15.87,0.06
2,1000,15.86,0.13
4,1000,15.84,0.25
8,1000,15.88,0.50
16,1000,15.92,1.01
32,1000,15.93,2.01
64,1000,16.07,3.98
128,1000,16.68,7.67
256,1000,16.47,15.54
512,1000,16.79,30.50
1024,1000,17.20,59.55
2048,1000,38.81,52.78
4096,1000,39.42,103.92
8192,1000,40.18,203.86
16384,1000,42.03,389.79
32768,1000,49.16,666.54
65536,640,80.49,814.24
131072,320,135.59,966.69
262144,160,201.83,1298.81
524288,80,316.78,1655.07
1048576,40,524.59,1998.83
2097152,20,944.32,2220.80
4194304,10,1921.66,2182.64
8388608,5,3990.00,2102.41
16777216,2,7718.97,2173.50
33554432,1,15385.36,2180.93
67108864,1,30580.87,2194.47
134217728,1,60916.09,2203.32
268435456,1,128003.20,2097.10
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.27,0.00
1,1000,15.34,0.07
2,1000,15.33,0.13
4,1000,15.33,0.26
8,1000,15.32,0.52
16,1000,15.38,1.04
32,1000,15.42,2.08
64,1000,15.49,4.13
128,1000,15.86,8.07
256,1000,15.94,16.06
512,1000,16.22,31.56
1024,1000,16.64,61.53
2048,1000,38.30,53.47
4096,1000,38.56,106.22
8192,1000,39.90,205.31
16384,1000,41.64,393.50
32768,1000,48.84,670.97
65536,640,80.04,818.77
131072,320,127.65,1026.82
262144,160,200.59,1306.85
524288,80,304.77,1720.25
1048576,40,502.05,2088.59
2097152,20,899.34,2331.88
4194304,10,1836.10,2284.35
8388608,5,3758.64,2231.82
16777216,2,7529.01,2228.34
33554432,1,14736.84,2276.91
67108864,1,28985.35,2315.27
134217728,1,58171.67,2307.27
268435456,1,125275.10,2142.77
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.55,0.00
1,1000,15.59,0.06
2,1000,15.57,0.13
4,1000,15.55,0.26
8,1000,15.54,0.51
16,1000,15.61,1.02
32,1000,15.61,2.05
64,1000,15.69,4.08
128,1000,16.16,7.92
256,1000,16.13,15.87
512,1000,16.41,31.20
1024,1000,16.83,60.86
2048,1000,38.57,53.10
4096,1000,38.91,105.27
8192,1000,39.74,206.15
16384,1000,41.38,395.91
32768,1000,48.81,671.40
65536,640,80.79,811.18
131072,320,133.58,981.26
262144,160,210.77,1243.75
524288,80,318.73,1644.93
1048576,40,522.23,2007.90
2097152,20,955.75,2194.25
4194304,10,1920.89,2183.52
8388608,5,3987.02,2103.98
16777216,2,7692.19,2181.07
33554432,1,15419.26,2176.14
67108864,1,30437.11,2204.84
134217728,1,60810.26,2207.16
268435456,1,127542.72,2104.67
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.22,0.00
1,1000,15.27,0.07
2,1000,15.30,0.13
4,1000,15.28,0.26
8,1000,15.31,0.52
16,1000,15.33,1.04
32,1000,15.32,2.09
64,1000,15.47,4.14
128,1000,15.85,8.08
256,1000,15.90,16.10
512,1000,16.14,31.73
1024,1000,16.61,61.65
2048,1000,38.09,53.77
4096,1000,38.26,107.06
8192,1000,39.67,206.52
16384,1000,41.38,395.98
32768,1000,45.71,716.87
65536,640,80.40,815.15
131072,320,132.72,987.58
262144,160,205.15,1277.81
524288,80,314.07,1669.32
1048576,40,516.78,2029.04
2097152,20,935.77,2241.11
4194304,10,1893.79,2214.76
8388608,5,4100.35,2045.83
16777216,2,8049.01,2084.38
33554432,1,16058.44,2089.52
67108864,1,31940.72,2101.04
134217728,1,61919.50,2167.62
268435456,1,132539.47,2025.32
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.02,0.00
1,1000,15.09,0.07
2,1000,15.06,0.13
4,1000,15.09,0.27
8,1000,15.09,0.53
16,1000,15.13,1.06
32,1000,15.15,2.11
64,1000,15.23,4.20
128,1000,15.54,8.24
256,1000,15.64,16.37
512,1000,15.94,32.11
1024,1000,16.40,62.44
2048,1000,38.09,53.77
4096,1000,38.28,106.99
8192,1000,39.66,206.56
16384,1000,41.18,397.87
32768,1000,45.56,719.28
65536,640,81.83,800.89
131072,320,126.76,1034.01
262144,160,199.38,1314.79
524288,80,308.10,1701.69
1048576,40,501.52,2090.80
2097152,20,893.27,2347.71
4194304,10,1808.89,2318.71
8388608,5,3714.21,2258.52
16777216,2,7384.72,2271.88
33554432,1,14973.93,2240.86
67108864,1,29081.25,2307.63
134217728,1,57737.42,2324.62
268435456,1,123138.10,2179.95
