#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,15.445,0.0,0.0,0.45
1,1000.0,15.496,0.063,0.005,0.39
2,1000.0,15.476,0.13,0.0,0.4
4,1000.0,15.467,0.26,0.01,0.375
8,1000.0,15.481,0.515,0.015,0.395
16,1000.0,15.514,1.031,0.025,0.395
32,1000.0,15.546,2.059,0.05,0.39
64,1000.0,15.628,4.095,0.11,0.42
128,1000.0,16.079,7.964,0.285,0.57
256,1000.0,16.063,15.94,0.415,0.415
512,1000.0,16.33,31.359,0.805,0.425
1024,1000.0,16.773,61.062,1.445,0.4
2048,1000.0,38.383,53.36,0.495,0.36
4096,1000.0,38.775,105.644,1.57,0.58
8192,1000.0,39.833,205.669,1.555,0.3
16384,1000.0,41.553,394.309,4.04,0.425
32768,1000.0,47.931,684.371,26.37,1.8
65536,640.0,80.743,811.692,8.94,0.895
131072,320.0,133.334,984.499,67.965,9.595
262144,160.0,202.585,1294.39,39.465,6.29
524288,80.0,313.914,1670.75,48.555,9.115
1048576,40.0,518.026,2026.596,128.81,34.47
2097152,20.0,930.064,2256.705,105.555,44.135
4194304,10.0,1896.299,2213.229,98.67,84.14
8388608,5.0,3936.735,2132.621,106.345,193.07
16777216,2.0,7797.63,2153.242,105.59,378.39
33554432,1.0,15586.997,2154.512,103.93,740.22
67108864,1.0,30722.428,2186.698,113.51,1575.53
134217728,1.0,60716.059,2211.835,78.5,2091.04
268435456,1.0,128074.948,2096.804,77.315,4700.685
