#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,17.92,0.00
1,1000,17.65,0.06
2,1000,17.63,0.11
4,1000,17.71,0.23
8,1000,18.06,0.44
16,1000,17.94,0.89
32,1000,18.00,1.78
64,1000,17.88,3.58
128,1000,18.57,6.89
256,1000,19.11,13.40
512,1000,19.20,26.66
1024,1000,19.70,51.97
2048,1000,42.49,48.20
4096,1000,42.91,95.46
8192,1000,71.91,113.92
16384,1000,52.52,311.98
32768,1000,105.18,311.54
65536,640,118.17,554.59
131072,320,148.78,880.99
262144,160,271.82,964.41
524288,80,383.41,1367.45
1048576,40,611.08,1715.93
2097152,20,1118.00,1875.80
4194304,10,2197.07,1909.04
8388608,5,4570.70,1835.30
16777216,2,9094.54,1844.76
33554432,1,18136.11,1850.14
67108864,1,36202.97,1853.68
134217728,1,70054.03,1915.92
268435456,1,139549.59,1923.58
