#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,20.74,0.00
1,1000,11.50,0.09
2,1000,11.58,0.17
4,1000,11.64,0.34
8,1000,11.79,0.68
16,1000,11.79,1.36
32,1000,11.51,2.78
64,1000,11.63,5.50
128,1000,11.57,11.06
256,1000,11.44,22.37
512,1000,11.79,43.42
1024,1000,12.19,83.98
2048,1000,21.38,95.81
4096,1000,21.49,190.63
8192,1000,33.70,243.11
16384,1000,37.19,440.55
32768,1000,83.56,392.17
65536,640,124.16,527.82
131072,320,144.50,907.10
262144,160,219.19,1195.97
524288,80,303.47,1727.64
1048576,40,549.38,1908.64
2097152,20,1000.51,2096.09
4194304,10,1750.53,2396.02
8388608,5,3400.65,2466.77
16777216,2,7073.60,2371.81
33554432,1,13993.29,2397.89
67108864,1,28210.27,2378.88
134217728,1,53183.54,2523.67
268435456,1,111243.74,2413.04
