#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.36,0.00
1,1000,1.36,0.74
2,1000,1.35,1.48
4,1000,1.36,2.95
8,1000,1.36,5.89
16,1000,1.36,11.77
32,1000,1.39,23.10
64,1000,1.68,38.12
128,1000,1.73,74.14
256,1000,2.00,128.02
512,1000,2.07,247.47
1024,1000,2.26,452.13
2048,1000,2.97,689.72
4096,1000,3.95,1037.07
8192,1000,5.51,1485.53
16384,1000,7.32,2237.84
32768,1000,10.02,3269.37
65536,640,14.53,4510.99
131072,320,23.51,5574.45
262144,160,33.91,7729.56
524288,80,58.13,9018.72
1048576,40,98.91,10601.71
2097152,20,184.83,11346.34
4194304,10,357.09,11745.71
8388608,5,698.77,12004.85
16777216,2,1383.19,12129.33
33554432,1,2761.50,12150.82
67108864,1,5505.27,12189.94
134217728,1,11024.00,12175.05
268435456,1,22103.12,12144.68
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.36,0.00
1,1000,1.36,0.74
2,1000,1.35,1.48
4,1000,1.36,2.95
8,1000,1.36,5.89
16,1000,1.36,11.78
32,1000,1.39,23.07
64,1000,1.67,38.31
128,1000,1.71,74.79
256,1000,1.98,129.05
512,1000,2.07,247.63
1024,1000,2.28,448.74
2048,1000,2.98,688.25
4096,1000,3.91,1047.05
8192,1000,5.46,1499.12
16384,1000,7.25,2260.65
32768,1000,10.08,3250.77
65536,640,14.47,4529.48
131072,320,23.52,5572.00
262144,160,33.60,7802.92
524288,80,55.96,9369.80
1048576,40,98.78,10615.18
2097152,20,185.38,11312.75
4194304,10,355.22,11807.69
8388608,5,698.32,12012.64
16777216,2,1383.84,12123.67
33554432,1,2759.79,12158.32
67108864,1,5512.08,12174.88
134217728,1,11039.37,12158.10
268435456,1,22101.17,12145.76
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.36,0.74
2,1000,1.36,1.48
4,1000,1.36,2.95
8,1000,1.36,5.89
16,1000,1.36,11.75
32,1000,1.38,23.13
64,1000,1.68,38.18
128,1000,1.72,74.46
256,1000,1.98,128.97
512,1000,2.07,247.77
1024,1000,2.27,450.52
2048,1000,2.98,687.25
4096,1000,3.97,1032.87
8192,1000,5.52,1483.52
16384,1000,7.31,2242.09
32768,1000,10.00,3277.84
65536,640,14.49,4523.79
131072,320,23.48,5583.08
262144,160,33.65,7791.19
524288,80,55.96,9369.40
1048576,40,98.81,10611.60
2097152,20,184.74,11352.06
4194304,10,354.74,11823.46
8388608,5,697.78,12021.92
16777216,2,1383.88,12123.36
33554432,1,2757.15,12169.97
67108864,1,5515.46,12167.41
134217728,1,11031.14,12167.16
268435456,1,22101.98,12145.31
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.36,0.00
1,1000,1.36,0.73
2,1000,1.36,1.48
4,1000,1.38,2.89
8,1000,1.37,5.84
16,1000,1.36,11.78
32,1000,1.39,22.96
64,1000,1.69,37.90
128,1000,1.73,74.13
256,1000,2.00,127.91
512,1000,2.07,247.24
1024,1000,2.28,449.27
2048,1000,2.99,685.01
4096,1000,3.91,1047.31
8192,1000,5.49,1492.31
16384,1000,7.24,2261.65
32768,1000,10.13,3234.19
65536,640,14.49,4521.82
131072,320,23.54,5567.48
262144,160,33.63,7793.87
524288,80,58.13,9019.28
1048576,40,99.18,10572.28
2097152,20,184.63,11358.44
4194304,10,367.27,11420.20
8388608,5,702.00,11949.54
16777216,2,1386.74,12098.32
33554432,1,2783.14,12056.34
67108864,1,5545.30,12101.93
134217728,1,11198.10,11985.76
268435456,1,22194.88,12094.48
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.36,0.00
1,1000,1.35,0.74
2,1000,1.35,1.49
4,1000,1.35,2.96
8,1000,1.35,5.93
16,1000,1.35,11.81
32,1000,1.39,23.03
64,1000,1.67,38.25
128,1000,1.72,74.61
256,1000,1.98,129.21
512,1000,2.07,247.93
1024,1000,2.29,446.67
2048,1000,2.96,691.20
4096,1000,3.92,1043.93
8192,1000,5.50,1490.55
16384,1000,7.26,2256.49
32768,1000,9.99,3281.06
65536,640,14.44,4539.11
131072,320,23.51,5574.35
262144,160,33.63,7795.75
524288,80,55.80,9396.24
1048576,40,98.81,10611.56
2097152,20,185.98,11275.94
4194304,10,354.69,11825.27
8388608,5,697.53,12026.16
16777216,2,1384.53,12117.59
33554432,1,2764.82,12136.22
67108864,1,5515.70,12166.88
134217728,1,11040.91,12156.40
268435456,1,22105.79,12143.22
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.36,0.73
2,1000,1.35,1.48
4,1000,1.36,2.95
8,1000,1.36,5.89
16,1000,1.36,11.77
32,1000,1.39,22.99
64,1000,1.69,37.83
128,1000,1.71,74.67
256,1000,1.98,128.98
512,1000,2.06,249.00
1024,1000,2.25,455.74
2048,1000,2.96,691.14
4096,1000,3.93,1041.82
8192,1000,5.52,1484.96
16384,1000,7.29,2247.78
32768,1000,10.00,3275.39
65536,640,14.45,4535.99
131072,320,23.53,5571.32
262144,160,33.61,7799.12
524288,80,55.38,9466.94
1048576,40,98.78,10614.94
2097152,20,184.73,11352.27
4194304,10,355.22,11807.74
8388608,5,697.69,12023.46
16777216,2,1386.06,12104.23
33554432,1,2760.96,12153.16
67108864,1,5508.11,12183.64
134217728,1,11049.02,12147.48
268435456,1,22084.98,12154.66
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.36,0.74
2,1000,1.36,1.47
4,1000,1.36,2.94
8,1000,1.36,5.89
16,1000,1.36,11.76
32,1000,1.39,23.10
64,1000,1.69,37.91
128,1000,1.74,73.69
256,1000,1.99,128.44
512,1000,2.07,246.95
1024,1000,2.30,445.38
2048,1000,2.99,684.55
4096,1000,3.91,1047.06
8192,1000,5.50,1490.60
16384,1000,7.24,2261.95
32768,1000,10.09,3249.05
65536,640,14.49,4523.21
131072,320,23.55,5564.62
262144,160,33.93,7726.07
524288,80,55.74,9405.53
1048576,40,98.91,10601.55
2097152,20,184.65,11357.61
4194304,10,355.15,11810.09
8388608,5,698.10,12016.28
16777216,2,1387.51,12091.63
33554432,1,2766.50,12128.83
67108864,1,5509.65,12180.24
134217728,1,11050.55,12145.80
268435456,1,22089.65,12152.09
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.36,0.74
2,1000,1.36,1.47
4,1000,1.36,2.95
8,1000,1.36,5.88
16,1000,1.36,11.76
32,1000,1.39,22.98
64,1000,1.67,38.31
128,1000,1.72,74.59
256,1000,1.98,129.31
512,1000,2.06,249.00
1024,1000,2.27,451.41
2048,1000,2.96,690.74
4096,1000,3.95,1036.08
8192,1000,5.53,1482.64
16384,1000,7.31,2241.46
32768,1000,10.00,3276.41
65536,640,14.50,4519.75
131072,320,23.55,5565.60
262144,160,33.58,7806.29
524288,80,55.42,9460.76
1048576,40,98.83,10610.06
2097152,20,185.96,11277.40
4194304,10,355.21,11807.97
8388608,5,697.79,12021.62
16777216,2,1382.51,12135.34
33554432,1,2758.11,12165.73
67108864,1,5509.78,12179.96
