#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,1.365,0.0,0.0,0.005
1,1000.0,1.359,0.737,0.005,0.005
2,1000.0,1.355,1.479,0.01,0.005
4,1000.0,1.361,2.942,0.035,0.015
8,1000.0,1.36,5.885,0.045,0.01
16,1000.0,1.359,11.769,0.03,0.005
32,1000.0,1.389,23.042,0.085,0.005
64,1000.0,1.682,38.067,0.24,0.01
128,1000.0,1.724,74.324,0.55,0.015
256,1000.0,2.147,122.96,29.045,0.805
512,1000.0,2.069,247.66,1.235,0.01
1024,1000.0,2.278,449.323,6.625,0.03
2048,1000.0,2.975,688.224,3.325,0.015
4096,1000.0,3.928,1042.552,7.22,0.03
8192,1000.0,5.502,1488.96,8.24,0.035
16384,1000.0,7.276,2251.684,12.4,0.04
32768,1000.0,10.048,3261.37,23.435,0.07
65536,640.0,14.478,4526.845,15.87,0.05
131072,320.0,23.524,5571.62,9.23,0.035
262144,160.0,33.706,7777.69,41.185,0.18
524288,80.0,56.467,9288.467,224.11,1.375
1048576,40.0,98.861,10606.484,22.61,0.21
2097152,20.0,185.161,11326.165,41.25,0.675
4194304,10.0,356.656,11761.28,202.535,6.29
8388608,5.0,698.415,12010.968,38.31,2.235
16777216,2.0,1384.859,12114.763,21.855,2.5
33554432,1.0,2762.756,12145.367,58.455,13.365
67108864,1.0,5514.643,12169.259,44.005,20.015
134217728,1.0,11055.35,12140.752,94.645,87.05
268435456,1.0,22103.295,12144.616,32.21,58.795
