#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.49,0.00
1,1000,0.49,2.05
2,1000,0.48,4.15
4,1000,0.50,8.04
8,1000,0.47,16.85
16,1000,0.49,32.80
32,1000,0.64,49.85
64,1000,0.68,93.98
128,1000,1.18,108.70
256,1000,1.19,215.20
512,1000,1.32,388.38
1024,1000,1.64,623.27
2048,1000,2.30,890.01
4096,1000,3.22,1272.97
8192,1000,4.94,1658.68
16384,1000,7.65,2143.01
32768,1000,13.81,2372.06
65536,640,25.46,2573.68
131072,320,46.86,2797.26
262144,160,17.87,14672.68
524288,80,32.22,16270.96
1048576,40,74.67,14042.93
2097152,20,186.86,11223.07
4194304,10,385.97,10866.80
8388608,5,890.96,9415.26
16777216,2,2832.43,5923.25
33554432,1,6636.32,5056.18
67108864,1,14282.24,4698.76
134217728,1,26072.60,5147.85
268435456,1,52236.03,5138.89
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.47,0.00
1,1000,0.45,2.21
2,1000,0.45,4.46
4,1000,0.45,8.97
8,1000,0.45,17.81
16,1000,0.46,35.11
32,1000,0.61,52.78
64,1000,0.57,112.31
128,1000,1.09,117.69
256,1000,1.13,225.85
512,1000,1.27,402.92
1024,1000,1.57,651.41
2048,1000,2.19,935.07
4096,1000,3.05,1345.09
8192,1000,4.61,1777.27
16384,1000,7.06,2319.43
32768,1000,13.04,2512.20
65536,640,23.37,2803.69
131072,320,43.05,3044.94
262144,160,15.53,16881.08
524288,80,28.13,18636.94
1048576,40,66.83,15690.61
2097152,20,170.99,12265.12
4194304,10,360.26,11642.31
8388608,5,903.57,9283.88
16777216,2,2711.56,6187.29
33554432,1,6109.40,5492.26
67108864,1,12041.23,5573.26
134217728,1,24637.60,5447.68
268435456,1,47979.48,5594.80
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.42,2.37
2,1000,0.42,4.74
4,1000,0.42,9.55
8,1000,0.42,19.03
16,1000,0.42,37.87
32,1000,0.57,55.72
64,1000,0.59,107.69
128,1000,1.06,120.96
256,1000,1.14,224.73
512,1000,1.22,418.05
1024,1000,1.48,692.24
2048,1000,2.10,976.79
4096,1000,2.96,1382.63
8192,1000,4.59,1783.27
16384,1000,6.94,2361.94
32768,1000,12.47,2626.84
65536,640,22.36,2931.36
131072,320,41.80,3135.65
262144,160,14.58,17975.80
524288,80,25.72,20380.68
1048576,40,59.93,17496.31
2097152,20,155.37,13497.36
4194304,10,319.65,13121.48
8388608,5,720.88,11636.65
16777216,2,2185.72,7675.82
33554432,1,5700.02,5886.72
67108864,1,11712.41,5729.72
134217728,1,23457.55,5721.73
268435456,1,52564.90,5106.74
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.49,0.00
1,1000,0.48,2.08
2,1000,0.48,4.19
4,1000,0.49,8.10
8,1000,0.48,16.67
16,1000,0.49,32.73
32,1000,0.64,50.03
64,1000,0.62,102.72
128,1000,1.15,111.16
256,1000,1.18,216.35
512,1000,1.33,383.97
1024,1000,1.60,639.30
2048,1000,2.30,891.49
4096,1000,3.23,1267.54
8192,1000,4.88,1677.28
16384,1000,7.49,2186.22
32768,1000,13.37,2450.99
65536,640,24.11,2718.22
131072,320,44.81,2924.92
262144,160,17.84,14693.31
524288,80,31.84,16467.40
1048576,40,74.01,14168.07
2097152,20,184.60,11360.23
4194304,10,382.41,10968.06
8388608,5,876.38,9571.83
16777216,2,2831.69,5924.80
33554432,1,6441.48,5209.12
67108864,1,13031.41,5149.78
134217728,1,25882.28,5185.70
268435456,1,53975.62,4973.27
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.51,0.00
1,1000,0.49,2.05
2,1000,0.48,4.13
4,1000,0.48,8.36
8,1000,0.51,15.70
16,1000,0.48,33.05
32,1000,0.67,47.93
64,1000,0.67,96.23
128,1000,1.17,109.10
256,1000,1.18,216.13
512,1000,1.32,386.97
1024,1000,1.61,635.40
2048,1000,2.32,882.04
4096,1000,3.23,1266.68
8192,1000,4.97,1647.96
16384,1000,7.71,2126.15
32768,1000,13.92,2354.61
65536,640,25.65,2555.09
131072,320,46.63,2811.18
262144,160,17.58,14911.65
524288,80,31.91,16432.52
1048576,40,72.35,14494.01
2097152,20,186.72,11231.58
4194304,10,384.48,10909.09
8388608,5,881.44,9516.94
16777216,2,2823.10,5942.83
33554432,1,6552.14,5121.14
67108864,1,13110.21,5118.82
134217728,1,25958.70,5170.43
268435456,1,54444.15,4930.47
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.50,0.00
1,1000,0.48,2.07
2,1000,0.48,4.20
4,1000,0.47,8.52
8,1000,0.48,16.58
16,1000,0.47,33.98
32,1000,0.67,47.94
64,1000,0.63,101.98
128,1000,1.15,111.67
256,1000,1.19,214.95
512,1000,1.33,385.30
1024,1000,1.64,622.77
2048,1000,2.30,889.27
4096,1000,3.22,1273.94
8192,1000,4.92,1663.41
16384,1000,7.63,2147.89
32768,1000,13.81,2373.19
65536,640,25.20,2600.50
131072,320,47.63,2751.65
262144,160,17.75,14767.75
524288,80,31.70,16539.64
1048576,40,75.51,13886.75
2097152,20,186.44,11248.58
4194304,10,385.22,10888.20
8388608,5,923.67,9081.86
16777216,2,2801.05,5989.62
33554432,1,6508.68,5155.33
67108864,1,13108.10,5119.65
134217728,1,25955.73,5171.02
268435456,1,57083.58,4702.50
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.52,0.00
1,1000,0.48,2.07
2,1000,0.49,4.07
4,1000,0.47,8.51
8,1000,0.47,16.88
16,1000,0.48,33.17
32,1000,0.62,51.24
64,1000,0.64,100.57
128,1000,1.15,111.24
256,1000,1.20,213.09
512,1000,1.35,379.96
1024,1000,1.61,634.59
2048,1000,2.30,891.60
4096,1000,3.18,1288.62
8192,1000,4.85,1687.76
16384,1000,7.52,2177.57
32768,1000,13.39,2447.11
65536,640,24.60,2663.56
131072,320,45.71,2867.45
262144,160,17.67,14839.03
524288,80,31.52,16635.20
1048576,40,72.70,14422.62
2097152,20,184.89,11342.89
4194304,10,383.66,10932.41
8388608,5,895.81,9364.25
16777216,2,2875.84,5833.85
33554432,1,6454.54,5198.58
67108864,1,12993.09,5164.97
134217728,1,25763.09,5209.69
268435456,1,59726.15,4494.44
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.48,0.00
1,1000,0.45,2.25
2,1000,0.44,4.58
4,1000,0.44,9.05
8,1000,0.45,17.75
16,1000,0.43,36.86
32,1000,0.61,52.89
64,1000,0.61,105.08
128,1000,1.08,118.69
256,1000,1.15,221.68
512,1000,1.28,399.08
1024,1000,1.49,687.48
2048,1000,2.23,919.14
4096,1000,3.08,1331.95
8192,1000,4.77,1715.78
16384,1000,7.33,2234.43
32768,1000,13.37,2451.48
65536,640,24.86,2636.55
131072,320,47.80,2742.20
262144,160,14.67,17868.30
524288,80,25.80,20321.37
1048576,40,58.79,17834.93
2097152,20,161.49,12986.13
4194304,10,340.84,12305.89
8388608,5,861.61,9735.97
16777216,2,2682.23,6254.94
33554432,1,5988.56,5603.08
67108864,1,12129.51,5532.69
134217728,1,23894.83,5617.02
268435456,1,56489.01,4751.99
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.49,0.00
1,1000,0.49,2.05
2,1000,0.48,4.13
4,1000,0.49,8.14
8,1000,0.50,15.91
16,1000,0.48,33.03
32,1000,0.66,48.84
64,1000,0.68,94.19
128,1000,1.13,113.29
256,1000,1.18,216.31
512,1000,1.34,382.94
1024,1000,1.57,650.22
2048,1000,2.34,875.27
4096,1000,3.20,1278.62
8192,1000,4.84,1692.53
16384,1000,7.45,2200.07
32768,1000,13.03,2515.54
65536,640,22.74,2881.69
131072,320,45.24,2897.53
262144,160,14.86,17645.09
524288,80,26.39,19869.68
1048576,40,60.25,17403.54
2097152,20,160.67,13052.31
4194304,10,336.31,12471.36
8388608,5,828.23,10128.36
16777216,2,2307.86,7269.60
33554432,1,5744.44,5841.20
67108864,1,11719.57,5726.22
134217728,1,24304.26,5522.40
268435456,1,54820.50,4896.63
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.49,0.00
1,1000,0.48,2.07
2,1000,0.50,4.02
4,1000,0.49,8.12
8,1000,0.48,16.60
16,1000,0.48,33.01
32,1000,0.64,49.63
64,1000,0.64,100.78
128,1000,1.15,111.48
256,1000,1.18,216.45
512,1000,1.31,390.67
1024,1000,1.63,629.28
2048,1000,2.36,868.50
4096,1000,3.21,1277.96
8192,1000,4.97,1646.77
16384,1000,7.62,2149.22
32768,1000,13.75,2383.12
65536,640,25.32,2588.63
131072,320,47.62,2752.28
262144,160,17.63,14871.53
524288,80,31.60,16589.18
1048576,40,72.40,14484.03
2097152,20,187.89,11161.56
4194304,10,385.80,10871.82
8388608,5,889.29,9432.95
16777216,2,2810.36,5969.78
33554432,1,6590.06,5091.68
67108864,1,13192.22,5087.00
134217728,1,27134.81,4946.33
268435456,1,60937.36,4405.11
