#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.486,0.0,0.0,0.05
1,1000.0,0.471,2.127,0.16,0.035
2,1000.0,0.47,4.267,0.36,0.04
4,1000.0,0.47,8.536,0.755,0.04
8,1000.0,0.471,16.978,1.665,0.045
16,1000.0,0.468,34.161,2.57,0.035
32,1000.0,0.633,50.685,3.895,0.05
64,1000.0,0.633,101.553,9.165,0.055
128,1000.0,1.131,113.398,6.13,0.06
256,1000.0,1.172,218.074,6.38,0.035
512,1000.0,1.307,391.824,19.045,0.065
1024,1000.0,1.584,646.596,34.735,0.08
2048,1000.0,2.274,901.918,54.145,0.13
4096,1000.0,3.158,1298.6,57.975,0.135
8192,1000.0,4.834,1695.071,68.25,0.19
16384,1000.0,7.44,2204.593,117.895,0.385
32768,1000.0,13.396,2448.714,136.115,0.725
65536,640.0,24.367,2695.297,188.135,1.645
131072,320.0,45.715,2872.506,196.725,3.0
262144,160.0,16.598,15912.622,1651.56,1.645
524288,80.0,29.683,17814.357,2054.86,3.25
1048576,40.0,68.744,15392.38,1974.09,8.36
2097152,20.0,176.592,11936.883,1167.9,16.26
4194304,10.0,366.46,11497.742,1127.34,33.16
8388608,5.0,867.184,9716.795,1277.395,101.395
16777216,2.0,2686.184,6297.178,920.985,345.06
33554432,1.0,6272.564,5365.529,415.27,468.15
67108864,1.0,12731.999,5290.087,515.48,1284.915
134217728,1.0,25306.145,5313.985,387.7,1838.63
268435456,1.0,55025.678,4899.484,594.845,6478.94
