#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.93,0.00
1,1000,9.02,0.11
2,1000,8.98,0.22
4,1000,8.97,0.45
8,1000,8.98,0.89
16,1000,8.99,1.78
32,1000,8.99,3.56
64,1000,8.97,7.14
128,1000,9.27,13.81
256,1000,9.37,27.33
512,1000,9.37,54.65
1024,1000,10.82,94.62
2048,1000,9.95,205.83
4096,1000,12.15,337.12
8192,1000,12.68,646.26
16384,1000,17.59,931.47
32768,1000,27.85,1176.76
65536,640,63.91,1025.39
131072,320,94.21,1391.25
262144,160,142.69,1837.17
524288,80,220.52,2377.54
1048576,40,379.15,2765.58
2097152,20,709.73,2954.85
4194304,10,1379.67,3040.07
8388608,5,2796.98,2999.17
16777216,2,5610.56,2990.30
33554432,1,11281.85,2974.20
67108864,1,22217.11,3020.59
134217728,1,45145.82,2972.98
268435456,1,88920.84,3018.81
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.31,0.00
1,1000,9.31,0.11
2,1000,9.29,0.22
4,1000,9.15,0.44
8,1000,9.16,0.87
16,1000,9.12,1.75
32,1000,9.05,3.54
64,1000,9.23,6.93
128,1000,9.22,13.88
256,1000,9.53,26.87
512,1000,9.53,53.72
1024,1000,10.78,95.03
2048,1000,10.20,200.75
4096,1000,12.13,337.60
8192,1000,12.74,642.86
16384,1000,17.40,941.60
32768,1000,27.32,1199.22
65536,640,64.28,1019.47
131072,320,90.84,1442.83
262144,160,139.69,1876.66
524288,80,217.77,2407.48
1048576,40,376.21,2787.22
2097152,20,704.20,2978.06
4194304,10,1373.35,3054.08
8388608,5,2672.20,3139.22
16777216,2,5381.89,3117.34
33554432,1,10752.55,3120.60
67108864,1,22013.86,3048.48
134217728,1,48110.46,2789.78
268435456,1,96105.77,2793.13
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.80,0.00
1,1000,9.89,0.10
2,1000,9.88,0.20
4,1000,9.87,0.41
8,1000,9.90,0.81
16,1000,9.86,1.62
32,1000,9.93,3.22
64,1000,9.92,6.45
128,1000,10.19,12.57
256,1000,10.21,25.08
512,1000,10.27,49.85
1024,1000,11.78,86.89
2048,1000,10.81,189.42
4096,1000,13.10,312.70
8192,1000,13.65,600.11
16384,1000,18.73,874.52
32768,1000,29.60,1106.88
65536,640,67.99,963.90
131072,320,97.41,1345.62
262144,160,149.11,1758.10
524288,80,228.61,2293.35
1048576,40,395.84,2649.00
2097152,20,744.42,2817.15
4194304,10,1465.79,2861.46
8388608,5,2925.61,2867.31
16777216,2,5875.28,2855.56
33554432,1,11762.43,2852.68
67108864,1,23426.54,2864.65
134217728,1,46588.18,2880.94
268435456,1,93443.56,2872.70
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.90,0.00
1,1000,10.08,0.10
2,1000,10.02,0.20
4,1000,10.03,0.40
8,1000,10.07,0.79
16,1000,9.80,1.63
32,1000,9.81,3.26
64,1000,9.83,6.51
128,1000,10.17,12.58
256,1000,10.14,25.26
512,1000,10.26,49.91
1024,1000,11.53,88.84
2048,1000,10.79,189.72
4096,1000,12.87,318.35
8192,1000,13.85,591.47
16384,1000,18.57,882.16
32768,1000,29.28,1119.31
65536,640,68.58,955.64
131072,320,98.17,1335.15
262144,160,150.41,1742.86
524288,80,230.41,2275.49
1048576,40,396.68,2643.41
2097152,20,748.26,2802.71
4194304,10,1477.27,2839.23
8388608,5,2932.65,2860.42
16777216,2,5930.30,2829.07
33554432,1,11739.84,2858.17
67108864,1,23512.79,2854.14
134217728,1,46810.89,2867.23
268435456,1,93112.63,2882.91
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.67,0.00
1,1000,9.77,0.10
2,1000,9.78,0.20
4,1000,9.70,0.41
8,1000,9.82,0.81
16,1000,9.74,1.64
32,1000,9.77,3.27
64,1000,9.84,6.50
128,1000,10.12,12.64
256,1000,10.19,25.12
512,1000,10.19,50.26
1024,1000,11.69,87.61
2048,1000,10.78,189.93
4096,1000,13.01,314.81
8192,1000,13.67,599.44
16384,1000,18.76,873.39
32768,1000,30.46,1075.60
65536,640,70.32,932.00
131072,320,100.51,1304.11
262144,160,153.12,1712.04
524288,80,234.71,2233.78
1048576,40,406.60,2578.89
2097152,20,760.28,2758.39
4194304,10,1495.76,2804.12
8388608,5,2966.97,2827.33
16777216,2,5974.25,2808.25
33554432,1,11849.83,2831.64
67108864,1,23928.02,2804.61
134217728,1,47505.52,2825.31
268435456,1,96010.41,2795.90
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.50,0.00
1,1000,9.60,0.10
2,1000,9.57,0.21
4,1000,9.60,0.42
8,1000,9.57,0.84
16,1000,9.56,1.67
32,1000,9.55,3.35
64,1000,9.63,6.65
128,1000,9.89,12.94
256,1000,9.93,25.79
512,1000,9.98,51.29
1024,1000,11.51,88.98
2048,1000,10.63,192.74
4096,1000,12.79,320.17
8192,1000,13.54,604.84
16384,1000,18.56,882.57
32768,1000,30.39,1078.11
65536,640,70.61,928.14
131072,320,99.99,1310.91
262144,160,152.82,1715.40
524288,80,233.16,2248.62
1048576,40,404.61,2591.56
2097152,20,759.62,2760.78
4194304,10,1479.24,2835.45
8388608,5,2957.05,2836.82
16777216,2,5941.55,2823.71
33554432,1,11934.59,2811.53
67108864,1,23680.74,2833.90
134217728,1,47573.80,2821.25
268435456,1,95551.39,2809.33
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.19,0.00
1,1000,9.37,0.11
2,1000,9.25,0.22
4,1000,9.29,0.43
8,1000,9.20,0.87
16,1000,9.22,1.74
32,1000,9.22,3.47
64,1000,9.31,6.87
128,1000,9.52,13.44
256,1000,9.61,26.64
512,1000,9.65,53.07
1024,1000,10.85,94.40
2048,1000,10.19,201.07
4096,1000,12.13,337.66
8192,1000,12.94,633.13
16384,1000,17.70,925.72
32768,1000,28.42,1152.85
65536,640,64.99,1008.38
131072,320,92.47,1417.44
262144,160,139.14,1884.03
524288,80,212.38,2468.61
1048576,40,366.36,2862.11
2097152,20,690.61,3036.69
4194304,10,1361.77,3080.04
8388608,5,2796.79,2999.37
16777216,2,5663.74,2962.22
33554432,1,11326.56,2962.45
67108864,1,22609.20,2968.21
134217728,1,44939.75,2986.61
268435456,1,90433.75,2968.31
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.92,0.00
1,1000,8.97,0.11
2,1000,8.96,0.22
4,1000,8.84,0.45
8,1000,8.78,0.91
16,1000,8.79,1.82
32,1000,8.73,3.67
64,1000,8.77,7.30
128,1000,9.20,13.91
256,1000,9.21,27.79
512,1000,9.18,55.76
1024,1000,10.70,95.70
2048,1000,9.81,208.82
4096,1000,11.91,343.91
8192,1000,12.45,657.96
16384,1000,17.40,941.49
32768,1000,27.96,1172.14
65536,640,65.45,1001.25
131072,320,92.15,1422.41
262144,160,138.98,1886.25
524288,80,214.46,2444.66
1048576,40,369.10,2840.93
2097152,20,694.29,3020.59
4194304,10,1375.35,3049.64
8388608,5,2768.97,3029.50
16777216,2,5513.82,3042.76
33554432,1,10779.61,3112.77
67108864,1,21463.91,3126.59
134217728,1,48118.64,2789.31
268435456,1,102567.05,2617.17
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.93,0.00
1,1000,10.03,0.10
2,1000,10.05,0.20
4,1000,10.07,0.40
8,1000,10.03,0.80
16,1000,10.05,1.59
32,1000,10.06,3.18
64,1000,10.08,6.35
128,1000,10.37,12.35
256,1000,10.38,24.65
512,1000,10.44,49.02
1024,1000,11.58,88.44
2048,1000,10.99,186.42
4096,1000,12.97,315.91
8192,1000,13.90,589.33
16384,1000,18.63,879.38
32768,1000,30.44,1076.48
65536,640,69.78,939.20
131072,320,100.08,1309.68
262144,160,152.84,1715.17
524288,80,233.92,2241.31
1048576,40,404.60,2591.64
2097152,20,760.23,2758.58
4194304,10,1490.91,2813.25
8388608,5,2969.51,2824.91
16777216,2,6038.76,2778.26
33554432,1,11917.19,2815.63
67108864,1,23823.63,2816.90
134217728,1,47822.81,2806.56
268435456,1,102866.81,2609.54
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.77,0.00
1,1000,9.85,0.10
2,1000,9.81,0.20
4,1000,9.85,0.41
8,1000,9.81,0.82
16,1000,9.80,1.63
32,1000,9.78,3.27
64,1000,9.89,6.47
128,1000,10.12,12.65
256,1000,10.22,25.05
512,1000,10.25,49.93
1024,1000,11.52,88.91
2048,1000,10.92,187.53
4096,1000,12.84,319.01
8192,1000,13.72,597.12
16384,1000,18.69,876.41
32768,1000,30.17,1086.23
65536,640,69.87,937.92
131072,320,102.05,1284.42
262144,160,152.97,1713.64
524288,80,233.91,2241.42
1048576,40,404.27,2593.78
2097152,20,754.52,2779.46
4194304,10,1482.77,2828.70
8388608,5,2938.83,2854.40
16777216,2,6008.01,2792.47
33554432,1,11870.26,2826.76
67108864,1,23654.02,2837.10
134217728,1,47280.39,2838.76
268435456,1,102061.60,2630.13
