#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,9.492,0.0,0.0,0.505
1,1000.0,9.589,0.104,0.005,0.555
2,1000.0,9.559,0.209,0.01,0.545
4,1000.0,9.537,0.422,0.025,0.615
8,1000.0,9.532,0.841,0.06,0.645
16,1000.0,9.493,1.687,0.115,0.63
32,1000.0,9.489,3.379,0.245,0.665
64,1000.0,9.547,6.717,0.475,0.655
128,1000.0,9.807,13.077,0.78,0.585
256,1000.0,9.879,25.958,1.57,0.585
512,1000.0,9.912,51.746,3.37,0.63
1024,1000.0,11.276,90.942,4.405,0.54
2048,1000.0,10.507,195.223,11.2,0.59
4096,1000.0,12.59,325.724,15.605,0.595
8192,1000.0,13.314,616.252,34.315,0.725
16384,1000.0,18.203,900.871,34.105,0.68
32768,1000.0,29.189,1124.358,61.81,1.57
65536,640.0,67.578,971.129,48.625,3.35
131072,320.0,96.788,1356.382,79.205,5.605
262144,160.0,147.177,1784.132,87.105,7.07
524288,80.0,225.985,2323.226,117.415,11.165
1048576,40.0,390.342,2690.412,141.61,20.12
2097152,20.0,732.616,2866.726,139.15,34.835
4194304,10.0,1438.188,2920.604,137.96,66.995
8388608,5.0,2872.556,2923.845,157.155,148.655
16777216,2.0,5793.816,2899.994,169.54,328.435
33554432,1.0,11521.471,2916.643,154.535,591.02
67108864,1.0,23032.982,2917.517,160.99,1232.055
134217728,1.0,46989.626,2857.873,98.65,1589.445
268435456,1.0,96107.381,2799.793,204.635,6972.985
