#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.60,0.00
1,1000,0.62,1.62
2,1000,0.62,3.21
4,1000,0.63,6.39
8,1000,0.62,12.86
16,1000,0.67,23.74
32,1000,0.72,44.62
64,1000,0.80,80.22
128,1000,0.99,129.66
256,1000,1.16,220.73
512,1000,1.39,369.67
1024,1000,1.55,659.25
2048,1000,1.90,1076.16
4096,1000,2.93,1396.87
8192,1000,3.60,2278.29
16384,1000,4.27,3840.84
32768,1000,5.49,5964.33
65536,640,7.69,8518.26
131072,320,12.33,10630.59
262144,160,21.85,11995.95
524288,80,43.39,12081.94
1048576,40,112.39,9330.15
2097152,20,255.44,8210.10
4194304,10,534.85,7842.02
8388608,5,1611.19,5206.48
16777216,2,4074.77,4117.35
33554432,1,9417.94,3562.82
67108864,1,18998.62,3532.30
134217728,1,36648.58,3662.29
268435456,1,72491.93,3702.97
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.57,0.00
1,1000,0.59,1.68
2,1000,0.59,3.40
4,1000,0.58,6.89
8,1000,0.59,13.62
16,1000,0.63,25.20
32,1000,0.69,46.51
64,1000,0.76,84.41
128,1000,0.86,148.76
256,1000,1.11,231.37
512,1000,1.30,392.35
1024,1000,1.47,694.92
2048,1000,1.87,1093.87
4096,1000,2.67,1536.89
8192,1000,3.25,2524.16
16384,1000,3.94,4156.97
32768,1000,4.84,6769.24
65536,640,6.62,9896.13
131072,320,10.58,12390.89
262144,160,19.14,13693.62
524288,80,44.05,11902.52
1048576,40,107.42,9761.71
2097152,20,232.93,9003.42
4194304,10,518.84,8084.01
8388608,5,1775.94,4723.46
16777216,2,4458.93,3762.61
33554432,1,9290.58,3611.66
67108864,1,18345.79,3658.00
134217728,1,36518.86,3675.30
268435456,1,72269.73,3714.36
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.59,0.00
1,1000,0.65,1.53
2,1000,0.64,3.11
4,1000,0.62,6.42
8,1000,0.65,12.24
16,1000,0.70,22.72
32,1000,0.78,41.11
64,1000,0.86,74.14
128,1000,1.00,128.58
256,1000,1.23,207.76
512,1000,1.41,362.20
1024,1000,1.59,645.11
2048,1000,1.96,1045.95
4096,1000,2.95,1390.05
8192,1000,3.65,2243.98
16384,1000,4.32,3793.35
32768,1000,5.54,5911.34
65536,640,7.72,8487.60
131072,320,12.30,10653.81
262144,160,21.62,12123.90
524288,80,47.74,10981.96
1048576,40,118.95,8814.91
2097152,20,263.04,7972.77
4194304,10,545.09,7694.65
8388608,5,1600.56,5241.04
16777216,2,4618.96,3632.25
33554432,1,9801.05,3423.56
67108864,1,19466.66,3447.37
134217728,1,38202.69,3513.31
268435456,1,75528.43,3554.10
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.60,0.00
1,1000,0.62,1.62
2,1000,0.63,3.20
4,1000,0.65,6.19
8,1000,0.63,12.65
16,1000,0.66,24.18
32,1000,0.71,45.23
64,1000,0.82,77.83
128,1000,0.98,130.81
256,1000,1.19,214.76
512,1000,1.39,367.91
1024,1000,1.59,644.85
2048,1000,1.91,1071.14
4096,1000,2.98,1375.43
8192,1000,3.63,2257.44
16384,1000,3.97,4131.47
32768,1000,5.53,5921.94
65536,640,7.50,8742.37
131072,320,12.32,10635.73
262144,160,21.85,11997.75
524288,80,47.11,11127.85
1048576,40,121.97,8597.07
2097152,20,268.60,7807.82
4194304,10,543.14,7722.33
8388608,5,1572.95,5333.04
16777216,2,4624.28,3628.07
33554432,1,9817.01,3417.99
67108864,1,19392.97,3460.47
134217728,1,38612.30,3476.04
268435456,1,76339.00,3516.36
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.59,0.00
1,1000,0.63,1.60
2,1000,0.62,3.22
4,1000,0.62,6.41
8,1000,0.62,12.81
16,1000,0.67,23.91
32,1000,0.73,44.02
64,1000,0.80,79.60
128,1000,0.96,132.89
256,1000,1.20,214.17
512,1000,1.38,372.18
1024,1000,1.59,644.10
2048,1000,2.03,1008.74
4096,1000,2.96,1384.25
8192,1000,3.76,2181.21
16384,1000,4.45,3684.77
32768,1000,5.65,5801.10
65536,640,7.57,8656.91
131072,320,12.49,10496.12
262144,160,21.57,12151.77
524288,80,45.48,11527.68
1048576,40,122.98,8526.56
2097152,20,264.54,7927.56
4194304,10,544.28,7706.12
8388608,5,1607.19,5219.41
16777216,2,4502.64,3726.09
33554432,1,9665.36,3471.62
67108864,1,19242.13,3487.60
134217728,1,38217.03,3511.99
268435456,1,75566.20,3552.32
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.62,0.00
1,1000,0.62,1.60
2,1000,0.62,3.21
4,1000,0.62,6.47
8,1000,0.63,12.71
16,1000,0.68,23.58
32,1000,0.74,43.43
64,1000,0.84,75.98
128,1000,1.00,128.33
256,1000,1.15,221.82
512,1000,1.38,369.89
1024,1000,1.50,682.10
2048,1000,2.00,1021.51
4096,1000,2.99,1369.97
8192,1000,3.83,2136.40
16384,1000,4.24,3859.94
32768,1000,5.45,6011.96
65536,640,7.85,8345.69
131072,320,12.34,10625.76
262144,160,21.88,11978.84
524288,80,46.75,11215.28
1048576,40,124.33,8433.96
2097152,20,267.06,7852.64
4194304,10,545.37,7690.72
8388608,5,1595.40,5258.01
16777216,2,4571.21,3670.19
33554432,1,9727.72,3449.36
67108864,1,19355.48,3467.18
134217728,1,38400.37,3495.22
268435456,1,76932.03,3489.25
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.59,0.00
1,1000,0.63,1.60
2,1000,0.60,3.36
4,1000,0.63,6.31
8,1000,0.62,12.89
16,1000,0.66,24.12
32,1000,0.72,44.51
64,1000,0.80,80.45
128,1000,1.01,127.18
256,1000,1.15,221.83
512,1000,1.32,387.45
1024,1000,1.53,669.24
2048,1000,1.98,1036.80
4096,1000,2.88,1422.33
8192,1000,3.57,2296.54
16384,1000,4.08,4020.50
32768,1000,5.47,5986.66
65536,640,7.14,9183.71
131072,320,11.57,11330.29
262144,160,20.84,12579.88
524288,80,47.79,10970.10
1048576,40,116.40,9008.67
2097152,20,254.88,8228.04
4194304,10,538.13,7794.20
8388608,5,1562.88,5367.42
16777216,2,4455.52,3765.49
33554432,1,8677.18,3866.97
67108864,1,18281.06,3670.95
134217728,1,36442.04,3683.05
268435456,1,71730.93,3742.26
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.57,0.00
1,1000,0.60,1.67
2,1000,0.60,3.32
4,1000,0.58,6.84
8,1000,0.58,13.71
16,1000,0.61,26.05
32,1000,0.69,46.55
64,1000,0.76,83.67
128,1000,0.94,136.13
256,1000,1.06,241.94
512,1000,1.29,396.62
1024,1000,1.47,697.58
2048,1000,1.90,1078.48
4096,1000,2.64,1553.22
8192,1000,3.37,2428.81
16384,1000,4.03,4068.19
32768,1000,4.97,6594.44
65536,640,6.64,9867.49
131072,320,10.84,12087.79
262144,160,18.66,14050.07
524288,80,38.97,13453.63
1048576,40,105.34,9954.08
2097152,20,232.66,9013.62
4194304,10,478.98,8756.80
8388608,5,1624.86,5162.67
16777216,2,4373.44,3836.16
33554432,1,9173.30,3657.84
67108864,1,18153.04,3696.84
134217728,1,36071.88,3720.84
268435456,1,70088.28,3829.96
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.57,0.00
1,1000,0.61,1.65
2,1000,0.60,3.36
4,1000,0.60,6.63
8,1000,0.61,13.21
16,1000,0.66,24.07
32,1000,0.71,45.30
64,1000,0.76,84.47
128,1000,0.97,131.62
256,1000,1.12,228.14
512,1000,1.32,388.34
1024,1000,1.51,680.39
2048,1000,1.82,1126.34
4096,1000,2.88,1422.05
8192,1000,3.62,2261.36
16384,1000,4.07,4028.80
32768,1000,5.23,6259.59
65536,640,7.67,8549.50
131072,320,12.38,10589.01
262144,160,22.16,11830.44
524288,80,48.91,10719.65
1048576,40,116.43,9006.31
2097152,20,258.08,8126.01
4194304,10,519.78,8069.45
8388608,5,1577.14,5318.89
16777216,2,4596.08,3650.33
33554432,1,9715.20,3453.81
67108864,1,19303.94,3476.43
134217728,1,38332.31,3501.43
268435456,1,76992.71,3486.50
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.62,0.00
1,1000,0.63,1.58
2,1000,0.63,3.19
4,1000,0.64,6.30
8,1000,0.64,12.53
16,1000,0.69,23.32
32,1000,0.76,41.93
64,1000,0.84,75.82
128,1000,1.09,117.74
256,1000,1.21,212.37
512,1000,1.37,373.35
1024,1000,1.62,632.63
2048,1000,1.87,1095.15
4096,1000,3.20,1279.95
8192,1000,3.55,2307.63
16384,1000,4.12,3972.26
32768,1000,5.43,6039.76
65536,640,7.82,8376.37
131072,320,12.07,10862.88
262144,160,21.56,12161.31
524288,80,45.83,11439.55
1048576,40,124.82,8400.46
2097152,20,267.88,7828.75
4194304,10,544.84,7698.24
8388608,5,1565.26,5359.23
16777216,2,4561.72,3677.82
33554432,1,9816.51,3418.16
67108864,1,19280.19,3480.72
134217728,1,38247.92,3509.15
268435456,1,79525.38,3375.47
