#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.592,0.0,0.0,0.025
1,1000.0,0.62,1.615,0.075,0.03
2,1000.0,0.615,3.258,0.145,0.025
4,1000.0,0.617,6.485,0.35,0.035
8,1000.0,0.619,12.923,0.735,0.035
16,1000.0,0.663,24.089,1.665,0.045
32,1000.0,0.725,44.321,2.72,0.045
64,1000.0,0.804,79.659,5.165,0.05
128,1000.0,0.98,131.17,15.51,0.115
256,1000.0,1.158,221.489,17.09,0.085
512,1000.0,1.355,377.996,17.21,0.06
1024,1000.0,1.542,665.017,32.475,0.075
2048,1000.0,1.924,1065.414,58.8,0.105
4096,1000.0,2.908,1413.101,136.635,0.28
8192,1000.0,3.583,2291.582,193.88,0.29
16384,1000.0,4.149,3955.709,236.1,0.255
32768,1000.0,5.36,6126.036,484.07,0.405
65536,640.0,7.422,8862.403,775.22,0.615
131072,320.0,11.922,11030.287,947.385,0.955
262144,160.0,21.113,12456.353,1109.815,1.75
524288,80.0,45.602,11542.016,1366.99,4.97
1048576,40.0,117.103,8983.388,776.81,9.74
2097152,20.0,256.511,8197.073,602.9,17.97
4194304,10.0,531.33,7905.854,533.04,33.195
8388608,5.0,1609.337,5218.965,321.98,106.53
16777216,2.0,4483.755,3746.636,244.64,274.755
33554432,1.0,9510.185,3533.379,224.49,569.915
67108864,1.0,18981.988,3537.786,124.735,656.81
134217728,1.0,37569.398,3574.862,122.4,1270.21
268435456,1.0,74746.462,3596.355,227.245,4718.55
