#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.20,4.90
2,1000,0.20,10.07
4,1000,0.20,20.26
8,1000,0.20,40.59
16,1000,0.19,86.10
32,1000,0.23,136.35
64,1000,0.24,272.34
128,1000,0.31,411.31
256,1000,0.34,761.38
512,1000,0.39,1298.22
1024,1000,0.50,2040.15
2048,1000,0.75,2719.45
4096,1000,1.12,3647.82
8192,1000,1.89,4323.32
16384,1000,3.07,5340.33
32768,1000,4.87,6731.58
65536,640,8.55,7666.76
131072,320,15.26,8591.86
262144,160,13.21,19847.87
524288,80,24.06,21793.96
1048576,40,53.38,19644.21
2097152,20,141.04,14869.19
4194304,10,325.18,12898.58
8388608,5,984.32,8522.28
16777216,2,2638.01,6359.81
33554432,1,5905.94,5681.47
67108864,1,12182.81,5508.49
134217728,1,24452.43,5488.93
268435456,1,48954.71,5483.34
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.21,4.87
2,1000,0.18,10.82
4,1000,0.19,21.61
8,1000,0.19,43.14
16,1000,0.19,85.34
32,1000,0.23,140.70
64,1000,0.23,280.74
128,1000,0.31,416.28
256,1000,0.33,768.68
512,1000,0.38,1343.27
1024,1000,0.51,2005.30
2048,1000,0.76,2708.39
4096,1000,1.13,3625.02
8192,1000,1.98,4142.48
16384,1000,3.21,5108.76
32768,1000,5.36,6113.08
65536,640,9.28,7063.14
131072,320,16.20,8093.23
262144,160,15.58,16824.73
524288,80,28.39,18469.30
1048576,40,60.65,17287.85
2097152,20,150.84,13903.03
4194304,10,323.10,12981.50
8388608,5,981.74,8544.64
16777216,2,2641.22,6352.08
33554432,1,5925.25,5662.95
67108864,1,12173.77,5512.58
134217728,1,24443.64,5490.90
268435456,1,48866.49,5493.24
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.21,4.87
2,1000,0.20,10.07
4,1000,0.19,21.23
8,1000,0.19,41.75
16,1000,0.19,83.78
32,1000,0.23,138.73
64,1000,0.23,280.27
128,1000,0.31,415.93
256,1000,0.34,759.20
512,1000,0.40,1275.93
1024,1000,0.50,2041.75
2048,1000,0.76,2709.82
4096,1000,1.13,3623.17
8192,1000,1.88,4357.01
16384,1000,2.98,5490.99
32768,1000,4.84,6764.55
65536,640,8.39,7810.66
131072,320,15.18,8631.92
262144,160,12.60,20798.35
524288,80,22.38,23424.62
1048576,40,51.92,20196.86
2097152,20,140.39,14937.95
4194304,10,324.51,12924.88
8388608,5,986.51,8503.32
16777216,2,2639.33,6356.63
33554432,1,5896.08,5690.97
67108864,1,12154.05,5521.52
134217728,1,25926.06,5176.94
268435456,1,48877.35,5492.02
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.21,4.79
2,1000,0.20,9.92
4,1000,0.20,19.85
8,1000,0.19,42.36
16,1000,0.19,84.46
32,1000,0.23,138.71
64,1000,0.23,274.00
128,1000,0.31,407.98
256,1000,0.33,769.44
512,1000,0.40,1293.96
1024,1000,0.50,2031.31
2048,1000,0.75,2715.68
4096,1000,1.13,3620.64
8192,1000,1.88,4347.67
16384,1000,2.98,5496.34
32768,1000,4.84,6767.89
65536,640,8.41,7789.45
131072,320,15.78,8307.40
262144,160,14.08,18616.54
524288,80,25.36,20672.37
1048576,40,54.41,19273.08
2097152,20,146.00,14364.14
4194304,10,348.12,12048.61
8388608,5,987.72,8492.94
16777216,2,2629.09,6381.37
33554432,1,5906.30,5681.12
67108864,1,12192.90,5503.93
134217728,1,24436.13,5492.59
268435456,1,48842.52,5495.94
