#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.206,0.0,0.0,0.02
1,1000.0,0.2,5.03,0.3,0.01
2,1000.0,0.193,10.412,0.45,0.01
4,1000.0,0.19,21.063,0.905,0.01
8,1000.0,0.192,41.992,1.3,0.005
16,1000.0,0.191,84.56,2.225,0.005
32,1000.0,0.229,140.077,3.835,0.005
64,1000.0,0.23,280.471,8.0,0.01
128,1000.0,0.312,409.942,7.075,0.005
256,1000.0,0.335,765.998,22.0,0.01
512,1000.0,0.393,1306.461,33.67,0.01
1024,1000.0,0.504,2024.15,22.725,0.005
2048,1000.0,0.755,2710.734,21.31,0.005
4096,1000.0,1.129,3627.031,14.435,0.005
8192,1000.0,1.89,4332.815,114.4,0.055
16384,1000.0,3.011,5446.482,206.51,0.12
32768,1000.0,4.914,6675.12,346.855,0.275
65536,640.0,8.571,7653.313,400.155,0.475
131072,320.0,15.463,8481.762,282.275,0.53
262144,160.0,13.517,19480.983,1993.565,1.49
524288,80.0,24.906,21198.396,2513.23,3.04
1048576,40.0,55.686,18882.85,1454.505,4.365
2097152,20.0,145.473,14427.355,575.87,5.785
4194304,10.0,332.764,12616.656,466.445,12.51
8388608,5.0,985.79,8509.713,72.35,8.355
16777216,2.0,2634.837,6367.491,21.47,8.87
33554432,1.0,5922.601,5665.537,30.545,31.99
67108864,1.0,12176.403,5511.396,9.96,22.0
134217728,1.0,24880.46,5398.395,162.72,766.69
268435456,1.0,49784.875,5395.753,159.395,1503.74
