#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,5.387,0.0,0.0,0.165
1,1000.0,5.486,0.183,0.005,0.19
2,1000.0,5.491,0.366,0.015,0.18
4,1000.0,5.489,0.731,0.025,0.17
8,1000.0,5.49,1.458,0.05,0.175
16,1000.0,5.491,2.917,0.095,0.175
32,1000.0,5.498,5.825,0.185,0.17
64,1000.0,5.511,11.618,0.38,0.175
128,1000.0,5.579,22.958,0.71,0.17
256,1000.0,5.613,45.621,1.49,0.18
512,1000.0,5.659,90.539,3.285,0.2
1024,1000.0,6.259,163.671,5.335,0.2
2048,1000.0,6.098,336.038,10.455,0.19
4096,1000.0,7.082,578.813,17.77,0.215
8192,1000.0,7.511,1091.145,35.835,0.24
16384,1000.0,9.835,1666.73,43.65,0.255
32768,1000.0,15.84,2069.235,46.74,0.355
65536,640.0,30.564,2144.972,54.55,0.765
131072,320.0,43.346,3025.408,85.92,1.21
262144,160.0,62.451,4198.317,81.55,1.21
524288,80.0,97.119,5399.144,91.98,1.64
1048576,40.0,165.38,6341.652,122.98,3.165
2097152,20.0,311.76,6727.478,86.56,3.98
4194304,10.0,665.196,6306.081,91.51,9.57
8388608,5.0,1606.275,5222.796,60.985,18.675
16777216,2.0,3405.333,4927.014,52.005,35.755
33554432,1.0,6843.577,4903.277,52.17,72.415
67108864,1.0,13006.238,5159.753,11.23,28.335
134217728,1.0,25986.976,5165.187,75.845,389.85
268435456,1.0,51553.871,5207.417,91.115,924.465
