#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.28,3.51
2,1000,0.28,7.03
4,1000,0.28,14.27
8,1000,0.28,28.56
16,1000,0.31,51.58
32,1000,0.31,104.66
64,1000,0.34,190.62
128,1000,0.40,316.36
256,1000,0.47,549.30
512,1000,0.63,808.97
1024,1000,0.69,1482.34
2048,1000,0.86,2374.06
4096,1000,1.80,2280.77
8192,1000,2.14,3834.74
16384,1000,2.71,6042.58
32768,1000,3.94,8314.57
65536,640,5.51,11887.67
131072,320,10.34,12681.97
262144,160,18.90,13870.81
524288,80,39.35,13323.80
1048576,40,91.97,11401.05
2097152,20,218.01,9619.57
4194304,10,587.35,7141.03
8388608,5,1663.69,5042.16
16777216,2,4079.23,4112.84
33554432,1,8962.65,3743.81
67108864,1,18273.56,3672.46
134217728,1,36579.42,3669.21
268435456,1,73233.93,3665.45
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.00
1,1000,0.27,3.70
2,1000,0.27,7.42
4,1000,0.27,14.66
8,1000,0.27,29.25
16,1000,0.30,54.08
32,1000,0.29,109.34
64,1000,0.33,192.01
128,1000,0.39,330.69
256,1000,0.45,574.39
512,1000,0.62,827.78
1024,1000,0.72,1417.46
2048,1000,0.84,2433.54
4096,1000,1.74,2351.52
8192,1000,2.05,3998.08
16384,1000,2.49,6588.89
32768,1000,3.71,8826.31
65536,640,5.23,12519.13
131072,320,10.06,13023.16
262144,160,18.53,14148.29
524288,80,37.99,13800.21
1048576,40,88.85,11801.51
2097152,20,213.88,9805.31
4194304,10,493.76,8494.64
8388608,5,1669.91,5023.40
16777216,2,4030.23,4162.85
33554432,1,9004.59,3726.37
67108864,1,18254.09,3676.37
134217728,1,36583.65,3668.79
268435456,1,73282.57,3663.02
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.28,3.60
2,1000,0.28,7.22
4,1000,0.28,14.37
8,1000,0.28,28.61
16,1000,0.31,51.90
32,1000,0.30,105.98
64,1000,0.35,180.53
128,1000,0.40,321.66
256,1000,0.47,546.59
512,1000,0.65,786.54
1024,1000,0.75,1365.32
2048,1000,0.89,2296.08
4096,1000,1.78,2298.87
8192,1000,2.19,3744.82
16384,1000,2.78,5892.56
32768,1000,3.83,8560.42
65536,640,5.05,12985.10
131072,320,10.74,12201.15
262144,160,19.43,13492.15
524288,80,39.46,13287.88
1048576,40,92.94,11282.77
2097152,20,218.91,9579.97
4194304,10,591.20,7094.53
8388608,5,1671.07,5019.89
16777216,2,4061.21,4131.08
33554432,1,8969.89,3740.78
67108864,1,18295.15,3668.12
134217728,1,36637.72,3663.38
268435456,1,73350.03,3659.65
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.28,3.54
2,1000,0.28,7.06
4,1000,0.28,14.06
8,1000,0.28,28.11
16,1000,0.31,51.63
32,1000,0.31,104.53
64,1000,0.36,178.17
128,1000,0.44,291.21
256,1000,0.48,533.71
512,1000,0.64,802.59
1024,1000,0.72,1422.47
2048,1000,0.91,2255.05
4096,1000,1.78,2298.59
8192,1000,2.15,3809.16
16384,1000,2.80,5842.30
32768,1000,3.87,8477.35
65536,640,5.58,11739.25
131072,320,10.19,12858.37
262144,160,19.16,13681.04
524288,80,39.33,13330.34
1048576,40,93.16,11255.64
2097152,20,223.16,9397.38
4194304,10,558.05,7516.06
8388608,5,1668.41,5027.91
16777216,2,4024.36,4168.91
33554432,1,8963.95,3743.26
67108864,1,18285.36,3670.09
134217728,1,36641.34,3663.01
268435456,1,73355.41,3659.38
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.28,3.58
2,1000,0.28,7.08
4,1000,0.28,14.21
8,1000,0.28,28.80
16,1000,0.30,53.21
32,1000,0.32,101.02
64,1000,0.34,187.64
128,1000,0.39,327.34
256,1000,0.47,541.81
512,1000,0.64,799.39
1024,1000,0.73,1412.31
2048,1000,0.85,2420.63
4096,1000,1.85,2210.95
8192,1000,2.11,3874.97
16384,1000,2.75,5963.97
32768,1000,3.93,8338.59
65536,640,5.59,11723.96
131072,320,10.79,12141.99
262144,160,19.25,13618.09
524288,80,39.33,13330.03
1048576,40,92.96,11279.93
2097152,20,218.21,9610.66
4194304,10,597.17,7023.68
