#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.255,0.0,0.0,0.015
1,1000.0,0.278,3.599,0.14,0.01
2,1000.0,0.278,7.185,0.28,0.01
4,1000.0,0.276,14.433,0.57,0.01
8,1000.0,0.276,28.93,1.16,0.01
16,1000.0,0.3,53.451,2.145,0.01
32,1000.0,0.302,106.172,4.835,0.015
64,1000.0,0.339,188.817,11.45,0.02
128,1000.0,0.395,324.376,31.475,0.04
256,1000.0,0.464,552.43,22.55,0.02
512,1000.0,0.626,817.924,26.725,0.02
1024,1000.0,0.719,1425.676,58.51,0.03
2048,1000.0,0.868,2360.102,108.915,0.04
4096,1000.0,1.777,2306.008,104.505,0.08
8192,1000.0,2.108,3889.805,148.17,0.08
16384,1000.0,2.702,6071.056,373.295,0.155
32768,1000.0,3.799,8636.001,374.375,0.16
65536,640.0,5.347,12305.383,1173.465,0.505
131072,320.0,10.255,12804.973,814.645,0.64
262144,160.0,18.791,13978.481,1164.53,1.445
524288,80.0,38.768,13537.435,730.705,1.965
1048576,40.0,91.382,11478.886,343.825,2.68
2097152,20.0,217.594,9641.247,272.695,6.12
4194304,10.0,559.779,7545.035,788.655,54.87
8388608,5.0,1668.737,5026.94,16.795,5.58
16777216,2.0,4041.947,4150.855,30.59,29.895
33554432,1.0,8970.263,3740.652,14.095,33.8
67108864,1.0,18261.353,3674.919,7.465,37.105
134217728,1.0,36610.905,3666.062,4.495,44.895
268435456,1.0,73721.294,3642.209,99.655,2105.585
