#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.98,1.02
2,1000,1.00,2.01
4,1000,0.99,4.04
8,1000,0.99,8.11
16,1000,0.99,16.17
32,1000,1.01,31.60
64,1000,1.17,54.78
128,1000,1.21,105.54
256,1000,1.43,179.48
512,1000,1.50,341.59
1024,1000,1.66,617.60
2048,1000,2.32,881.45
4096,1000,3.18,1286.92
8192,1000,4.48,1828.32
16384,1000,6.27,2611.18
32768,1000,8.47,3869.78
65536,640,12.36,5301.35
131072,320,18.66,7023.28
262144,160,32.64,8031.64
524288,80,56.83,9225.75
1048576,40,98.09,10690.31
2097152,20,182.30,11503.67
4194304,10,353.43,11867.47
8388608,5,693.73,12092.11
16777216,2,1379.93,12158.03
33554432,1,2758.52,12163.95
67108864,1,5517.42,12163.08
134217728,1,11020.30,12179.13
268435456,1,22054.29,12171.57
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,0.99,2.01
4,1000,1.00,4.01
8,1000,0.99,8.07
16,1000,0.99,16.10
32,1000,1.01,31.78
64,1000,1.16,55.32
128,1000,1.20,106.85
256,1000,1.43,179.10
512,1000,1.50,341.32
1024,1000,1.65,619.39
2048,1000,2.32,881.31
4096,1000,3.19,1283.91
8192,1000,4.47,1830.68
16384,1000,6.28,2610.80
32768,1000,8.46,3874.60
65536,640,12.36,5301.32
131072,320,18.59,7051.91
262144,160,32.71,8013.64
524288,80,54.26,9661.83
1048576,40,96.92,10818.94
2097152,20,183.41,11434.37
4194304,10,352.16,11910.06
8388608,5,694.05,12086.41
16777216,2,1378.42,12171.32
33554432,1,2758.41,12164.41
67108864,1,5521.46,12154.19
134217728,1,11015.17,12184.81
268435456,1,22047.93,12175.08
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,0.99,2.01
4,1000,0.99,4.04
8,1000,0.99,8.10
16,1000,0.99,16.20
32,1000,1.00,31.88
64,1000,1.16,55.13
128,1000,1.20,107.05
256,1000,1.42,179.91
512,1000,1.50,341.94
1024,1000,1.65,620.69
2048,1000,2.31,886.65
4096,1000,3.22,1271.30
8192,1000,4.59,1783.93
16384,1000,6.49,2523.82
32768,1000,8.56,3830.09
65536,640,12.51,5240.25
131072,320,18.87,6946.07
262144,160,32.71,8013.98
524288,80,54.00,9709.73
1048576,40,96.93,10817.33
2097152,20,182.19,11510.66
4194304,10,352.79,11888.94
8388608,5,693.28,12099.87
16777216,2,1379.31,12163.50
33554432,1,2769.30,12116.59
67108864,1,5517.39,12163.16
134217728,1,11014.23,12185.85
268435456,1,22045.84,12176.24
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.98,1.02
2,1000,0.99,2.03
4,1000,0.98,4.06
8,1000,0.98,8.16
16,1000,0.98,16.29
32,1000,1.00,32.08
64,1000,1.16,55.27
128,1000,1.20,107.05
256,1000,1.42,180.22
512,1000,1.50,340.53
1024,1000,1.65,619.06
2048,1000,2.32,883.24
4096,1000,3.19,1283.85
8192,1000,4.46,1836.49
16384,1000,6.28,2610.90
32768,1000,8.46,3871.61
65536,640,12.38,5295.23
131072,320,18.61,7041.33
262144,160,32.61,8038.31
524288,80,56.82,9227.17
1048576,40,98.24,10673.42
2097152,20,182.41,11496.95
4194304,10,353.39,11868.86
8388608,5,692.87,12106.98
16777216,2,1383.30,12128.43
33554432,1,2757.26,12169.48
67108864,1,5521.55,12154.00
134217728,1,11021.84,12177.43
268435456,1,22050.36,12173.74
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,1.00,2.00
4,1000,0.99,4.03
8,1000,0.99,8.11
16,1000,0.99,16.12
32,1000,1.00,32.01
64,1000,1.15,55.42
128,1000,1.20,106.95
256,1000,1.42,180.26
512,1000,1.50,341.48
1024,1000,1.65,620.82
2048,1000,2.31,886.02
4096,1000,3.21,1277.67
8192,1000,4.47,1830.63
16384,1000,6.27,2612.65
32768,1000,8.60,3809.96
65536,640,12.46,5260.65
131072,320,18.75,6991.90
262144,160,32.65,8027.85
