#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.985,0.0,0.0,0.005
1,1000.0,0.982,1.018,0.005,0.005
2,1000.0,0.992,2.013,0.015,0.005
4,1000.0,0.99,4.041,0.025,0.01
8,1000.0,0.987,8.119,0.05,0.005
16,1000.0,0.988,16.197,0.095,0.005
32,1000.0,1.003,31.872,0.24,0.005
64,1000.0,1.16,55.166,0.35,0.01
128,1000.0,1.203,106.572,0.92,0.015
256,1000.0,1.423,179.984,0.75,0.005
512,1000.0,1.497,341.844,1.265,0.005
1024,1000.0,1.651,619.874,2.05,0.005
2048,1000.0,2.321,882.18,9.18,0.025
4096,1000.0,3.196,1281.249,10.045,0.025
8192,1000.0,4.498,1820.734,26.28,0.065
16384,1000.0,6.326,2589.904,45.915,0.115
32768,1000.0,8.518,3846.681,33.515,0.075
65536,640.0,12.418,5277.851,30.55,0.075
131072,320.0,18.703,7008.011,53.43,0.145
262144,160.0,32.69,8018.569,18.71,0.075
524288,80.0,54.95,9544.933,241.99,1.415
1048576,40.0,97.597,10744.229,82.82,0.755
2097152,20.0,183.135,11452.078,119.105,1.925
4194304,10.0,352.881,11885.909,21.295,0.635
8388608,5.0,693.642,12093.562,12.715,0.73
16777216,2.0,1380.657,12151.632,21.65,2.46
33554432,1.0,2760.02,12157.334,26.665,6.07
67108864,1.0,5517.528,12162.852,8.24,3.74
134217728,1.0,11018.241,12181.414,9.865,8.92
268435456,1.0,22047.425,12175.365,6.62,11.98
