#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.30,0.00
1,1000,15.30,0.07
2,1000,15.27,0.13
4,1000,15.28,0.26
8,1000,15.39,0.52
16,1000,15.37,1.04
32,1000,15.37,2.08
64,1000,15.64,4.09
128,1000,16.30,7.85
256,1000,16.32,15.68
512,1000,16.34,31.32
1024,1000,17.19,59.58
2048,1000,38.78,52.81
4096,1000,38.65,105.97
8192,1000,39.57,207.05
16384,1000,41.50,394.83
32768,1000,46.62,702.87
65536,640,63.69,1029.02
131072,320,111.64,1174.06
262144,160,146.51,1789.20
524288,80,217.75,2407.78
1048576,40,331.75,3160.74
2097152,20,621.19,3376.04
4194304,10,1292.22,3245.81
8388608,5,2775.37,3022.52
16777216,2,5785.71,2899.77
33554432,1,11654.84,2879.01
67108864,1,22980.80,2920.21
134217728,1,44638.32,3006.78
268435456,1,88119.07,3046.28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.93,0.00
1,1000,15.88,0.06
2,1000,15.89,0.13
4,1000,15.89,0.25
8,1000,15.85,0.50
16,1000,15.93,1.00
32,1000,15.94,2.01
64,1000,16.06,3.99
128,1000,16.52,7.75
256,1000,16.53,15.49
512,1000,16.80,30.48
1024,1000,17.23,59.43
2048,1000,38.54,53.14
4096,1000,38.88,105.35
8192,1000,39.76,206.03
16384,1000,41.57,394.12
32768,1000,46.05,711.65
65536,640,65.65,998.19
131072,320,114.17,1148.07
262144,160,160.78,1630.41
524288,80,237.32,2209.16
1048576,40,376.69,2783.66
2097152,20,694.20,3020.97
4194304,10,1480.49,2833.06
8388608,5,3217.60,2607.10
16777216,2,6659.80,2519.18
33554432,1,13337.56,2515.79
67108864,1,25578.56,2623.64
134217728,1,50146.44,2676.52
268435456,1,98498.27,2725.28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.34,0.00
1,1000,16.41,0.06
2,1000,16.43,0.12
4,1000,16.38,0.24
8,1000,16.36,0.49
16,1000,16.47,0.97
32,1000,16.50,1.94
64,1000,16.63,3.85
128,1000,16.95,7.55
256,1000,17.10,14.97
512,1000,17.36,29.49
1024,1000,17.81,57.49
2048,1000,39.35,52.05
4096,1000,39.63,103.37
8192,1000,40.55,202.03
16384,1000,42.39,386.47
32768,1000,50.68,646.59
65536,640,67.52,970.64
131072,320,113.70,1152.83
262144,160,146.37,1790.95
524288,80,212.75,2464.35
1048576,40,319.32,3283.79
2097152,20,586.36,3576.59
4194304,10,1228.24,3414.89
8388608,5,2720.80,3083.14
16777216,2,5567.99,3013.15
33554432,1,11503.17,2916.97
67108864,1,22605.89,2968.64
134217728,1,44661.49,3005.22
268435456,1,88347.81,3038.39
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.05,0.00
1,1000,16.17,0.06
2,1000,16.13,0.12
4,1000,16.15,0.25
8,1000,16.15,0.50
16,1000,16.20,0.99
32,1000,16.24,1.97
64,1000,16.32,3.92
128,1000,16.68,7.67
256,1000,16.76,15.28
512,1000,17.29,29.61
1024,1000,17.63,58.09
2048,1000,39.23,52.21
4096,1000,39.64,103.34
8192,1000,40.68,201.39
16384,1000,42.60,384.62
32768,1000,51.58,635.32
65536,640,62.22,1053.26
131072,320,117.84,1112.25
262144,160,160.78,1630.45
524288,80,244.46,2144.69
1048576,40,387.38,2706.86
2097152,20,703.00,2983.13
4194304,10,1492.11,2810.99
8388608,5,3304.53,2538.52
16777216,2,6689.43,2508.02
33554432,1,13443.96,2495.88
67108864,1,25549.10,2626.66
134217728,1,52161.60,2573.11
268435456,1,102391.19,2621.67
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.52,0.00
1,1000,16.54,0.06
2,1000,16.49,0.12
4,1000,16.63,0.24
8,1000,16.69,0.48
16,1000,16.70,0.96
32,1000,16.77,1.91
64,1000,17.09,3.75
128,1000,17.64,7.26
256,1000,17.50,14.63
512,1000,17.95,28.52
1024,1000,18.37,55.74
2048,1000,39.69,51.60
4096,1000,40.18,101.95
8192,1000,40.99,199.85
16384,1000,43.42,377.32
32768,1000,54.56,600.60
65536,640,65.42,1001.80
131072,320,124.31,1054.43
262144,160,158.08,1658.25
524288,80,237.21,2210.19
1048576,40,363.92,2881.32
2097152,20,683.18,3069.68
4194304,10,1396.39,3003.68
8388608,5,2934.81,2858.31
16777216,2,6305.32,2660.80
33554432,1,12187.43,2753.20
67108864,1,23595.11,2844.19
134217728,1,46940.03,2859.34
268435456,1,91440.44,2935.63
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.30,0.00
1,1000,16.32,0.06
2,1000,16.35,0.12
4,1000,16.37,0.24
8,1000,16.34,0.49
16,1000,16.39,0.98
32,1000,16.38,1.95
64,1000,16.39,3.90
128,1000,17.01,7.52
256,1000,17.02,15.04
512,1000,17.36,29.50
1024,1000,17.82,57.47
2048,1000,38.86,52.71
4096,1000,39.46,103.80
8192,1000,40.32,203.15
16384,1000,42.38,386.63
32768,1000,51.77,632.99
65536,640,65.09,1006.90
131072,320,119.53,1096.52
262144,160,165.77,1581.38
524288,80,243.80,2150.48
1048576,40,392.28,2673.02
2097152,20,723.94,2896.87
4194304,10,1467.86,2857.42
8388608,5,3180.23,2637.73
16777216,2,6764.90,2480.04
33554432,1,13565.18,2473.57
67108864,1,26028.16,2578.32
134217728,1,52132.68,2574.54
268435456,1,105121.00,2553.59
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.09,0.00
1,1000,15.18,0.07
2,1000,15.23,0.13
4,1000,15.21,0.26
8,1000,15.16,0.53
16,1000,15.28,1.05
32,1000,15.28,2.09
64,1000,15.58,4.11
128,1000,15.87,8.06
256,1000,15.84,16.17
512,1000,16.16,31.68
1024,1000,16.54,61.89
2048,1000,38.21,53.60
4096,1000,38.53,106.30
8192,1000,39.40,207.90
16384,1000,41.36,396.15
32768,1000,47.03,696.78
65536,640,63.85,1026.45
131072,320,105.82,1238.67
262144,160,156.09,1679.46
524288,80,231.28,2266.88
1048576,40,361.56,2900.12
2097152,20,665.65,3150.54
4194304,10,1506.45,2784.24
8388608,5,3093.06,2712.08
16777216,2,6444.48,2603.35
33554432,1,12739.50,2633.89
67108864,1,24291.65,2762.63
134217728,1,48069.45,2792.16
268435456,1,94144.82,2851.30
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.49,0.00
1,1000,16.48,0.06
2,1000,16.50,0.12
4,1000,16.56,0.24
8,1000,16.54,0.48
16,1000,16.51,0.97
32,1000,16.51,1.94
64,1000,16.72,3.83
128,1000,17.23,7.43
256,1000,17.36,14.74
512,1000,17.80,28.76
1024,1000,18.17,56.35
2048,1000,39.65,51.66
4096,1000,40.09,102.18
8192,1000,41.25,198.60
16384,1000,43.44,377.20
32768,1000,55.03,595.50
65536,640,67.49,970.99
131072,320,122.50,1070.01
262144,160,171.20,1531.19
524288,80,248.70,2108.11
1048576,40,403.87,2596.32
2097152,20,741.77,2827.24
4194304,10,1515.22,2768.11
8388608,5,3137.90,2673.32
16777216,2,6532.94,2568.09
33554432,1,13389.83,2505.96
67108864,1,25766.63,2604.49
134217728,1,50302.25,2668.22
268435456,1,98470.84,2726.04
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.74,0.00
1,1000,15.82,0.06
2,1000,15.86,0.13
4,1000,15.84,0.25
8,1000,15.82,0.51
16,1000,15.89,1.01
32,1000,15.92,2.01
64,1000,15.99,4.00
128,1000,16.49,7.76
256,1000,16.51,15.50
512,1000,16.78,30.52
1024,1000,17.29,59.21
2048,1000,38.87,52.69
4096,1000,39.04,104.92
8192,1000,39.89,205.34
16384,1000,42.07,389.47
32768,1000,49.19,666.16
65536,640,64.93,1009.35
131072,320,113.72,1152.54
262144,160,156.16,1678.65
524288,80,233.78,2242.66
1048576,40,375.01,2796.13
2097152,20,654.01,3206.61
4194304,10,1381.50,3036.04
8388608,5,2996.32,2799.64
16777216,2,6180.29,2714.63
33554432,1,12266.85,2735.37
67108864,1,24179.64,2775.43
134217728,1,47764.24,2810.00
268435456,1,96292.32,2787.71
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.04,0.00
1,1000,16.11,0.06
2,1000,16.12,0.12
4,1000,16.10,0.25
8,1000,16.13,0.50
16,1000,16.12,0.99
32,1000,16.19,1.98
64,1000,16.34,3.92
128,1000,16.76,7.64
256,1000,16.72,15.31
512,1000,17.10,29.93
1024,1000,17.45,58.68
2048,1000,38.96,52.56
4096,1000,39.40,103.96
8192,1000,40.22,203.68
16384,1000,42.07,389.46
32768,1000,49.14,666.84
65536,640,65.38,1002.45
131072,320,114.43,1145.45
262144,160,162.41,1614.08
524288,80,234.59,2234.88
1048576,40,369.48,2837.96
2097152,20,673.24,3115.03
4194304,10,1482.04,2830.09
8388608,5,3241.41,2587.95
16777216,2,6580.60,2549.50
33554432,1,13181.44,2545.58
67108864,1,25376.91,2644.49
134217728,1,49305.44,2722.17
268435456,1,98754.64,2718.21
