#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,15.98,0.0,0.0,0.715
1,1000.0,16.021,0.062,0.005,0.68
2,1000.0,16.027,0.124,0.005,0.635
4,1000.0,16.041,0.248,0.01,0.71
8,1000.0,16.043,0.5,0.025,0.765
16,1000.0,16.086,0.996,0.045,0.71
32,1000.0,16.11,1.988,0.09,0.745
64,1000.0,16.276,3.936,0.18,0.755
128,1000.0,16.745,7.649,0.4,0.885
256,1000.0,16.766,15.281,0.77,0.83
512,1000.0,17.094,29.981,1.58,0.895
1024,1000.0,17.55,58.393,3.075,0.915
2048,1000.0,39.014,52.503,1.0,0.74
4096,1000.0,39.35,104.114,2.175,0.825
8192,1000.0,40.263,203.502,4.65,0.925
16384,1000.0,42.28,387.627,9.475,1.04
32768,1000.0,50.165,655.53,58.075,4.49
65536,640.0,65.124,1006.905,41.31,2.65
131072,320.0,115.766,1134.483,92.12,9.245
262144,160.0,158.415,1658.402,129.88,12.415
524288,80.0,234.164,2243.918,178.12,17.975
1048576,40.0,368.126,2861.992,343.735,42.275
2097152,20.0,674.654,3122.27,374.675,77.705
4194304,10.0,1424.252,2958.433,323.39,143.49
8388608,5.0,3060.203,2752.031,272.31,291.865
16777216,2.0,6351.146,2651.653,266.555,598.455
33554432,1.0,12726.976,2645.522,221.7,1031.005
67108864,1.0,24595.245,2734.87,195.16,1711.135
134217728,1.0,48612.194,2768.806,216.835,3761.64
268435456,1.0,96158.04,2800.41,246.345,8500.965
