#bytes,repetitions,t,mbs
0,1000,35.43,0.00
1,1000,28.87,0.03
2,1000,28.90,0.07
4,1000,28.91,0.14
8,1000,35.42,0.23
16,1000,29.42,0.54
32,1000,28.93,1.11
64,1000,29.03,2.20
128,1000,17.48,7.32
256,1000,16.64,15.38
512,1000,16.85,30.39
1024,1000,26.90,38.06
2048,1000,76.66,26.71
4096,1000,76.59,53.48
8192,1000,119.87,68.34
16384,1000,94.94,172.57
32768,1000,194.64,168.35
65536,640,182.82,358.48
131072,320,127.22,1030.29
262144,160,553.40,473.70
524288,80,664.46,789.05
1048576,40,2734.36,383.48
2097152,20,2491.74,841.64
4194304,10,4095.17,1024.21
8388608,5,8654.07,969.33
16777216,2,39485.88,424.89
33554432,1,45980.05,729.76
67108864,1,82783.71,810.65
134217728,1,244437.74,549.09
268435456,1,454172.70,591.04
